race_code,round,dem,rep,other,exhausted,eliminated
AK-GOV,1,40.87,51.13,8.0,0.0,
AK-GOV,2,44.23,54.17,0.0,1.6,Other
AK-SEN,1,43.98,48.02,8.0,0.0,
AK-SEN,2,47.34,51.06,0.0,1.6,Other
ME-SEN,1,46.47,48.53,5.0,0.0,
ME-SEN,2,48.57,50.43,0.0,1.0,Other
AK-01,1,41.13,50.87,8.0,0.0,
AK-01,2,44.73,53.67,0.0,1.6,Other
ME-01,1,61.13,33.87,5.0,0.0,
ME-01,2,63.23,35.77,0.0,1.0,Other
ME-02,1,43.27,51.73,5.0,0.0,
ME-02,2,45.37,53.63,0.0,1.0,Other
