chamber,avg_dem_seats,avg_gop_seats,projected_dem_seats,dem_control_pct,needed,races
Senate,50.3,49.7,50,50.0,51,35
House,235.7,199.3,231,69.9,218,435
Governors,23.8,26.2,25,40.0,26,36
