chamber,avg_dem_seats,avg_gop_seats,projected_dem_seats,dem_control_pct,needed,races
Senate,50.5,49.5,51,51.3,51,35
House,237.4,197.6,231,71.9,218,435
Governors,24.1,25.9,25,43.0,26,36
