race_code,round,dem,rep,other,exhausted,eliminated
AK-GOV,1,41.78,50.22,8.0,0.0,
AK-GOV,2,45.14,53.26,0.0,1.6,Other
AK-SEN,1,45.38,46.62,8.0,0.0,
AK-SEN,2,48.74,49.66,0.0,1.6,Other
ME-SEN,1,47.84,47.16,5.0,0.0,
ME-SEN,2,49.94,49.06,0.0,1.0,Other
AK-01,1,42.28,49.72,8.0,0.0,
AK-01,2,45.88,52.52,0.0,1.6,Other
ME-01,1,62.44,32.56,5.0,0.0,
ME-01,2,64.54,34.46,0.0,1.0,Other
ME-02,1,44.74,50.26,5.0,0.0,
ME-02,2,46.84,52.16,0.0,1.0,Other
