race_code,round,dem,rep,other,exhausted,eliminated
AK-GOV,1,40.92,51.08,8.0,0.0,
AK-GOV,2,44.28,54.12,0.0,1.6,Other
AK-SEN,1,44.06,47.94,8.0,0.0,
AK-SEN,2,47.42,50.98,0.0,1.6,Other
ME-SEN,1,46.52,48.48,5.0,0.0,
ME-SEN,2,48.62,50.38,0.0,1.0,Other
AK-01,1,41.22,50.78,8.0,0.0,
AK-01,2,44.82,53.58,0.0,1.6,Other
ME-01,1,61.12,33.88,5.0,0.0,
ME-01,2,63.22,35.78,0.0,1.0,Other
ME-02,1,43.26,51.74,5.0,0.0,
ME-02,2,45.36,53.64,0.0,1.0,Other
