race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Tom Begich,Click Bishop,DEM,REP,,REP,-10.86,29.4,70.5,Lean R,-13.18,3.28,-13.8,2.93,True,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,43.86,54.54,1.6,103694,128968,3783,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-22.26,1.7,98.3,Safe R,-29.63,3.28,-30.88,8.62,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,34.1,52.6,1,-15.5,0.15,0,0,0,38.87,61.13,0.0,616283,969280,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-27.85,0.4,99.6,Safe R,-30.5,3.28,-31.57,3.71,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,36.07,63.93,0.0,302817,536640,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,5.55,70.2,29.8,Lean D,-4.25,3.28,-5.59,11.14,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,43.26,37.22,9,6.04,0.242,0,0,0,52.78,47.22,0.0,1252120,1120404,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,27.49,99.6,0.4,Safe D,23.32,3.28,20.82,6.68,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,63.75,36.25,0.0,7074878,4023665,0,0,11098543
CO-GOV,governor,CO,GOV,Michael Bennet,Barbara Kirkmeyer,DEM,REP,,DEM,19.32,96.8,3.2,Safe D,11.58,3.28,11.29,8.02,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.1,37.8,1,12.3,0.15,0,0,0,59.66,40.34,0.0,1333300,901622,0,0,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,18.04,95.8,4.2,Safe D,15.88,3.28,14.76,3.28,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,59.02,40.98,0.0,726640,504500,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-6.22,27.6,72.4,Lean R,-10.56,3.28,-13.22,7.0,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,34.14,36.47,6,-2.38,0.21,0,0,0,46.89,53.11,0.0,3589340,4065486,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Rick Jackson,DEM,REP,,REP,1.45,55.5,44.5,Toss-up,-1.71,3.28,-2.21,3.66,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,50.72,49.28,0.0,1864126,1810920,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,30.21,99.8,0.2,Safe D,25.73,3.28,23.56,6.65,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,65.11,34.89,0.0,235488,126203,0,0,361691
