chamber,avg_dem_seats,avg_gop_seats,projected_dem_seats,dem_control_pct,needed,races
Senate,49.7,50.3,50,45.3,51,35
House,237.0,198.0,233,70.2,218,435
Governors,23.8,26.2,25,42.8,26,36
