chamber,avg_dem_seats,avg_gop_seats,projected_dem_seats,dem_control_pct,needed,races
Senate,49.5,50.5,48,43.2,51,35
House,229.4,205.6,226,63.4,218,435
Governors,23.0,27.0,25,36.4,26,36
