race_code,poll_dem,poll_rep,poll_oth,poll_oth_party,poll_dem2,poll_rep2,poll_count,poll_recency
AK-SEN,47.59,45.68,0.0,,0.0,0.0,7,0.1782
AR-SEN,36.0,58.0,0.0,,0.0,0.0,1,0.8909
FL-SEN,37.37,45.84,0.0,,0.0,0.0,2,0.0602
GA-SEN,43.43,39.03,0.0,,0.0,0.0,10,0.0042
IA-SEN,41.12,43.99,0.0,,0.0,0.0,3,0.1793
KS-SEN,45.75,54.25,0.0,,0.0,0.0,1,0.6752
KY-SEN,37.6,47.4,0.0,,0.0,0.0,1,0.2679
MA-SEN,53.44,29.99,0.0,,0.0,0.0,4,0.1849
ME-SEN,44.17,43.9,0.0,,0.0,0.0,8,0.1959
MI-SEN,44.26,42.9,0.0,,0.0,0.0,8,0.1598
MN-SEN,46.85,40.43,0.0,,0.0,0.0,4,0.2285
MT-SEN,19.0,43.0,15.0,IND,0.0,0.0,1,0.6447
NC-SEN,48.45,37.34,0.0,,0.0,0.0,11,0.1681
NE-SEN,47.0,48.0,0.0,,0.0,0.0,2,0.4064
NH-SEN,47.29,39.7,0.0,,0.0,0.0,12,0.1467
OH-SEN,46.3,48.79,0.0,,0.0,0.0,5,0.0407
SC-SEN,37.5,41.5,0.0,,0.0,0.0,1,0.1436
SD-SEN,30.0,52.0,0.0,,0.0,0.0,1,0.1194
TX-SEN,43.8,46.35,0.98,LIB,0.0,0.0,12,0.192
VA-SEN,45.0,38.0,0.0,,0.0,0.0,1,0.0001
AK-GOV,41.66,20.42,0.0,,0.0,17.3,5,0.2146
AL-GOV,34.1,52.6,0.0,,0.0,0.0,1,0.1166
AZ-GOV,45.37,38.56,0.0,,0.0,0.0,8,0.0436
CO-GOV,50.1,37.8,0.0,,0.0,0.0,1,0.0136
CT-GOV,50.0,42.0,0.0,,0.0,0.0,1,0.0142
FL-GOV,34.95,43.24,1.03,IND,0.0,0.0,7,0.0358
IL-GOV,54.3,34.0,0.0,,0.0,0.0,1,0.1504
MA-GOV,48.96,27.15,0.0,,0.0,0.0,3,0.0324
MD-GOV,49.33,29.04,0.0,,0.0,0.0,2,0.2296
MI-GOV,39.67,38.08,8.46,IND,0.0,0.0,10,0.0933
MN-GOV,51.55,34.74,0.0,,0.0,0.0,3,0.3027
NH-GOV,38.85,48.5,0.0,,0.0,0.0,3,0.4612
NV-GOV,40.35,40.9,0.0,,0.0,0.0,2,0.0939
NY-GOV,49.43,33.62,0.0,,0.0,0.0,15,0.1268
OH-GOV,44.97,45.92,0.0,,0.0,0.0,8,0.0385
OR-GOV,44.33,37.33,0.0,,0.0,0.0,1,0.7937
PA-GOV,55.32,38.54,0.0,,0.0,0.0,2,0.0408
TN-GOV,30.33,49.23,0.0,,0.0,0.0,2,0.0113
TX-GOV,42.34,49.23,1.69,LIB,0.0,0.0,4,0.4965
WI-GOV,44.8,43.46,0.0,,0.0,0.0,2,0.0479
AK-01,38.84,46.17,0.0,,0.0,0.0,4,0.2591
AZ-01,42.79,41.59,0.0,,0.0,0.0,2,0.1176
AZ-06,42.0,41.0,0.0,,0.0,0.0,1,0.0597
CA-03,45.0,47.0,0.0,,0.0,0.0,1,0.0063
CA-22,43.0,42.0,0.0,,0.0,0.0,1,0.0124
CA-40,43.5,44.0,0.0,,0.0,0.0,1,0.5484
CA-48,43.0,40.0,0.0,,0.0,0.0,1,0.0769
CO-03,39.0,48.0,0.0,,0.0,0.0,1,0.4665
CO-05,40.0,43.0,5.0,IND,0.0,0.0,1,0.0926
FL-27,37.75,44.25,0.0,,0.0,0.0,1,0.0094
IA-01,42.5,42.0,0.0,,0.0,0.0,1,0.0039
IA-03,48.63,41.68,0.0,,0.0,0.0,2,0.0671
ME-02,43.6,46.54,0.0,,0.0,0.0,5,0.056
MI-04,42.0,44.0,0.0,,0.0,0.0,1,0.1403
MI-07,44.0,40.0,0.0,,0.0,0.0,1,0.0806
MI-10,42.33,43.0,0.0,,0.0,0.0,1,0.5236
MN-01,41.0,44.0,0.0,,0.0,0.0,1,0.7756
MT-01,41.79,46.13,0.0,,0.0,0.0,2,0.3846
NC-01,42.5,43.0,4.5,LIB,0.0,0.0,1,0.7579
NE-02,46.33,40.0,0.0,,0.0,0.0,1,0.0718
NH-02,51.18,38.81,0.0,,0.0,0.0,4,0.1844
NJ-02,36.0,46.0,0.0,,0.0,0.0,1,0.002
NY-01,38.0,41.0,0.0,,0.0,0.0,1,0.2227
PA-01,41.0,41.0,0.0,,0.0,0.0,1,0.0544
PA-08,45.0,43.0,0.0,,0.0,0.0,1,0.0197
PA-10,47.91,43.95,0.0,,0.0,0.0,2,0.0702
SC-01,36.0,39.0,0.0,,0.0,0.0,1,0.1984
TX-15,38.0,41.0,0.0,,0.0,0.0,1,0.0272
VA-01,43.5,44.0,0.0,,0.0,0.0,1,0.0127
WI-03,44.0,42.0,0.0,,0.0,0.0,1,0.0597
