race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Tom Begich,Click Bishop,DEM,REP,,REP,-8.59,32.4,67.6,Lean R,-13.18,4.55,-13.8,5.21,True,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,44.98,53.42,1.6,106344,126319,3783,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-21.18,2.1,97.9,Safe R,-29.63,4.55,-30.88,9.7,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,34.1,52.6,1,-15.5,0.15,0,0,0,39.41,60.59,0.0,624841,960722,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-26.58,0.5,99.5,Safe R,-30.5,4.55,-31.57,4.98,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,36.71,63.29,0.0,308147,531309,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,6.66,73.9,26.1,Lean D,-4.25,4.55,-5.59,12.25,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,42.7,36.79,11,6.65,0.257,0,0,0,53.33,46.67,0.0,1265285,1107238,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,28.76,99.7,0.3,Safe D,23.32,4.55,20.82,7.95,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,64.38,35.62,0.0,7145354,3953190,0,0,11098543
CO-GOV,governor,CO,GOV,Michael Bennet,Barbara Kirkmeyer,DEM,REP,,DEM,20.39,97.5,2.5,Safe D,11.58,4.55,11.29,9.1,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.1,37.8,1,12.3,0.15,0,0,0,60.2,39.8,0.0,1345363,889559,0,0,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,19.31,96.8,3.2,Safe D,15.88,4.55,14.76,4.55,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,59.66,40.34,0.0,734458,496682,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-5.52,29.8,70.2,Lean R,-10.56,4.55,-13.22,7.7,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,39.48,44.19,12,-4.26,0.262,0,0,0,47.24,52.76,0.0,3616068,4038758,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Rick Jackson,DEM,REP,,REP,3.66,63.7,36.3,Lean D,-1.71,4.55,-2.21,5.87,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,49.0,43.0,1,9.0,0.15,0,0,0,51.83,48.17,0.0,1904778,1770268,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,31.48,99.9,0.1,Safe D,25.73,4.55,23.56,7.92,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,65.74,34.26,0.0,237784,123906,0,0,361691
IA-GOV,governor,IA,GOV,Rob Sand,Zach Lahn,DEM,REP,,REP,3.11,61.7,38.3,Lean D,-12.1,4.55,-13.45,16.56,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.0,41.0,1,6.0,0.15,0,0,0,51.56,48.44,0.0,600347,564107,0,0,1164454
