race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,rcv_field,rcv_winner_name,rcv_exhausted,ind_name,ind_party,ind_party_label,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_coh,rep_coh,ind_coh,dem_outside,rep_outside,dem_spent,rep_spent,ind_spent,dem_small,rep_small,ind_small,dem_pac,rep_pac,ind_pac,dem_self,rep_self,ind_self,dem_debt,rep_debt,ind_debt,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Jonathan Kreiss-Tomkins,Bernadette Wilson,DEM,REP,,REP,11.99,87.7,12.3,Likely D,-13.27,5.56,-8.77,0.0,0.0,-1.06,-13.8,5.02,True,False,,4,Jonathan Kreiss-Tomkins,10.78,,,,0.0,0.0,,,0.0,confirmed,confirmed,40.0,41.0,1,-1.0,0.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.61,54.39,0.0,107852,128594,0,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-19.23,2.8,97.2,Safe R,-29.66,5.56,-21.21,0.0,3.37,-0.48,-30.88,11.65,False,False,,0,,0.0,,,,0.0,0.0,,,0.0,confirmed,confirmed,40.99,49.01,2,-7.04,0.15,0,13792994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.39,59.61,0.0,640337,945226,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-20.05,2.4,97.6,Safe R,-30.62,5.56,-25.69,0.0,-0.13,-0.51,-31.57,11.52,False,False,LIB,0,,0.0,Colt Shelby,LIB,Libertarian,7.0,0.0,,,0.0,confirmed,confirmed,40.0,45.0,1,-4.36,0.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.18,55.82,0.0,312097,468598,0,58762,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,8.53,80.5,19.5,Likely D,-4.25,5.56,8.62,0.94,6.01,0.36,-5.59,14.12,False,False,GRN,0,,0.0,Risa Lombardo,GRN,Green,1.28,0.0,,,0.0,confirmed,confirmed,46.33,37.27,19,10.02,0.318,9827820,2787170,21500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.57,45.15,0.0,1271007,1071148,0,30368,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,27.99,99.7,0.3,Safe D,23.42,5.56,30.12,0.25,0.0,0.89,20.82,7.17,False,False,,0,,0.0,,,,0.0,0.0,,,0.0,confirmed,confirmed,57.79,36.61,6,21.64,0.274,24217949,17445485,0,10580853,2163517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.99,36.01,0.0,7102296,3996248,0,0,11098543
CO-GOV,governor,CO,GOV,Phil Weiser,Victor Marx,DEM,REP,,DEM,18.03,96.3,3.7,Safe D,11.48,5.56,17.66,0.64,0.0,-0.01,11.29,6.74,False,False,IND,0,,0.0,Greg Lopez,IND,Independent,3.6,0.0,,,0.0,confirmed,confirmed,50.1,37.8,1,15.81,0.15,6951032,2935521,84692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.89,39.51,0.0,1271455,883009,0,80457,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,19.1,97.1,2.9,Safe D,15.88,5.56,20.33,0.0,-1.03,-0.09,14.76,4.34,False,False,,0,,0.0,,,,0.0,0.0,,,0.0,confirmed,confirmed,51.51,35.42,4,16.6,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.55,40.45,0.0,733124,498016,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-5.8,27.9,72.1,Lean R,-10.43,5.56,-6.99,-2.16,-0.47,0.51,-13.22,7.42,False,False,LIB,0,,0.0,Scott Eckhard Jewett,LIB,Libertarian,0.5,0.0,,,0.0,confirmed,confirmed,41.43,43.38,18,-2.55,0.286,5531882,99442171,4440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.86,52.64,0.0,3587240,4029312,0,38274,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Rick Jackson,DEM,REP,,REP,2.2,59.1,40.9,Toss-up,-1.84,5.56,1.34,-2.26,0.0,-0.12,-2.21,4.4,False,False,,0,,0.0,,,,0.0,0.0,,,0.0,confirmed,confirmed,49.9,45.89,8,5.43,0.27,5774631,118984243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.1,48.9,0.0,1877862,1797184,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,32.49,99.9,0.1,Safe D,25.72,5.56,32.49,0.0,1.67,-0.46,23.56,8.93,False,False,,0,,0.0,,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.24,33.76,0.0,239601,122090,0,0,361691
