race_code,poll_dem,poll_rep,poll_oth,poll_oth_party,poll_dem2,poll_rep2,poll_count,poll_recency
AK-01,46.17,50.17,0.0,,0.0,0.0,2,0.4038
AK-GOV,41.86,23.31,0.0,,0.0,15.9,2,0.1866
AK-SEN,49.44,44.3,0.0,,0.0,6.1,10,0.2091
AL-GOV,34.1,52.6,0.0,,0.0,0.0,1,0.0082
AR-02,46.5,42.0,0.0,,0.0,0.0,1,0.4774
AR-SEN,36.0,58.0,0.0,,0.0,0.0,1,0.0625
AZ-01,42.71,42.94,0.0,,0.0,0.0,2,0.0079
AZ-06,46.66,43.8,0.0,,0.0,0.0,2,0.0691
AZ-GOV,42.71,36.77,2.97,IND,0.0,0.0,10,0.1161
CA-22,44.0,42.0,0.0,,0.0,0.0,1,0.0009
CA-GOV,53.72,32.15,0.0,,0.0,0.0,2,0.7073
CO-03,37.0,47.0,0.0,,0.0,0.0,1,0.1279
CO-05,40.0,43.0,5.0,IND,0.0,0.0,1,0.0065
CO-GOV,50.1,37.8,0.0,,0.0,0.0,1,0.001
FL-13,39.0,41.0,0.0,,0.0,0.0,1,0.63
FL-25,42.9,32.7,0.0,,0.0,0.0,1,0.4156
FL-27,43.0,46.0,0.0,,0.0,0.0,1,0.1166
FL-28,41.0,45.0,0.0,,0.0,0.0,1,0.114
FL-GOV,38.23,41.57,1.8,NPA,0.0,0.0,14,0.2387
FL-SEN,36.73,47.8,0.0,,0.0,0.0,3,0.1893
GA-GOV,51.49,39.89,0.0,,0.0,0.0,2,0.5475
GA-SEN,48.53,43.47,0.0,,0.0,0.0,7,0.0437
IA-01,43.0,39.0,0.0,,0.0,0.0,1,0.0003
IA-02,36.0,33.0,0.0,,0.0,0.0,1,0.2742
IA-03,42.0,48.0,0.0,,0.0,0.0,1,0.134
IA-GOV,50.0,41.0,0.0,,0.0,0.0,1,0.3789
IA-SEN,45.45,45.89,0.0,,0.0,0.0,4,0.3269
ID-SEN,35.63,41.47,0.0,,0.0,0.0,2,0.4874
IL-GOV,54.3,34.0,0.0,,0.0,0.0,1,0.0105
KS-SEN,46.0,54.0,0.0,,0.0,0.0,1,0.0474
KY-06,37.0,37.0,0.0,,0.0,0.0,1,0.3536
KY-SEN,38.0,49.0,0.0,,0.0,0.0,1,0.0188
MA-GOV,55.52,30.9,0.0,,0.0,0.0,4,0.2152
MA-SEN,55.1,30.99,0.0,,0.0,0.0,5,0.0886
MD-GOV,49.9,28.0,0.0,,0.0,0.0,1,0.0285
ME-02,42.48,48.76,0.0,,0.0,0.0,2,0.2262
ME-SEN,54.97,44.98,0.0,,0.0,0.0,2,0.4925
MI-04,47.46,45.22,0.0,,0.0,0.0,3,0.325
MI-10,44.0,42.0,0.0,,0.0,0.0,1,0.0367
MI-GOV,40.94,32.68,10.99,IND,0.0,0.0,15,0.1476
MI-SEN,41.7,42.01,0.0,,0.0,0.0,9,0.3202
MN-01,41.49,47.93,0.0,,0.0,0.0,2,0.0942
MN-GOV,50.34,36.36,0.0,,0.0,0.0,2,0.0553
MN-SEN,49.71,42.88,0.0,,0.0,0.0,4,0.205
