race_code,round,dem,rep,other,exhausted,eliminated
AK-GOV,1,41.45,50.55,8.0,0.0,
AK-GOV,2,44.81,53.59,0.0,1.6,Other
AK-SEN,1,45.03,46.97,8.0,0.0,
AK-SEN,2,48.39,50.01,0.0,1.6,Other
ME-SEN,1,47.93,47.07,5.0,0.0,
ME-SEN,2,50.03,48.97,0.0,1.0,Other
AK-01,1,41.9,50.1,8.0,0.0,
AK-01,2,45.5,52.9,0.0,1.6,Other
ME-01,1,62.13,32.87,5.0,0.0,
ME-01,2,64.23,34.77,0.0,1.0,Other
ME-02,1,44.44,50.56,5.0,0.0,
ME-02,2,46.54,52.46,0.0,1.0,Other
