race_code,round,cand_id,name,party,slot,pct,votes,status,exhausted_pct
AK-GOV,1,C-0073,Jonathan Kreiss-Tomkins,DEM,dem,45.47,107521,active,0.0
AK-GOV,1,C-0074,Bernadette Wilson,REP,rep,21.47,50758,active,0.0
AK-GOV,1,C-1061,Dave Bronson,REP,,17.39,41114,active,0.0
AK-GOV,1,C-1068,Candice English,REP,,15.67,37053,eliminated,0.0
AK-GOV,2,C-0073,Jonathan Kreiss-Tomkins,DEM,dem,47.31,111859,active,4.55
AK-GOV,2,C-0074,Bernadette Wilson,REP,rep,26.6,62886,active,4.55
AK-GOV,2,C-1061,Dave Bronson,REP,,21.54,50938,eliminated,4.55
AK-GOV,3,C-0073,Jonathan Kreiss-Tomkins,DEM,dem,49.83,117822,elected,10.81
AK-GOV,3,C-0074,Bernadette Wilson,REP,rep,39.36,93063,active,10.81
AK-SEN,1,C-0001,Mary Peltola,DEM,dem,47.66,112682,active,0.0
AK-SEN,1,C-0002,Dan S. Sullivan,REP,rep,48.67,115074,active,0.0
AK-SEN,1,C-1062,Daniel J. Sullivan Jr.,NPA,,2.5,5911,active,0.0
AK-SEN,1,C-1066,Gerald L. Heikes,REP,,1.18,2780,eliminated,0.0
AK-SEN,2,C-0001,Mary Peltola,DEM,dem,47.72,112844,active,0.54
AK-SEN,2,C-0002,Dan S. Sullivan,REP,rep,49.07,116019,active,0.54
AK-SEN,2,C-1062,Daniel J. Sullivan Jr.,NPA,,2.67,6316,eliminated,0.54
AK-SEN,3,C-0001,Mary Peltola,DEM,dem,48.45,114562,active,1.75
AK-SEN,3,C-0002,Dan S. Sullivan,REP,rep,49.79,117737,elected,1.75
AK-01,1,C-0145,Nick Begich III,REP,rep,49.91,118017,active,0.0
AK-01,1,C-1013,Bill Hill,IND,ind,45.09,106607,active,0.0
AK-01,1,C-1063,Eric Hafner,DEM,,3.8,8985,active,0.0
AK-01,1,C-1071,"James C. ""Jim"" McDermott",LIB,,1.2,2837,eliminated,0.0
AK-01,2,C-0145,Nick Begich III,REP,rep,50.38,119131,active,0.24
AK-01,2,C-1013,Bill Hill,IND,ind,45.47,107519,active,0.24
AK-01,2,C-1063,Eric Hafner,DEM,,3.9,9228,eliminated,0.24
AK-01,3,C-0145,Nick Begich III,REP,rep,50.94,120454,elected,1.02
AK-01,3,C-1013,Bill Hill,IND,ind,48.04,113579,active,1.02
