code,level,state,partisan_lean,gcb,environment,pres_2024_margin,trump_approve,trump_disapprove,trump_net,demo_approval_adj,white_pct,black_pct,hispanic_pct,asian_pct,native_pct,pacific_pct
AK-01,district,AK,-13.18,3.15,-10.03,-13.8,47.5,49.1,-1.6,0.5,61.0,4.2,6.0,7.8,18.9,2.0
AL-01,district,AL,-34.82,3.15,-31.67,-36.34,57.7,39.0,18.7,2.5,67.1,24.7,3.3,1.9,2.9,0.1
AL-02,district,AL,-13.03,3.15,-9.88,-14.46,48.6,48.1,0.5,2.7,52.3,39.8,3.7,2.2,1.9,0.2
AL-03,district,AL,-45.58,3.15,-42.43,-47.04,62.2,34.4,27.8,2.4,71.7,20.7,3.1,2.1,2.3,0.1
AL-04,district,AL,-65.77,3.15,-62.62,-66.99,70.5,26.2,44.4,1.8,82.7,7.2,6.1,0.8,3.1,0.1
AL-05,district,AL,-29.24,3.15,-26.09,-29.51,55.1,41.6,13.5,2.0,70.1,18.3,5.3,2.5,3.6,0.2
AL-06,district,AL,-34.75,3.15,-31.6,-34.79,57.5,39.1,18.4,2.2,71.7,19.3,4.7,2.2,2.1,0.1
AL-07,district,AL,19.36,3.15,22.51,17.99,34.9,61.7,-26.8,3.0,42.5,50.5,3.6,1.7,1.6,0.1
AR-01,district,AR,-44.65,3.15,-41.5,-46.4,61.8,34.8,27.0,2.4,76.0,16.9,3.1,1.0,2.8,0.2
AR-02,district,AR,-15.42,3.15,-12.27,-16.22,49.3,47.4,1.9,2.1,69.1,20.3,5.1,2.3,3.0,0.1
AR-03,district,AR,-25.59,3.15,-22.44,-25.81,52.7,44.0,8.7,0.2,71.5,3.6,13.9,4.2,5.6,1.3
AR-04,district,AR,-39.02,3.15,-35.87,-40.73,59.3,37.4,21.9,2.0,69.7,19.8,6.0,1.1,3.3,0.2
AZ-01,district,AZ,-2.22,3.15,0.93,-3.14,42.8,53.9,-11.1,0.3,73.4,4.0,13.8,5.5,3.1,0.3
AZ-02,district,AZ,-13.44,3.15,-10.29,-15.12,47.2,49.4,-2.2,-0.3,59.7,2.7,14.6,2.0,20.7,0.3
AZ-03,district,AZ,43.26,3.15,46.41,40.31,20.6,76.1,-55.6,-5.5,23.0,11.5,56.4,3.7,5.0,0.4
AZ-04,district,AZ,7.35,3.15,10.5,6.76,38.0,58.7,-20.7,-1.1,58.6,6.5,22.8,7.2,4.3,0.6
AZ-05,district,AZ,-19.54,3.15,-16.39,-20.19,50.0,46.7,3.3,0.0,70.0,4.5,15.3,7.2,2.5,0.5
AZ-06,district,AZ,-0.62,3.15,2.53,-0.76,41.6,55.1,-13.4,-0.6,66.6,4.3,21.1,4.3,3.2,0.5
AZ-07,district,AZ,25.31,3.15,28.46,22.39,28.3,68.4,-40.1,-5.2,32.1,4.8,54.1,2.9,5.7,0.4
AZ-08,district,AZ,-16.0,3.15,-12.85,-16.48,48.4,48.3,0.0,-0.2,68.2,5.3,18.0,5.3,2.9,0.4
AZ-09,district,AZ,-30.21,3.15,-27.06,-31.34,53.9,42.8,11.1,-1.2,61.6,5.2,25.5,3.4,3.7,0.5
CA-01,district,CA,13.97,3.15,17.12,12.63,35.2,61.5,-26.2,-1.0,63.8,2.5,22.6,4.8,5.5,0.7
CA-02,district,CA,26.43,3.15,29.58,25.45,30.6,66.1,-35.5,0.3,72.6,2.5,13.0,5.5,5.8,0.6
CA-03,district,CA,11.4,3.15,14.55,10.55,36.6,60.1,-23.5,-0.5,60.3,6.6,16.3,12.4,3.4,1.1
CA-04,district,CA,16.77,3.15,19.92,14.96,33.5,63.1,-29.6,-2.0,53.7,3.1,27.0,11.4,4.0,0.7
CA-05,district,CA,-19.75,3.15,-16.6,-21.2,49.3,47.4,1.9,-1.5,58.5,3.2,25.1,7.6,4.7,0.9
CA-06,district,CA,9.83,3.15,12.98,8.67,37.0,59.7,-22.7,-1.1,53.3,8.2,19.4,14.1,3.6,1.4
CA-07,district,CA,15.12,3.15,18.27,13.26,34.4,62.3,-27.9,-1.7,42.8,9.9,20.2,21.9,3.3,1.9
CA-08,district,CA,37.61,3.15,40.76,35.19,24.5,72.2,-47.7,-2.4,32.4,15.1,27.1,20.5,3.4,1.4
CA-09,district,CA,15.48,3.15,18.63,11.8,33.4,63.3,-29.9,-3.4,28.0,12.6,33.1,21.2,3.6,1.5
CA-10,district,CA,36.05,3.15,39.2,34.75,25.7,71.0,-45.3,-1.4,52.0,5.0,17.7,22.1,2.3,0.9
CA-11,district,CA,72.6,3.15,75.75,70.62,10.1,86.6,-76.5,-1.5,44.1,6.5,13.0,33.8,1.9,0.7
CA-12,district,CA,79.37,3.15,82.52,77.64,7.1,89.6,-82.5,-1.7,34.2,17.5,20.6,23.9,3.0,0.9
CA-13,district,CA,4.96,3.15,8.11,0.51,36.5,60.2,-23.7,-6.2,23.3,4.6,57.9,8.5,4.9,0.8
CA-14,district,CA,39.07,3.15,42.22,36.2,23.4,73.3,-49.9,-3.3,26.4,5.8,21.2,42.5,2.4,1.8
CA-15,district,CA,52.23,3.15,55.38,49.64,17.7,78.9,-61.2,-3.5,29.6,3.6,24.2,38.8,2.1,1.7
CA-16,district,CA,51.53,3.15,54.68,49.91,18.7,78.0,-59.2,-2.1,44.7,2.7,17.9,32.0,2.0,0.7
CA-17,district,CA,43.61,3.15,46.76,40.75,21.4,75.3,-53.9,-3.5,23.0,2.8,15.6,56.2,1.7,0.8
CA-18,district,CA,33.3,3.15,36.45,29.37,24.3,72.4,-48.2,-6.5,21.0,2.8,58.3,12.6,4.6,0.7
CA-19,district,CA,37.22,3.15,40.37,35.64,24.9,71.8,-46.8,-1.9,50.8,3.2,21.6,20.6,3.0,0.8
CA-20,district,CA,-31.84,3.15,-28.69,-32.98,53.9,42.8,11.1,-2.6,50.4,4.1,33.2,7.5,4.4,0.5
CA-21,district,CA,9.94,3.15,13.09,6.17,34.4,62.3,-28.0,-6.2,21.9,5.6,57.5,10.5,4.2,0.4
CA-22,district,CA,2.96,3.15,6.11,-1.86,36.8,59.9,-23.1,-7.2,16.5,5.9,67.5,5.9,3.9,0.3
CA-23,district,CA,-18.3,3.15,-15.15,-19.9,47.9,48.7,-0.8,-3.0,42.3,9.5,37.7,5.5,4.3,0.7
CA-24,district,CA,26.79,3.15,29.94,25.76,29.0,67.7,-38.7,-2.6,52.8,2.5,33.2,7.2,3.7,0.5
CA-25,district,CA,8.76,3.15,11.91,5.97,35.3,61.4,-26.1,-5.3,32.3,4.6,54.6,4.4,3.8,0.4
CA-26,district,CA,17.54,3.15,20.69,15.73,32.5,64.1,-31.6,-3.3,45.5,3.2,37.1,10.5,3.3,0.5
CA-27,district,CA,12.56,3.15,15.71,10.06,34.5,62.2,-27.8,-3.8,33.3,11.0,41.1,10.9,3.3,0.5
CA-28,district,CA,28.27,3.15,31.42,26.17,27.8,68.8,-41.0,-3.6,27.5,4.9,25.1,39.9,2.3,0.4
CA-29,district,CA,39.51,3.15,42.66,34.71,21.8,74.8,-53.0,-6.1,24.2,5.1,57.5,9.3,3.5,0.3
CA-30,district,CA,43.42,3.15,46.57,41.41,22.5,74.1,-51.6,-1.4,56.3,4.8,21.7,14.8,2.1,0.3
CA-31,district,CA,16.15,3.15,19.3,12.61,31.8,64.9,-33.0,-6.0,20.1,4.3,51.2,20.5,3.4,0.4
CA-32,district,CA,28.34,3.15,31.49,25.76,28.9,67.8,-38.9,-1.5,55.1,5.0,22.5,14.9,2.1,0.4
CA-33,district,CA,14.39,3.15,17.54,10.12,32.8,63.9,-31.1,-5.6,20.0,11.7,54.9,9.1,3.7,0.6
CA-34,district,CA,57.12,3.15,60.27,53.04,13.9,82.8,-68.9,-7.0,11.8,5.4,58.8,19.4,4.2,0.3
CA-35,district,CA,12.24,3.15,15.39,8.0,33.5,63.1,-29.6,-5.9,20.2,7.3,53.3,15.0,3.6,0.6
CA-36,district,CA,41.99,3.15,45.14,40.42,23.4,73.3,-49.9,-0.9,57.1,4.8,15.3,20.4,1.8,0.5
CA-37,district,CA,66.13,3.15,69.28,62.31,11.4,85.3,-73.9,-4.3,14.0,25.5,48.4,8.2,3.6,0.3
CA-38,district,CA,17.13,3.15,20.28,12.8,30.9,65.7,-34.8,-6.9,14.1,1.7,54.7,26.0,3.2,0.3
CA-39,district,CA,14.09,3.15,17.24,9.85,32.8,63.9,-31.0,-5.7,21.6,10.0,56.4,7.6,3.7,0.6
CA-40,district,CA,-11.7,3.15,-8.55,-12.6,45.5,51.2,-5.6,-2.3,49.6,5.3,28.4,13.1,2.8,0.8
CA-41,district,CA,17.83,3.15,20.98,14.61,31.1,65.6,-34.5,-6.0,23.1,4.7,55.6,12.2,3.7,0.6
CA-42,district,CA,15.25,3.15,18.4,13.57,34.1,62.6,-28.5,-2.2,47.5,6.7,27.9,14.1,2.9,0.9
CA-43,district,CA,54.96,3.15,58.11,50.59,15.8,80.8,-65.0,-4.9,7.6,26.3,51.9,10.1,3.4,0.7
CA-44,district,CA,41.6,3.15,44.75,36.32,20.4,76.2,-55.8,-7.1,8.9,10.6,64.7,10.8,3.9,1.1
CA-45,district,CA,6.76,3.15,9.91,4.07,36.5,60.2,-23.7,-4.6,21.5,3.1,30.9,41.4,2.3,0.8
CA-46,district,CA,20.26,3.15,23.41,16.7,29.8,66.9,-37.2,-6.6,19.3,2.6,57.4,16.0,4.1,0.6
CA-47,district,CA,11.79,3.15,14.94,10.47,35.8,60.9,-25.1,-1.8,48.9,2.7,16.6,29.7,1.6,0.5
CA-48,district,CA,4.15,3.15,7.3,3.52,38.4,58.2,-19.8,-2.9,46.1,5.1,35.0,9.1,3.9,0.9
CA-49,district,CA,13.11,3.15,16.26,12.48,35.5,61.1,-25.6,-1.1,59.5,3.2,19.4,14.7,2.3,0.9
CA-50,district,CA,19.36,3.15,22.51,18.83,32.9,63.8,-30.8,-1.0,56.9,4.0,16.6,19.5,2.2,0.8
CA-51,district,CA,19.95,3.15,23.1,18.79,32.5,64.2,-31.7,-1.5,52.8,8.1,23.9,11.3,2.9,1.0
CA-52,district,CA,22.64,3.15,25.79,18.06,29.0,67.7,-38.7,-6.1,16.8,8.3,55.0,15.7,3.3,1.0
CO-01,district,CO,58.82,3.15,61.97,57.61,16.2,80.5,-64.3,-1.0,57.7,9.5,24.0,5.1,3.3,0.4
CO-02,district,CO,40.74,3.15,43.89,40.92,24.6,72.0,-47.4,0.6,78.8,1.6,12.3,4.8,2.3,0.3
CO-03,district,CO,-9.78,3.15,-6.63,-9.98,45.4,51.2,-5.8,-0.8,69.5,1.5,22.6,1.4,4.8,0.3
CO-04,district,CO,-19.22,3.15,-16.07,-18.71,50.2,46.5,3.7,0.6,78.3,2.5,11.8,4.5,2.7,0.3
CO-05,district,CO,-10.24,3.15,-7.09,-9.34,46.1,50.6,-4.4,0.2,68.2,7.6,15.2,4.9,3.4,0.8
CO-06,district,CO,20.85,3.15,24.0,20.36,32.6,64.1,-31.5,-0.4,58.9,11.2,19.1,7.2,3.0,0.5
CO-07,district,CO,14.76,3.15,17.91,15.41,35.6,61.1,-25.4,0.4,77.2,2.0,13.3,4.1,3.2,0.2
CO-08,district,CO,-0.6,3.15,2.55,-1.88,40.7,56.0,-15.3,-2.5,55.1,2.5,33.9,4.3,3.9,0.3
CT-01,district,CT,24.46,3.15,27.61,23.27,31.5,65.2,-33.8,0.4,60.2,16.7,15.3,6.2,1.5,0.1
CT-02,district,CT,8.44,3.15,11.59,7.86,38.7,57.9,-19.2,1.3,80.5,5.1,7.7,4.4,2.1,0.2
CT-03,district,CT,15.51,3.15,18.66,14.34,35.4,61.3,-26.0,0.6,64.1,14.8,14.2,5.3,1.5,0.1
CT-04,district,CT,25.33,3.15,28.48,23.73,30.8,65.9,-35.2,-0.3,59.4,13.4,19.8,6.1,1.2,0.1
CT-05,district,CT,6.68,3.15,9.83,5.68,38.8,57.9,-19.0,-0.0,67.4,8.8,18.0,4.2,1.5,0.1
DE-01,district,DE,15.61,3.15,18.76,14.84,35.8,60.9,-25.1,1.5,61.9,22.6,8.6,4.8,2.0,0.1
FL-01,district,FL,-36.7,3.15,-33.55,-37.53,58.1,38.6,19.4,1.6,72.0,13.5,6.7,4.2,3.2,0.4
