chamber,avg_dem_seats,avg_gop_seats,projected_dem_seats,dem_control_pct,needed,races
Senate,49.8,50.2,49,46.3,51,35
House,231.6,203.4,228,65.9,218,435
Governors,23.5,26.5,25,37.9,26,36
