race_code,poll_dem,poll_rep,poll_oth,poll_oth_party,poll_dem2,poll_rep2,poll_count,poll_recency
AK-01,46.17,50.17,0.0,,0.0,0.0,2,0.2019
AK-GOV,46.99,37.94,0.0,,0.0,6.88,3,0.3393
AK-SEN,46.31,46.61,0.0,,0.0,1.7,11,0.1672
AL-02,44.0,45.0,0.0,,0.0,0.0,1,0.7236
AL-GOV,34.1,52.6,0.0,,0.0,0.0,1,0.0041
AR-02,46.5,42.0,0.0,,0.0,0.0,1,0.2387
AR-SEN,36.0,58.0,0.0,,0.0,0.0,1,0.0312
AZ-01,42.71,42.94,0.0,,0.0,0.0,2,0.0039
AZ-02,41.0,44.0,7.0,LIB,0.0,0.0,1,0.5743
AZ-06,46.96,44.87,0.0,,0.0,0.0,3,0.1976
AZ-GOV,42.71,36.77,2.97,IND,0.0,0.0,10,0.058
CA-22,48.0,44.0,0.0,,0.0,0.0,1,0.6598
CA-GOV,57.29,33.73,0.0,,0.0,0.0,4,0.5605
CO-03,37.0,47.0,0.0,,0.0,0.0,1,0.064
CO-05,40.0,43.0,5.0,IND,0.0,0.0,1,0.0032
CO-GOV,50.1,37.8,0.0,,0.0,0.0,1,0.0005
CT-GOV,49.0,36.0,0.0,,0.0,0.0,1,0.691
FL-13,39.0,41.0,0.0,,0.0,0.0,1,0.315
FL-22,43.0,45.0,0.0,,0.0,0.0,1,0.7236
FL-25,42.9,32.7,0.0,,0.0,0.0,1,0.2078
FL-27,43.0,46.0,0.0,,0.0,0.0,1,0.0583
FL-28,41.0,45.0,0.0,,0.0,0.0,1,0.057
FL-GOV,38.23,41.57,1.8,NPA,0.0,0.0,14,0.1194
FL-SEN,36.73,47.8,0.0,,0.0,0.0,3,0.0947
GA-GOV,51.22,46.32,0.0,,0.0,0.0,4,0.5294
GA-SEN,54.7,43.03,0.0,,0.0,0.0,9,0.1745
IA-01,43.0,39.0,0.0,,0.0,0.0,1,0.0001
IA-02,36.0,33.0,0.0,,0.0,0.0,1,0.1371
IA-03,42.0,48.0,0.0,,0.0,0.0,1,0.067
IA-GOV,50.38,45.25,0.0,,0.0,0.0,4,0.5838
IA-SEN,47.62,47.09,0.0,,0.0,0.0,8,0.4154
ID-SEN,35.63,41.47,0.0,,0.0,0.0,2,0.2437
IL-GOV,54.3,34.0,0.0,,0.0,0.0,1,0.0053
KS-SEN,46.0,54.0,0.0,,0.0,0.0,1,0.0237
KY-06,37.16,37.4,0.0,,0.0,0.0,2,0.4762
KY-SEN,38.0,49.0,0.0,,0.0,0.0,1,0.0094
MA-GOV,53.79,31.4,0.0,,0.0,0.0,6,0.2762
MA-SEN,52.51,32.08,0.0,,0.0,0.0,7,0.2069
MD-GOV,49.9,28.0,0.0,,0.0,0.0,1,0.0142
ME-02,42.48,48.76,0.0,,0.0,0.0,2,0.1131
ME-GOV,52.66,39.25,2.78,IND,0.0,0.0,2,0.7463
ME-SEN,48.49,43.49,0.0,,0.0,0.0,2,0.9439
MI-04,47.46,45.22,0.0,,0.0,0.0,3,0.1625
MI-07,48.0,46.0,0.0,,0.0,0.0,1,0.8123
MI-10,44.0,42.0,0.0,,0.0,0.0,1,0.0184
MI-GOV,44.43,35.22,7.18,IND,0.0,0.0,16,0.0964
MI-SEN,45.47,43.18,0.0,,0.0,0.0,14,0.3316
MN-01,41.49,47.93,0.0,,0.0,0.0,2,0.0471
MN-02,45.0,40.0,0.0,,0.0,0.0,1,0.6598
MN-GOV,48.65,38.98,0.0,,0.0,0.0,3,0.189
MN-SEN,49.71,42.88,0.0,,0.0,0.0,4,0.1025
MO-02,41.0,44.0,0.0,,0.0,0.0,1,0.4061
MS-SEN,39.0,42.0,6.0,IND,0.0,0.0,1,0.1309
MT-01,43.87,44.5,0.0,,0.0,4.37,2,0.4732
MT-SEN,28.92,45.17,15.16,IND,0.0,0.0,3,0.6612
NC-01,44.29,40.94,0.25,LIB,0.0,0.0,3,0.332
NC-10,37.0,52.0,0.0,,0.0,0.0,1,0.064
NC-14,40.0,48.0,0.0,,0.0,0.0,1,0.064
NC-SEN,49.28,40.08,0.81,LIB,0.0,0.0,20,0.1299
NE-01,38.0,45.0,0.0,,0.0,0.0,1,0.2558
NE-02,46.5,40.5,0.0,,0.0,0.0,1,0.0025
NE-GOV,33.0,38.0,12.0,LMN,0.0,0.0,1,0.1166
NE-SEN,47.0,42.8,0.0,,0.0,0.0,3,0.0948
NH-02,49.87,31.71,0.0,,0.0,0.0,6,0.1372
NH-GOV,38.17,44.73,0.0,,0.0,0.0,4,0.4123
NH-SEN,46.63,42.63,0.0,,0.0,0.0,16,0.1601
NJ-02,36.0,46.0,0.0,,0.0,0.0,1,0.0001
NJ-07,47.0,43.0,0.0,,0.0,0.0,1,0.3618
NM-02,43.0,41.0,0.0,,0.0,0.0,1,0.1895
NV-GOV,40.44,42.52,0.0,,0.0,0.0,5,0.0731
NY-01,38.0,41.0,0.0,,0.0,0.0,1,0.0078
NY-04,46.0,41.0,0.0,,0.0,0.0,1,0.0376
NY-17,51.0,45.0,0.0,,0.0,0.0,1,0.8312
NY-18,42.0,35.0,0.0,,0.0,0.0,1,0.0376
NY-21,44.0,45.0,0.0,,0.0,0.0,1,0.4061
NY-GOV,50.54,33.74,0.32,LIB,0.0,0.0,14,0.1436
OH-07,43.0,44.0,0.0,,0.0,0.0,1,0.6447
OH-09,43.0,47.0,3.0,LIB,0.0,0.0,1,0.1575
OH-GOV,47.65,47.15,0.08,LIB,0.0,0.0,16,0.1632
OH-SEN,48.69,47.86,0.09,LIB,0.0,0.0,14,0.1901
OR-GOV,44.2,47.13,0.0,,0.0,0.0,3,0.3323
PA-01,41.97,47.81,0.0,,0.0,0.0,2,0.0412
PA-07,47.0,43.0,0.0,,0.0,0.0,1,0.8507
PA-08,46.51,45.0,0.0,,0.0,0.0,3,0.4051
PA-10,50.81,44.94,0.0,,0.0,0.0,3,0.0579
PA-GOV,51.88,30.24,0.0,,0.0,0.0,9,0.2605
RI-GOV,38.59,21.21,18.93,IND,0.0,0.0,2,0.4891
RI-SEN,52.0,34.82,0.0,,0.0,0.0,2,0.4242
SD-SEN,35.08,52.22,0.0,,0.0,0.0,5,0.288
TN-GOV,27.0,51.0,0.0,,0.0,0.0,2,0.0928
TX-15,47.96,45.98,0.0,,0.0,0.0,2,0.1773
TX-23,40.0,42.0,0.0,,0.0,0.0,1,0.0625
TX-28,35.5,44.0,0.0,,0.0,0.0,1,0.691
TX-34,40.79,43.36,0.0,,0.0,0.0,2,0.3908
TX-GOV,42.26,48.75,0.43,LIB,0.0,0.0,14,0.3011
TX-SEN,45.24,44.43,0.9,LIB,0.0,0.0,18,0.2808
VA-01,41.97,45.92,0.0,,0.0,0.0,2,0.0322
VT-01,57.0,26.0,1.0,IND,0.0,0.0,1,0.691
VT-GOV,27.0,42.0,3.0,OTH,0.0,0.0,1,0.691
WA-03,34.0,41.0,0.0,,0.0,0.0,1,0.1939
WA-05,47.0,53.0,0.0,,0.0,0.0,1,0.3536
WI-01,41.0,50.0,0.0,,0.0,0.0,1,0.0702
WI-03,49.96,46.05,0.0,,0.0,0.0,5,0.3786
WI-06,39.0,61.0,0.0,,0.0,0.0,1,0.3789
WI-GOV,40.71,39.42,0.0,,0.0,0.0,1,0.0752
