race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
MN-SEN,senate,MN,SEN,Peggy Flanagan,Adam Schwarze,DEM,REP,,DEM,8.48,79.2,20.8,Likely D,5.86,3.96,10.16,1.05,0.0,-0.72,4.34,4.14,False,False,,,0.0,0.0,,,0.0,presumptive,presumptive,46.0,44.0,1,-1.0,0.15,4646309,1102851,0,54.24,45.76,0.0,1235487,1042257,0,0,2277744
MS-SEN,senate,MS,SEN,Scott Colom,Cindy Hyde-Smith,DEM,REP,REP,REP,-14.36,8.4,91.6,Likely R,-21.5,3.96,-15.83,-0.54,2.62,-0.37,-23.15,8.79,False,False,,,0.0,0.0,,,0.0,presumptive,confirmed,39.0,42.0,1,-6.0,0.15,1619368,3394175,0,42.82,57.18,0.0,368104,491501,0,0,859605
MT-SEN,senate,MT,SEN,Alani Bankhead,Kurt Alme,DEM,REP,,REP,-23.09,0.0,89.8,Safe R,-19.79,3.96,-18.95,-2.11,0.0,-1.01,-20.58,-2.51,False,True,IND,Seth Bodnar,30.14,10.2,,,0.0,projected,confirmed,,,0,,0.0,23884,1184127,2113231,12.97,53.23,3.66,54749,224673,15448,127205,422074
NC-SEN,senate,NC,SEN,Roy Cooper,Michael Whatley,DEM,REP,,REP,4.94,68.2,31.8,Lean D,-2.64,3.96,3.78,0.87,1.9,-0.3,-3.27,8.21,False,False,GRN,,0.0,0.0,,,0.0,confirmed,confirmed,49.32,39.68,16,9.58,0.28,26822373,8410252,0,51.49,46.64,1.87,2053092,1859810,74566,0,3987467
NE-SEN,senate,NE,SEN,(no Democrat — backs Osborn),Pete Ricketts,DEM,REP,REP,REP,-8.69,30.5,69.5,Lean R,-20.2,3.96,-21.78,-3.44,-1.62,-0.48,-20.84,12.15,False,True,IND,Dan Osborn,45.66,30.5,,,0.0,,confirmed,,,0,,0.0,0,4866649,3856315,0.0,54.34,0.0,0,360302,0,302709,663011
NH-SEN,senate,NH,SEN,Chris Pappas,Scott Brown,DEM,REP,,DEM,8.97,80.5,19.5,Likely D,-0.1,3.96,8.52,1.32,4.2,-0.86,2.82,6.15,False,False,,,0.0,0.0,,,0.0,presumptive,projected,48.95,38.67,11,10.29,0.257,9860676,1664338,0,54.49,45.51,0.0,315114,263218,0,0,578332
NJ-SEN,senate,NJ,SEN,Cory Booker,Justin Murphy,DEM,REP,DEM,DEM,18.36,96.1,3.9,Safe D,8.13,3.96,18.36,4.2,1.88,0.19,5.63,12.74,False,False,,,0.0,0.0,,,0.0,confirmed,projected,,,0,,0.0,17623907,15454,0,59.18,40.82,0.0,1724345,1189341,0,0,2913686
NM-SEN,senate,NM,SEN,Ben Ray Lujan,Larry Marker,DEM,REP,DEM,DEM,17.29,95.1,4.9,Safe D,7.45,3.96,17.29,3.09,1.67,1.12,6.14,11.15,False,False,,,0.0,0.0,,,0.0,confirmed,projected,,,0,,0.0,5019140,32400,0,58.64,41.36,0.0,379068,267310,0,0,646377
OH-SEN,senate,OH,SEN,Sherrod Brown,Jon Husted,DEM,REP,REP,REP,-2.49,40.6,59.4,Toss-up,-8.67,3.96,-3.33,0.68,1.39,-0.69,-11.31,8.82,False,False,LIB,,0.0,0.0,,,0.0,confirmed,confirmed,47.04,49.19,10,-1.24,0.25,25979968,10527814,0,47.99,50.44,1.57,1936606,2035549,63358,0,4035512
OK-SEN,senate,OK,SEN,Jim Priest,Kevin Hern,DEM,REP,,REP,-36.04,0.0,100.0,Safe R,-33.97,3.96,-36.04,-2.55,-2.78,-0.7,-34.95,-1.09,False,False,,,0.0,0.0,,,0.0,presumptive,confirmed,,,0,,0.0,263329,9295139,0,31.98,68.02,0.0,350588,745635,0,0,1096222
