race_code,round,dem,rep,other,exhausted,eliminated
AK-GOV,1,44.28,47.72,8.0,0.0,
AK-GOV,2,47.64,50.76,0.0,1.6,Other
AK-SEN,1,45.12,46.88,8.0,0.0,
AK-SEN,2,48.48,49.92,0.0,1.6,Other
ME-SEN,1,47.33,47.67,5.0,0.0,
ME-SEN,2,49.43,49.57,0.0,1.0,Other
AK-01,1,45.52,46.48,8.0,0.0,
AK-01,2,48.88,49.52,0.0,1.6,Other
ME-01,1,61.22,33.78,5.0,0.0,
ME-01,2,63.32,35.68,0.0,1.0,Other
ME-02,1,49.75,45.25,5.0,0.0,
ME-02,2,51.85,47.15,0.0,1.0,Other
