race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-SEN,senate,AK,SEN,Mary Peltola,Dan Sullivan,DEM,REP,REP,REP,-4.39,41.1,58.9,Toss-up,-12.33,3.29,-5.77,0.21,4.11,-1.06,-13.8,9.41,True,False,,,0.0,0.0,,,0.0,presumptive,confirmed,47.65,45.85,7,0.9,0.223,8661662,6500847,0,47.04,51.36,1.6,111226,121437,3783,0,236446
AL-SEN,senate,AL,SEN,Everett Wess,Barry Moore,DEM,REP,,REP,-26.13,0.6,99.4,Safe R,-27.47,3.29,-26.13,-2.4,0.93,-0.48,-30.88,4.75,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,73770,2980325,0,36.93,63.07,0.0,585593,999970,0,0,1585563
AR-SEN,senate,AR,SEN,Hallie Shoffner,Tom Cotton,DEM,REP,REP,REP,-27.8,0.4,99.6,Safe R,-29.57,3.29,-29.36,-0.9,-1.67,-0.51,-31.57,3.76,False,False,,,0.0,0.0,,,0.0,presumptive,confirmed,36.0,58.0,1,-19.0,0.15,1589764,5406040,0,36.1,63.9,0.0,303034,536423,0,0,839457
CO-SEN,senate,CO,SEN,John Hickenlooper,Mark Baisley,DEM,REP,DEM,DEM,23.75,98.8,1.2,Safe D,13.59,3.29,23.75,3.32,3.55,-0.01,11.29,12.45,False,False,,,0.0,0.0,,,0.0,confirmed,presumptive,,,0,,0.0,6818283,31866,0,61.87,38.13,0.0,1382814,852107,0,0,2234922
DE-SEN,senate,DE,SEN,Chris Coons,Michael Katz,DEM,REP,DEM,DEM,23.12,98.6,1.4,Safe D,15.61,3.29,23.12,2.84,1.67,-0.28,14.84,8.28,False,False,,,0.0,0.0,,,0.0,confirmed,projected,,,0,,0.0,3044649,20211,0,61.56,38.44,0.0,220110,137433,0,0,357542
FL-SEN,senate,FL,SEN,Alexander Vindman,Ashley Moody,DEM,REP,REP,REP,-6.7,26.1,73.9,Lean R,-8.81,3.29,-6.7,-0.02,-1.67,0.51,-13.22,6.52,False,False,,,0.0,0.0,,,0.0,projected,confirmed,,,0,,0.0,8188392,8407064,0,46.65,53.35,0.0,3571047,4083779,0,0,7654826
GA-SEN,senate,GA,SEN,Jon Ossoff,Mike Collins,DEM,REP,DEM,DEM,9.57,82.0,18.0,Likely D,-0.79,3.29,10.98,1.88,6.73,-0.12,-2.21,11.78,False,False,,,0.0,0.0,,,0.0,confirmed,projected,39.54,38.81,5,3.73,0.194,60439613,4880582,0,54.79,45.21,0.0,2013411,1661635,0,0,3675046
IA-SEN,senate,IA,SEN,Josh Turek,Ashley Hinson,DEM,REP,,REP,-3.4,37.2,62.8,Lean R,-8.4,3.29,-3.56,3.19,-0.93,-0.71,-13.45,10.04,False,False,LIB,,0.0,0.0,,,0.0,presumptive,presumptive,41.0,44.0,1,-6.0,0.15,3463099,0,0,47.03,50.34,2.63,547620,586209,30625,0,1164454
ID-SEN,senate,ID,SEN,David Roth,Jim Risch,DEM,REP,REP,REP,-41.46,0.0,100.0,Safe R,-38.36,3.29,-41.46,-2.93,-2.97,-0.49,-37.52,-3.93,False,False,,,0.0,0.0,,,0.0,presumptive,confirmed,,,0,,0.0,8642,2864280,0,29.27,70.73,0.0,185442,448100,0,0,633543
IL-SEN,senate,IL,SEN,Juliana Stratton,Don Tracy,DEM,REP,,DEM,18.15,95.9,4.1,Safe D,14.33,3.29,18.15,0.53,0.0,0.0,11.14,7.01,False,False,,,0.0,0.0,,,0.0,presumptive,projected,,,0,,0.0,4791273,2327334,0,59.08,40.92,0.0,2336269,1618468,0,0,3954737
KS-SEN,senate,KS,SEN,Adam Hamilton,Roger Marshall,DEM,REP,REP,REP,-15.56,6.8,93.2,Likely R,-15.51,3.29,-16.9,-3.16,-1.09,-0.43,-16.41,0.85,False,False,,,0.0,0.0,,,0.0,projected,confirmed,46.0,54.0,1,-8.0,0.15,0,3331963,0,42.22,57.78,0.0,392334,536980,0,0,929314
KY-SEN,senate,KY,SEN,Charles Booker,Andy Barr,DEM,REP,,REP,-31.55,0.1,99.9,Safe R,-30.03,3.29,-34.38,-2.04,-4.86,-0.75,-31.03,-0.52,False,False,,,0.0,0.0,,,0.0,presumptive,projected,37.0,49.5,1,-15.5,0.15,508684,8403849,0,34.22,65.78,0.0,496997,955171,0,0,1452169
LA-SEN,senate,LA,SEN,Gary Crockett,Julia Letlow,DEM,REP,,REP,-27.37,0.4,99.6,Safe R,-21.33,3.29,-27.37,-1.95,-7.1,-0.28,-22.36,-5.01,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,350000,5356520,0,36.31,63.69,0.0,510169,894713,0,0,1404882
MA-SEN,senate,MA,SEN,Ed Markey,John Deaton,DEM,REP,DEM,DEM,33.26,99.9,0.1,Safe D,29.02,3.29,34.37,0.73,1.67,-0.34,25.91,7.35,False,False,,,0.0,0.0,,,0.0,confirmed,presumptive,55.41,27.95,4,28.06,0.175,3804689,1400141,0,66.63,33.37,0.0,1620210,811357,0,0,2431568
ME-SEN,senate,ME,SEN,Graham Platner,Susan Collins,DEM,REP,REP,REP,-0.36,49.8,50.2,Toss-up,8.18,3.29,-2.84,0.22,-13.55,-0.97,7.09,-7.45,True,False,,,0.0,0.0,,,0.0,presumptive,confirmed,47.43,39.97,7,7.72,0.223,16312222,12165046,0,49.32,49.68,1.0,287024,289119,5820,0,581962
MI-SEN,senate,MI,SEN,Abdul El-Sayed,Mike Rogers,DEM,REP,,DEM,4.12,65.3,34.7,Lean D,2.35,3.29,5.44,-0.0,0.44,-0.63,-1.44,5.55,False,False,,,0.0,0.0,,,0.0,presumptive,presumptive,41.98,43.36,5,-1.38,0.194,7646728,7676445,0,52.06,47.94,0.0,2063708,1900553,0,0,3964262
MN-SEN,senate,MN,SEN,Peggy Flanagan,Adam Schwarze,DEM,REP,,DEM,7.77,77.1,22.9,Likely D,5.7,3.29,9.32,1.05,0.0,-0.72,4.34,3.43,False,False,,,0.0,0.0,,,0.0,presumptive,presumptive,46.0,44.0,1,-1.0,0.15,4646309,1102851,0,53.89,46.11,0.0,1227379,1050365,0,0,2277744
