race_code,round,cand_id,name,party,slot,pct,votes,status,exhausted_pct
AK-GOV,1,C-0073,Jonathan Kreiss-Tomkins,DEM,dem,45.7,108053,active,0.0
AK-GOV,1,C-0074,Bernadette Wilson,REP,rep,21.38,50548,active,0.0
AK-GOV,1,C-1061,Dave Bronson,REP,,17.32,40944,active,0.0
AK-GOV,1,C-1068,Treg Taylor,REP,,15.61,36900,eliminated,0.0
AK-GOV,2,C-0073,Jonathan Kreiss-Tomkins,DEM,dem,47.53,112373,active,4.53
AK-GOV,2,C-0074,Bernadette Wilson,REP,rep,26.49,62626,active,4.53
AK-GOV,2,C-1061,Dave Bronson,REP,,21.45,50727,eliminated,4.53
AK-GOV,3,C-0073,Jonathan Kreiss-Tomkins,DEM,dem,50.04,118312,elected,10.77
AK-GOV,3,C-0074,Bernadette Wilson,REP,rep,39.2,92679,active,10.77
AK-SEN,1,C-0001,Mary Peltola,DEM,dem,47.86,113155,active,0.0
AK-SEN,1,C-0002,Dan S. Sullivan,REP,rep,48.47,114611,active,0.0
AK-SEN,1,C-1062,Daniel J. Sullivan Jr.,NPA,,2.5,5911,active,0.0
AK-SEN,1,C-1066,Gerald L. Heikes,REP,,1.17,2768,eliminated,0.0
AK-SEN,2,C-0001,Mary Peltola,DEM,dem,47.92,113316,active,0.53
AK-SEN,2,C-0002,Dan S. Sullivan,REP,rep,48.87,115553,active,0.53
AK-SEN,2,C-1062,Daniel J. Sullivan Jr.,NPA,,2.67,6315,eliminated,0.53
AK-SEN,3,C-0001,Mary Peltola,DEM,dem,48.65,115034,active,1.75
AK-SEN,3,C-0002,Dan S. Sullivan,REP,rep,49.6,117270,elected,1.75
AK-01,1,C-0145,Nick Begich III,REP,rep,49.72,117558,active,0.0
AK-01,1,C-1013,Bill Hill,IND,ind,45.28,107066,active,0.0
AK-01,1,C-1063,Eric Hafner,DEM,,3.8,8985,active,0.0
AK-01,1,C-1071,"James C. ""Jim"" McDermott",LIB,,1.2,2837,eliminated,0.0
AK-01,2,C-0145,Nick Begich III,REP,rep,50.19,118672,active,0.24
AK-01,2,C-1013,Bill Hill,IND,ind,45.67,107978,active,0.24
AK-01,2,C-1063,Eric Hafner,DEM,,3.9,9228,eliminated,0.24
AK-01,3,C-0145,Nick Begich III,REP,rep,50.75,119994,elected,1.02
AK-01,3,C-1013,Bill Hill,IND,ind,48.23,114038,active,1.02
