race_code,round,dem,rep,other,exhausted,eliminated
AK-GOV,1,41.96,50.04,8.0,0.0,
AK-GOV,2,45.32,53.08,0.0,1.6,Other
AK-SEN,1,45.51,46.49,8.0,0.0,
AK-SEN,2,48.87,49.53,0.0,1.6,Other
ME-SEN,1,48.27,46.73,5.0,0.0,
ME-SEN,2,50.37,48.63,0.0,1.0,Other
AK-01,1,42.47,49.53,8.0,0.0,
AK-01,2,46.07,52.33,0.0,1.6,Other
ME-01,1,62.79,32.21,5.0,0.0,
ME-01,2,64.89,34.11,0.0,1.0,Other
ME-02,1,45.01,49.99,5.0,0.0,
ME-02,2,47.11,51.89,0.0,1.0,Other
