race_code,round,dem,rep,other,exhausted,eliminated
AK-GOV,1,40.89,51.11,8.0,0.0,
AK-GOV,2,44.25,54.15,0.0,1.6,Other
AK-SEN,1,43.9,48.1,8.0,0.0,
AK-SEN,2,47.26,51.14,0.0,1.6,Other
ME-SEN,1,46.53,48.47,5.0,0.0,
ME-SEN,2,48.63,50.37,0.0,1.0,Other
AK-01,1,41.1,50.9,8.0,0.0,
AK-01,2,44.7,53.7,0.0,1.6,Other
ME-01,1,61.09,33.91,5.0,0.0,
ME-01,2,63.19,35.81,0.0,1.0,Other
ME-02,1,43.23,51.77,5.0,0.0,
ME-02,2,45.33,53.67,0.0,1.0,Other
