race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Tom Begich,Click Bishop,DEM,REP,,REP,-10.68,30.2,69.8,Lean R,-13.18,3.12,-11.12,0.0,0.0,-1.06,-13.8,3.12,True,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,43.95,54.45,1.6,103910,128753,3783,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-22.4,1.6,98.4,Safe R,-29.63,3.12,-23.62,0.0,3.37,-0.48,-30.88,8.48,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,34.1,52.6,1,-15.5,0.15,0,0,0,38.8,61.2,0.0,615205,970358,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-28.01,0.4,99.6,Safe R,-30.5,3.12,-28.01,0.0,-0.13,-0.51,-31.57,3.55,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,35.99,64.01,0.0,302145,537312,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,6.12,72.0,28.0,Lean D,-4.25,3.12,5.24,0.0,6.01,0.36,-5.59,11.7,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,46.85,37.84,8,9.01,0.233,0,0,0,53.06,46.94,0.0,1258817,1113707,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,27.33,99.5,0.5,Safe D,23.32,3.12,27.33,0.0,0.0,0.89,20.82,6.52,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,63.67,36.33,0.0,7065999,4032544,0,0,11098543
CO-GOV,governor,CO,GOV,Michael Bennet,Barbara Kirkmeyer,DEM,REP,,DEM,19.18,96.6,3.4,Safe D,11.58,3.12,20.39,0.0,5.7,-0.01,11.29,7.89,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.1,37.8,1,12.3,0.15,0,0,0,59.59,40.41,0.0,1331780,903142,0,0,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,17.88,95.6,4.4,Safe D,15.88,3.12,17.88,0.0,-1.03,-0.09,14.76,3.12,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,58.94,41.06,0.0,725655,505485,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-7.9,22.5,77.5,Likely R,-10.56,3.12,-7.4,0.0,-0.47,0.51,-13.22,5.32,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,36.31,45.03,5,-9.99,0.194,0,0,0,46.05,53.95,0.0,3524878,4129948,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Rick Jackson,DEM,REP,,REP,1.29,54.9,45.1,Toss-up,-1.71,3.12,1.29,0.0,0.0,-0.12,-2.21,3.5,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,50.64,49.36,0.0,1861186,1813860,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,30.05,99.8,0.2,Safe D,25.73,3.12,30.05,0.0,1.67,-0.46,23.56,6.49,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,65.03,34.97,0.0,235198,126492,0,0,361691
IA-GOV,governor,IA,GOV,Rob Sand,Zach Lahn,DEM,REP,,REP,1.17,54.5,45.5,Toss-up,-12.1,3.12,1.17,0.0,10.86,-0.71,-13.45,14.62,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,50.59,49.41,0.0,589054,575400,0,0,1164454
ID-GOV,governor,ID,GOV,Terri Pickens,Brad Little,DEM,REP,REP,REP,-46.01,0.0,100.0,Safe R,-36.28,3.12,-46.01,0.0,-12.37,-0.49,-37.52,-8.49,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,26.99,73.01,0.0,171017,462526,0,0,633543
IL-GOV,governor,IL,GOV,JB Pritzker,Darren Bailey,DEM,REP,DEM,DEM,16.66,94.4,5.6,Likely D,12.91,3.12,16.01,0.0,-0.02,0.0,11.14,5.52,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,54.3,34.0,1,20.3,0.15,0,0,0,58.33,41.67,0.0,2306703,1648033,0,0,3954737
KS-GOV,governor,KS,GOV,Ethan Corson,Ty Masterson,DEM,REP,,DEM,-13.57,9.7,90.3,Likely R,-16.26,3.12,-13.57,0.0,0.0,-0.43,-16.41,2.84,False,False,,,0.0,0.0,,,0.0,confirmed,projected,,,0,,0.0,0,0,0,43.21,56.79,0.0,401580,527734,0,0,929314
MA-GOV,governor,MA,GOV,Maura Healey,Mike Minogue,DEM,REP,DEM,DEM,30.61,99.8,0.2,Safe D,27.69,3.12,31.6,0.0,1.13,-0.34,25.91,4.7,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,51.0,26.0,1,25.0,0.15,0,0,0,65.3,34.7,0.0,1587914,843653,0,0,2431568
