race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-SEN,senate,AK,SEN,Mary Peltola,Dan Sullivan,DEM,REP,REP,REP,-1.02,47.9,52.1,Toss-up,-11.82,5.34,-3.21,0.21,4.11,-1.06,-13.8,12.78,True,False,,,0.0,0.0,,,0.0,presumptive,confirmed,49.43,44.29,11,5.11,0.257,8661662,6500847,0,48.7,49.7,1.6,115148,117515,3783,0,236446
AL-SEN,senate,AL,SEN,Everett Wess,Barry Moore,DEM,REP,,REP,-23.65,1.1,98.9,Safe R,-27.04,5.34,-23.65,-2.4,0.93,-0.48,-30.88,7.23,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,73770,2980325,0,38.18,61.82,0.0,605293,980270,0,0,1585563
AR-SEN,senate,AR,SEN,Hallie Shoffner,Tom Cotton,DEM,REP,REP,REP,-25.62,0.7,99.3,Safe R,-29.05,5.34,-26.79,-0.9,-1.67,-0.51,-31.57,5.94,False,False,,,0.0,0.0,,,0.0,presumptive,confirmed,36.0,58.0,1,-19.0,0.15,1589764,5406040,0,37.19,62.81,0.0,312176,527281,0,0,839457
CO-SEN,senate,CO,SEN,John Hickenlooper,Mark Baisley,DEM,REP,DEM,DEM,26.23,99.4,0.6,Safe D,14.03,5.34,26.23,3.32,3.55,-0.01,11.29,14.94,False,False,,,0.0,0.0,,,0.0,confirmed,presumptive,,,0,,0.0,6818283,31866,0,63.12,36.88,0.0,1410583,824338,0,0,2234922
DE-SEN,senate,DE,SEN,Chris Coons,Michael Katz,DEM,REP,DEM,DEM,25.17,99.2,0.8,Safe D,15.61,5.34,25.17,2.84,1.67,-0.28,14.84,10.33,False,False,,,0.0,0.0,,,0.0,confirmed,projected,,,0,,0.0,3044649,20211,0,62.59,37.41,0.0,223775,133768,0,0,357542
FL-SEN,senate,FL,SEN,Alexander Vindman,Ashley Moody,DEM,REP,REP,REP,-4.5,33.2,66.8,Lean R,-8.45,5.34,-4.29,-0.02,-1.67,0.51,-13.22,8.72,False,False,,,0.0,0.0,,,0.0,projected,confirmed,42.39,45.91,10,-5.13,0.25,8188392,8407064,0,47.75,52.25,0.0,3655161,3999666,0,0,7654826
GA-SEN,senate,GA,SEN,Jon Ossoff,Mike Collins,DEM,REP,DEM,DEM,12.04,87.7,12.3,Likely D,-0.01,5.34,13.82,1.88,6.73,-0.12,-2.21,14.25,False,False,,,0.0,0.0,,,0.0,confirmed,projected,48.54,43.48,7,5.83,0.223,60439613,4880582,0,56.02,43.98,0.0,2058764,1616282,0,0,3675046
IA-SEN,senate,IA,SEN,Josh Turek,Ashley Hinson,DEM,REP,,REP,-0.63,47.6,52.4,Toss-up,-7.79,5.34,-0.9,3.19,-0.93,-0.71,-13.45,12.81,False,False,LIB,,0.0,0.0,,,0.0,presumptive,presumptive,45.45,45.89,4,-2.35,0.175,3463099,0,0,48.38,48.99,2.63,563337,570492,30625,0,1164454
ID-SEN,senate,ID,SEN,David Roth,Jim Risch,DEM,REP,REP,REP,-38.61,0.0,100.0,Safe R,-37.84,5.34,-38.9,-2.93,-2.97,-0.49,-37.52,-1.09,False,False,,,0.0,0.0,,,0.0,presumptive,confirmed,15.0,55.0,1,-37.0,0.15,8642,2864280,0,30.69,69.31,0.0,194461,439082,0,0,633543
IL-SEN,senate,IL,SEN,Juliana Stratton,Don Tracy,DEM,REP,,DEM,20.64,97.7,2.3,Safe D,14.76,5.34,20.64,0.53,0.0,0.0,11.14,9.5,False,False,,,0.0,0.0,,,0.0,presumptive,projected,,,0,,0.0,4791273,2327334,0,60.32,39.68,0.0,2385456,1569281,0,0,3954737
KS-SEN,senate,KS,SEN,Adam Hamilton,Roger Marshall,DEM,REP,REP,REP,-13.39,9.8,90.2,Likely R,-15.0,5.34,-14.34,-3.16,-1.09,-0.43,-16.41,3.02,False,False,,,0.0,0.0,,,0.0,projected,confirmed,46.0,54.0,1,-8.0,0.15,0,3331963,0,43.31,56.69,0.0,402455,526859,0,0,929314
KY-SEN,senate,KY,SEN,Charles Booker,Andy Barr,DEM,REP,,REP,-29.81,0.2,99.8,Safe R,-30.03,5.34,-32.33,-2.04,-4.86,-0.75,-31.03,1.22,False,False,,,0.0,0.0,,,0.0,presumptive,projected,37.0,49.5,1,-15.5,0.15,508684,8403849,0,35.1,64.9,0.0,509649,942519,0,0,1452169
LA-SEN,senate,LA,SEN,Gary Crockett,Julia Letlow,DEM,REP,,REP,-25.32,0.7,99.3,Safe R,-21.33,5.34,-25.32,-1.95,-7.1,-0.28,-22.36,-2.96,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,350000,5356520,0,37.34,62.66,0.0,524569,880313,0,0,1404882
MA-SEN,senate,MA,SEN,Ed Markey,John Deaton,DEM,REP,DEM,DEM,34.18,100.0,0.0,Safe D,29.24,5.34,36.64,0.73,1.67,-0.34,25.91,8.27,False,False,,,0.0,0.0,,,0.0,confirmed,presumptive,55.03,30.16,6,24.92,0.21,3804689,1400141,0,67.09,32.91,0.0,1631288,800280,0,0,2431568
ME-SEN,senate,ME,SEN,Graham Platner,Susan Collins,DEM,REP,REP,REP,2.36,56.4,43.6,Toss-up,8.69,5.34,-0.27,0.22,-13.55,-0.97,7.09,-4.73,True,False,,,0.0,0.0,,,0.0,presumptive,confirmed,50.13,44.38,21,5.9,0.294,16312222,12165046,0,50.67,48.33,1.0,294872,281271,5820,0,581962
MI-SEN,senate,MI,SEN,Abdul El-Sayed,Mike Rogers,DEM,REP,,DEM,6.67,74.0,26.0,Lean D,3.26,5.34,8.41,-0.0,0.44,-0.63,-1.44,8.11,False,False,,,0.0,0.0,,,0.0,presumptive,presumptive,42.8,41.85,10,1.44,0.25,7646728,7676445,0,53.33,46.67,0.0,2114285,1849977,0,0,3964262
MN-SEN,senate,MN,SEN,Peggy Flanagan,Adam Schwarze,DEM,REP,,DEM,11.35,86.3,13.7,Likely D,6.27,5.34,11.94,1.05,0.0,-0.72,4.34,7.01,False,False,,,0.0,0.0,,,0.0,presumptive,presumptive,49.0,41.0,2,7.99,0.15,4646309,1102851,0,55.67,44.33,0.0,1268124,1009620,0,0,2277744
MS-SEN,senate,MS,SEN,Scott Colom,Cindy Hyde-Smith,DEM,REP,REP,REP,-13.18,10.2,89.8,Likely R,-21.5,5.34,-14.45,-0.54,2.62,-0.37,-23.15,9.96,False,False,,,0.0,0.0,,,0.0,presumptive,confirmed,39.0,42.0,1,-6.0,0.15,1619368,3394175,0,43.41,56.59,0.0,373145,486460,0,0,859605
MT-SEN,senate,MT,SEN,Alani Bankhead,Kurt Alme,DEM,REP,,REP,-23.68,0.0,91.9,Safe R,-19.79,5.34,-17.57,-2.11,0.0,-1.01,-20.58,-3.1,False,True,IND,Seth Bodnar,29.9,8.1,,,0.0,projected,confirmed,33.71,49.5,2,-14.17,0.15,23884,1184127,2113231,12.86,53.58,3.66,54258,226156,15448,126212,422074
