chamber,avg_dem_seats,avg_gop_seats,projected_dem_seats,dem_control_pct,needed,races
Senate,49.5,50.5,48,43.8,51,35
House,234.0,201.0,225,63.5,218,435
Governors,23.4,26.6,24,38.1,26,36
