race_code,poll_dem,poll_rep,poll_oth,poll_oth_party,poll_dem2,poll_rep2,poll_count,poll_recency
IA-01,40.0,35.0,11.0,IND,0.0,0.0,2,0.1279
IA-02,38.62,36.14,0.0,,0.0,0.0,2,0.152
IA-03,42.0,48.0,0.0,,0.0,0.0,1,0.0146
ID-01,34.89,45.01,5.98,IND,0.0,0.0,2,0.2989
IL-04,34.0,15.0,9.0,IND,0.0,0.0,1,0.3878
IN-05,46.0,48.0,0.0,,0.0,0.0,1,0.2806
KY-06,44.91,44.86,0.0,,0.0,0.0,4,0.2941
MD-01,39.0,52.0,0.0,,0.0,0.0,1,0.3299
ME-02,47.91,48.13,0.0,,0.0,0.0,3,0.1017
MI-04,47.46,45.22,0.0,,0.0,0.0,3,0.0354
MI-07,48.08,46.08,0.0,,0.0,0.0,2,0.3327
MI-10,44.99,44.98,0.0,,0.0,0.0,2,0.2463
MN-01,41.49,47.93,0.0,,0.0,0.0,2,0.0102
MN-02,45.0,40.0,0.0,,0.0,0.0,1,0.1436
MO-02,41.0,44.0,0.0,,0.0,0.0,1,0.0884
MT-01,43.87,44.5,0.0,,0.0,4.37,2,0.103
NC-01,44.29,40.94,0.25,LIB,0.0,0.0,3,0.0723
NC-03,41.0,44.0,0.0,,0.0,0.0,1,0.3789
NC-07,41.0,47.0,1.5,LIB,0.0,0.0,1,0.5743
NC-10,37.0,52.0,0.0,,0.0,0.0,1,0.0139
NC-14,40.0,48.0,0.0,,0.0,0.0,1,0.0139
NE-01,38.0,45.0,0.0,,0.0,0.0,1,0.0557
NE-02,46.5,40.5,0.0,,0.0,0.0,1,0.0005
NH-02,49.97,34.15,0.0,,0.0,0.0,7,0.1039
NJ-02,36.0,46.0,0.0,,0.0,0.0,1,0.0
NJ-07,47.0,43.0,0.0,,0.0,0.0,1,0.0787
NM-02,43.0,41.0,0.0,,0.0,0.0,1,0.0412
NV-02,44.92,45.49,3.6,IAP,0.0,0.0,2,0.4465
NY-01,38.0,41.0,0.0,,0.0,0.0,1,0.0017
NY-04,46.0,41.0,0.0,,0.0,0.0,1,0.0082
NY-17,47.37,48.02,0.0,,0.0,0.0,2,0.2374
NY-18,53.0,39.0,0.0,,0.0,0.0,1,0.3223
NY-21,42.23,44.82,2.53,IND,0.0,0.0,4,0.4588
OH-01,47.9,44.6,0.0,,0.0,0.0,1,0.63
OH-07,46.47,39.16,0.0,,0.0,0.0,5,0.3524
OH-09,43.0,47.0,3.0,LIB,0.0,0.0,1,0.0343
OH-10,41.0,47.01,1.98,LIB,0.0,0.0,2,0.2783
OH-15,37.88,42.17,7.95,LIB,0.0,0.0,2,0.3015
PA-01,44.9,47.78,0.0,,0.0,0.0,4,0.2697
PA-07,47.0,43.0,0.0,,0.0,0.0,1,0.1851
PA-08,46.51,45.0,0.0,,0.0,0.0,3,0.0882
PA-10,50.81,44.94,0.0,,0.0,0.0,3,0.0126
SC-01,44.5,46.5,2.5,LIB,0.0,0.0,1,0.2939
SC-07,36.7,41.1,0.0,,0.0,0.0,1,0.3376
TN-05,40.0,48.0,1.0,IND,0.0,0.0,1,0.63
TN-09,44.0,48.0,0.0,,0.0,0.0,1,0.7937
TX-15,49.91,45.04,0.0,,0.0,0.0,4,0.2521
TX-23,40.0,42.0,0.0,,0.0,0.0,1,0.0136
TX-28,43.81,35.25,5.25,GRE,0.0,0.0,2,0.3008
TX-34,44.72,42.09,2.8,GRE,0.0,0.0,3,0.2572
TX-35,44.0,45.0,0.0,,0.0,0.0,1,0.7405
VA-01,41.97,45.92,0.0,,0.0,0.0,2,0.007
VA-02,47.0,47.0,0.0,,0.0,0.0,1,0.2387
VA-05,44.0,47.0,0.0,,0.0,0.0,1,0.3703
VT-01,60.96,25.34,1.66,IND,0.0,0.0,2,0.2155
WA-03,41.67,42.92,0.0,,0.0,0.0,2,0.1325
WA-05,47.0,53.0,0.0,,0.0,0.0,1,0.0769
WI-01,47.88,49.02,0.0,,0.0,0.0,2,0.2304
WI-03,49.96,46.05,0.0,,0.0,0.0,5,0.0824
WI-06,39.0,61.0,0.0,,0.0,0.0,1,0.0825
