race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Tom Begich,Click Bishop,DEM,REP,,REP,-7.46,32.7,67.3,Lean R,-13.18,5.32,-13.8,6.34,True,False,,,0.0,0.0,,,0.0,confirmed,confirmed,45.53,52.87,1.6,107652,125011,3783,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-20.94,2.2,97.8,Safe R,-29.63,5.32,-30.88,9.94,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,39.53,60.47,0.0,626799,958764,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-25.3,0.7,99.3,Safe R,-30.5,5.32,-31.57,6.26,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,37.35,62.65,0.0,313520,525937,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,7.08,75.2,24.8,Likely D,-4.25,5.32,-5.59,12.66,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,53.54,46.46,0.0,1270197,1102327,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,28.64,99.7,0.3,Safe D,23.32,5.32,20.82,7.83,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,64.32,35.68,0.0,7138695,3959849,0,0,11098543
CO-GOV,governor,CO,GOV,Michael Bennet,Barbara Kirkmeyer,DEM,REP,,DEM,22.6,98.5,1.5,Safe D,11.58,5.32,11.29,11.31,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,61.3,38.7,0.0,1370041,864880,0,0,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,20.17,97.4,2.6,Safe D,15.88,5.32,14.76,5.41,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,60.09,39.91,0.0,739752,491388,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-5.71,29.1,70.9,Lean R,-10.56,5.32,-13.22,7.51,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,47.14,52.86,0.0,3608829,4045997,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Burt Jones,DEM,REP,,REP,-2.25,41.4,58.6,Toss-up,-1.71,5.32,-2.21,-0.04,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,48.88,51.12,0.0,1796260,1878786,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,32.71,99.9,0.1,Safe D,25.73,5.32,23.56,9.15,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,66.36,33.64,0.0,240009,121682,0,0,361691
IA-GOV,governor,IA,GOV,Rob Sand,Zach Lahn,DEM,REP,,REP,4.08,65.3,34.7,Lean D,-12.1,5.32,-13.45,17.53,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,52.04,47.96,0.0,605997,558457,0,0,1164454
ID-GOV,governor,ID,GOV,Terri Pickens,Brad Little,DEM,REP,REP,REP,-43.32,0.0,100.0,Safe R,-36.28,5.32,-37.52,-5.8,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,28.34,71.66,0.0,179538,454004,0,0,633543
IL-GOV,governor,IL,GOV,JB Pritzker,Darren Bailey,DEM,REP,DEM,DEM,18.21,96.0,4.0,Safe D,12.91,5.32,11.14,7.08,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,59.11,40.89,0.0,2337487,1617250,0,0,3954737
KS-GOV,governor,KS,GOV,Ethan Corson,Vicki Schmidt,DEM,REP,,DEM,-12.79,10.9,89.1,Likely R,-16.26,5.32,-16.41,3.62,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,43.6,56.4,0.0,405220,524094,0,0,929314
MA-GOV,governor,MA,GOV,Maura Healey,Mike Minogue,DEM,REP,DEM,DEM,34.14,100.0,0.0,Safe D,27.69,5.32,25.91,8.23,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,67.07,32.93,0.0,1630828,800740,0,0,2431568
MD-GOV,governor,MD,GOV,Wes Moore,Dan Cox,DEM,REP,DEM,DEM,39.16,100.0,0.0,Safe D,30.41,5.32,29.51,9.65,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,69.58,30.42,0.0,1479808,647026,0,0,2126834
ME-GOV,governor,ME,GOV,Shenna Bellows,Jonathan Bush,DEM,REP,,DEM,12.81,89.2,10.8,Likely D,7.49,5.32,7.09,5.73,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,56.41,43.59,0.0,328270,253693,0,0,581962
MI-GOV,governor,MI,GOV,Jocelyn Benson,John James,DEM,REP,,DEM,14.93,92.5,7.5,Likely D,-0.36,5.32,-1.44,16.37,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,57.46,42.54,0.0,2278031,1686230,0,0,3964262
MN-GOV,governor,MN,GOV,Amy Klobuchar,Lisa Demuth,DEM,REP,,DEM,10.14,83.6,16.4,Likely D,4.94,5.32,4.34,5.79,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,55.07,44.93,0.0,1254308,1023436,0,0,2277744
NE-GOV,governor,NE,GOV,Lynne Walz,Jim Pillen,DEM,REP,REP,REP,-18.68,3.6,96.4,Safe R,-20.75,5.32,-20.84,2.16,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,40.66,59.34,0.0,269594,393417,0,0,663011
NH-GOV,governor,NH,GOV,Cinde Warmington,Kelly Ayotte,DEM,REP,REP,REP,-10.81,14.9,85.1,Likely R,3.66,5.32,2.82,-13.63,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,44.59,55.41,0.0,257906,320426,0,0,578332
NM-GOV,governor,NM,GOV,Deb Haaland,Gregg Hull,DEM,REP,,DEM,6.39,73.1,26.9,Lean D,7.45,5.32,6.14,0.24,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,53.19,46.81,0.0,343831,302546,0,0,646377
NV-GOV,governor,NV,GOV,Aaron Ford,Joe Lombardo,DEM,REP,REP,REP,4.62,67.2,32.8,Lean D,-1.54,5.32,-3.15,7.77,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,52.31,47.69,0.0,543547,495520,0,0,1039067
NY-GOV,governor,NY,GOV,Kathy Hochul,Bruce Blakeman,DEM,REP,DEM,DEM,13.2,89.8,10.2,Likely D,15.38,5.32,12.68,0.51,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,56.6,43.4,0.0,3290357,2523142,0,0,5813499
OH-GOV,governor,OH,GOV,Amy Acton,Vivek Ramaswamy,DEM,REP,,REP,-4.94,31.7,68.3,Lean R,-10.26,5.32,-11.31,6.37,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,47.53,52.47,0.0,1918074,2117438,0,0,4035512
OK-GOV,governor,OK,GOV,Cyndi Munson,Gentner Drummond,DEM,REP,,REP,-30.06,0.2,99.8,Safe R,-34.68,5.32,-34.95,4.89,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,34.97,65.03,0.0,383360,712863,0,0,1096222
OR-GOV,governor,OR,GOV,Tina Kotek,Christine Drazan,DEM,REP,DEM,DEM,7.37,76.1,23.9,Likely D,15.34,5.32,14.89,-7.52,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,53.69,46.31,0.0,843816,727958,0,0,1571774
PA-GOV,governor,PA,GOV,Josh Shapiro,Stacy Garrity,DEM,REP,DEM,DEM,16.06,93.9,6.1,Likely D,-0.87,5.32,-1.75,17.82,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,58.03,41.97,0.0,2857279,2066339,0,0,4923617
RI-GOV,governor,RI,GOV,Dan McKee,Aaron Guckian,DEM,REP,DEM,DEM,22.69,98.6,1.4,Safe D,15.7,5.32,14.16,8.53,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,61.34,38.66,0.0,220433,138915,0,0,359348
SC-GOV,governor,SC,GOV,Jermaine Johnson,Pamela Evette,DEM,REP,,REP,-11.23,13.9,86.1,Likely R,-16.63,5.32,-18.12,6.89,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,44.38,55.62,0.0,791656,992042,0,0,1783698
SD-GOV,governor,SD,GOV,Dan Ahlers,Larry Rhoden,DEM,REP,REP,REP,-24.63,0.9,99.1,Safe R,-29.31,5.32,-29.98,5.35,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,37.69,62.31,0.0,112483,185990,0,0,298473
TN-GOV,governor,TN,GOV,Carnita Atwater,Marsha Blackburn,DEM,REP,,REP,-19.57,3.0,97.0,Safe R,-28.63,5.32,-30.12,10.55,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,40.21,59.79,0.0,862490,1282270,0,0,2144759
TX-GOV,governor,TX,GOV,Gina Hinojosa,Greg Abbott,DEM,REP,REP,REP,-10.04,16.7,83.3,Likely R,-12.03,5.32,-13.88,3.84,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,44.98,55.02,0.0,3590807,4392363,0,0,7983170
VT-GOV,governor,VT,GOV,Amanda Janoo,Phil Scott,DEM,REP,REP,REP,-23.76,1.1,98.9,Safe R,33.5,5.32,32.77,-56.53,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,38.12,61.88,0.0,98580,160015,0,0,258595
WI-GOV,governor,WI,GOV,Mandela Barnes,Tom Tiffany,DEM,REP,,DEM,11.03,85.6,14.4,Likely D,-0.25,5.32,-0.87,11.91,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,55.52,44.48,0.0,1330218,1065825,0,0,2396043
WY-GOV,governor,WY,GOV,Gabriel Green,Megan Degenfelder,DEM,REP,,REP,-38.8,0.0,100.0,Safe R,-46.63,5.32,-46.96,8.16,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,30.6,69.4,0.0,57628,130706,0,0,188334
AK-SEN,senate,AK,SEN,Mary Peltola,Dan Sullivan,DEM,REP,REP,REP,-2.22,44.0,56.0,Toss-up,-11.6,5.32,-13.8,11.57,True,False,,,0.0,0.0,,,0.0,presumptive,confirmed,48.11,50.29,1.6,113744,118919,3783,0,236446
AL-SEN,senate,AL,SEN,Dakarai Larriett,Barry Moore,DEM,REP,,REP,-20.9,2.2,97.8,Safe R,-27.15,5.32,-30.88,9.98,False,False,,,0.0,0.0,,,0.0,projected,projected,39.55,60.45,0.0,627103,958460,0,0,1585563
AR-SEN,senate,AR,SEN,Hallie Shoffner,Tom Cotton,DEM,REP,REP,REP,-25.28,0.7,99.3,Safe R,-28.93,5.32,-31.57,6.29,False,False,,,0.0,0.0,,,0.0,presumptive,confirmed,37.36,62.64,0.0,313625,525832,0,0,839457
CO-SEN,senate,CO,SEN,John Hickenlooper,Mark Baisley,DEM,REP,DEM,DEM,23.28,98.8,1.2,Safe D,14.41,5.32,11.29,11.99,False,False,,,0.0,0.0,,,0.0,confirmed,presumptive,61.64,38.36,0.0,1377649,857272,0,0,2234922
DE-SEN,senate,DE,SEN,Chris Coons,Michael Katz,DEM,REP,DEM,DEM,22.59,98.5,1.5,Safe D,15.61,5.32,14.84,7.75,False,False,,,0.0,0.0,,,0.0,confirmed,projected,61.3,38.7,0.0,219163,138379,0,0,357542
FL-SEN,senate,FL,SEN,Alexander Vindman,Ashley Moody,DEM,REP,REP,REP,-5.03,31.4,68.6,Lean R,-8.69,5.32,-13.22,8.19,False,False,,,0.0,0.0,,,0.0,projected,confirmed,47.48,52.52,0.0,3634760,4020066,0,0,7654826
GA-SEN,senate,GA,SEN,Jon Ossoff,Mike Collins,DEM,REP,DEM,DEM,10.32,84.0,16.0,Likely D,-1.72,5.32,-2.21,12.53,False,False,,,0.0,0.0,,,0.0,confirmed,projected,55.16,44.84,0.0,2027237,1647810,0,0,3675046
IA-SEN,senate,IA,SEN,Josh Turek,Ashley Hinson,DEM,REP,,REP,-2.8,39.4,60.6,Lean R,-7.71,5.32,-13.45,10.64,False,False,LIB,,0.0,0.0,,,0.0,presumptive,presumptive,47.32,50.05,2.63,551028,582801,30625,0,1164454
ID-SEN,senate,ID,SEN,David Roth,Jim Risch,DEM,REP,REP,REP,-35.38,0.0,100.0,Safe R,-37.73,5.32,-37.52,2.15,False,False,,,0.0,0.0,,,0.0,presumptive,confirmed,32.31,67.69,0.0,204700,428842,0,0,633543
IL-SEN,senate,IL,SEN,Juliana Stratton,Don Tracy,DEM,REP,,DEM,20.0,97.3,2.7,Safe D,14.68,5.32,11.14,8.87,False,False,,,0.0,0.0,,,0.0,presumptive,projected,60.0,40.0,0.0,2372882,1581855,0,0,3954737
