code,level,state,partisan_lean,gcb,environment,demo_env_adj,pres_2024_margin,trump_approve,trump_disapprove,trump_net,demo_approval_adj,white_pct,black_pct,hispanic_pct,asian_pct,native_pct,pacific_pct
AK-01,district,AK,-13.18,4.48,-8.44,0.27,-13.8,45.3,51.5,-6.2,0.5,61.0,4.2,6.0,7.8,18.9,2.0
AL-01,district,AL,-34.82,4.48,-29.15,1.2,-36.34,55.5,41.4,14.1,2.5,67.1,24.7,3.3,1.9,2.9,0.1
AL-02,district,AL,-13.03,4.48,-7.15,1.4,-14.46,46.3,50.5,-4.2,2.7,52.3,39.8,3.7,2.2,1.9,0.2
AL-03,district,AL,-45.58,4.48,-39.95,1.15,-47.04,60.0,36.8,23.2,2.4,71.7,20.7,3.1,2.1,2.3,0.1
AL-04,district,AL,-65.77,4.48,-60.51,0.78,-66.99,68.3,28.6,39.7,1.8,82.7,7.2,6.1,0.8,3.1,0.1
AL-05,district,AL,-29.24,4.48,-23.82,0.94,-29.51,52.9,44.0,8.9,2.0,70.1,18.3,5.3,2.5,3.6,0.2
AL-06,district,AL,-34.75,4.48,-29.25,1.03,-34.79,55.3,41.5,13.7,2.2,71.7,19.3,4.7,2.2,2.1,0.1
AL-07,district,AL,19.36,4.48,25.43,1.59,17.99,32.7,64.1,-31.4,3.0,42.5,50.5,3.6,1.7,1.6,0.1
AR-01,district,AR,-44.65,4.48,-39.06,1.12,-46.4,59.6,37.2,22.4,2.4,76.0,16.9,3.1,1.0,2.8,0.2
AR-02,district,AR,-15.42,4.48,-9.94,1.0,-16.22,47.0,49.8,-2.8,2.1,69.1,20.3,5.1,2.3,3.0,0.1
AR-03,district,AR,-25.59,4.48,-21.04,0.06,-25.81,50.4,46.4,4.0,0.2,71.5,3.6,13.9,4.2,5.6,1.3
AR-04,district,AR,-39.02,4.48,-33.58,0.96,-40.73,57.0,39.8,17.2,2.0,69.7,19.8,6.0,1.1,3.3,0.2
AZ-01,district,AZ,-2.22,4.48,2.35,0.09,-3.14,40.5,56.3,-15.8,0.3,73.4,4.0,13.8,5.5,3.1,0.3
AZ-02,district,AZ,-13.44,4.48,-9.1,-0.14,-15.12,45.0,51.8,-6.8,-0.3,59.7,2.7,14.6,2.0,20.7,0.3
AZ-03,district,AZ,43.26,4.48,45.19,-2.54,40.31,18.3,78.5,-60.2,-5.5,23.0,11.5,56.4,3.7,5.0,0.4
AZ-04,district,AZ,7.35,4.48,11.3,-0.53,6.76,35.8,61.1,-25.3,-1.1,58.6,6.5,22.8,7.2,4.3,0.6
AZ-05,district,AZ,-19.54,4.48,-15.1,-0.05,-20.19,47.7,49.1,-1.3,0.0,70.0,4.5,15.3,7.2,2.5,0.5
AZ-06,district,AZ,-0.62,4.48,3.51,-0.35,-0.76,39.4,57.5,-18.1,-0.6,66.6,4.3,21.1,4.3,3.2,0.5
AZ-07,district,AZ,25.31,4.48,27.31,-2.48,22.39,26.1,70.8,-44.7,-5.2,32.1,4.8,54.1,2.9,5.7,0.4
AZ-08,district,AZ,-16.0,4.48,-11.67,-0.15,-16.48,46.1,50.7,-4.6,-0.2,68.2,5.3,18.0,5.3,2.9,0.4
AZ-09,district,AZ,-30.21,4.48,-26.34,-0.61,-31.34,51.7,45.2,6.5,-1.2,61.6,5.2,25.5,3.4,3.7,0.5
CA-01,district,CA,13.97,4.48,17.92,-0.53,12.63,33.0,63.9,-30.9,-1.0,63.8,2.5,22.6,4.8,5.5,0.7
CA-02,district,CA,26.43,4.48,30.98,0.07,25.45,28.3,68.5,-40.2,0.3,72.6,2.5,13.0,5.5,5.8,0.6
CA-03,district,CA,11.4,4.48,15.62,-0.26,10.55,34.3,62.5,-28.2,-0.5,60.3,6.6,16.3,12.4,3.4,1.1
CA-04,district,CA,16.77,4.48,20.27,-0.98,14.96,31.3,65.5,-34.2,-2.0,53.7,3.1,27.0,11.4,4.0,0.7
CA-05,district,CA,-19.75,4.48,-16.02,-0.75,-21.2,47.1,49.8,-2.7,-1.5,58.5,3.2,25.1,7.6,4.7,0.9
CA-06,district,CA,9.83,4.48,13.82,-0.49,8.67,34.7,62.1,-27.4,-1.1,53.3,8.2,19.4,14.1,3.6,1.4
CA-07,district,CA,15.12,4.48,18.84,-0.76,13.26,32.2,64.7,-32.5,-1.7,42.8,9.9,20.2,21.9,3.3,1.9
CA-08,district,CA,37.61,4.48,41.01,-1.08,35.19,22.2,74.6,-52.4,-2.4,32.4,15.1,27.1,20.5,3.4,1.4
CA-09,district,CA,15.48,4.48,18.43,-1.54,11.8,31.2,65.7,-34.5,-3.4,28.0,12.6,33.1,21.2,3.6,1.5
CA-10,district,CA,36.05,4.48,39.88,-0.64,34.75,23.4,73.4,-50.0,-1.4,52.0,5.0,17.7,22.1,2.3,0.9
CA-11,district,CA,72.6,4.48,76.42,-0.66,70.62,7.8,89.0,-81.2,-1.5,44.1,6.5,13.0,33.8,1.9,0.7
CA-12,district,CA,79.37,4.48,83.14,-0.71,77.64,4.9,92.0,-87.1,-1.7,34.2,17.5,20.6,23.9,3.0,0.9
CA-13,district,CA,4.96,4.48,6.54,-2.9,0.51,34.3,62.6,-28.3,-6.2,23.3,4.6,57.9,8.5,4.9,0.8
CA-14,district,CA,39.07,4.48,42.07,-1.49,36.2,21.2,75.7,-54.5,-3.3,26.4,5.8,21.2,42.5,2.4,1.8
CA-15,district,CA,52.23,4.48,55.11,-1.6,49.64,15.5,81.3,-65.9,-3.5,29.6,3.6,24.2,38.8,2.1,1.7
CA-16,district,CA,51.53,4.48,55.03,-0.98,49.91,16.5,80.4,-63.9,-2.1,44.7,2.7,17.9,32.0,2.0,0.7
CA-17,district,CA,43.61,4.48,46.54,-1.55,40.75,19.2,77.7,-58.5,-3.5,23.0,2.8,15.6,56.2,1.7,0.8
CA-18,district,CA,33.3,4.48,34.71,-3.07,29.37,22.0,74.8,-52.8,-6.5,21.0,2.8,58.3,12.6,4.6,0.7
CA-19,district,CA,37.22,4.48,40.81,-0.89,35.64,22.7,74.2,-51.5,-1.9,50.8,3.2,21.6,20.6,3.0,0.8
CA-20,district,CA,-31.84,4.48,-28.61,-1.26,-32.98,51.7,45.2,6.5,-2.6,50.4,4.1,33.2,7.5,4.4,0.5
CA-21,district,CA,9.94,4.48,11.52,-2.9,6.17,32.1,64.7,-32.6,-6.2,21.9,5.6,57.5,10.5,4.2,0.4
CA-22,district,CA,2.96,4.48,4.04,-3.4,-1.86,34.6,62.3,-27.7,-7.2,16.5,5.9,67.5,5.9,3.9,0.3
CA-23,district,CA,-18.3,4.48,-15.22,-1.41,-19.9,45.7,51.1,-5.4,-3.0,42.3,9.5,37.7,5.5,4.3,0.7
CA-24,district,CA,26.79,4.48,30.01,-1.26,25.76,26.8,70.1,-43.3,-2.6,52.8,2.5,33.2,7.2,3.7,0.5
CA-25,district,CA,8.76,4.48,10.71,-2.53,5.97,33.0,63.8,-30.7,-5.3,32.3,4.6,54.6,4.4,3.8,0.4
CA-26,district,CA,17.54,4.48,20.43,-1.59,15.73,30.3,66.5,-36.2,-3.3,45.5,3.2,37.1,10.5,3.3,0.5
CA-27,district,CA,12.56,4.48,15.29,-1.75,10.06,32.2,64.6,-32.4,-3.8,33.3,11.0,41.1,10.9,3.3,0.5
CA-28,district,CA,28.27,4.48,31.09,-1.65,26.17,25.6,71.2,-45.6,-3.6,27.5,4.9,25.1,39.9,2.3,0.4
CA-29,district,CA,39.51,4.48,41.13,-2.86,34.71,19.6,77.2,-57.6,-6.1,24.2,5.1,57.5,9.3,3.5,0.3
CA-30,district,CA,43.42,4.48,47.22,-0.68,41.41,20.3,76.5,-56.3,-1.4,56.3,4.8,21.7,14.8,2.1,0.3
CA-31,district,CA,16.15,4.48,17.83,-2.8,12.61,29.6,67.3,-37.7,-6.0,20.1,4.3,51.2,20.5,3.4,0.4
CA-32,district,CA,28.34,4.48,32.09,-0.73,25.76,26.6,70.2,-43.6,-1.5,55.1,5.0,22.5,14.9,2.1,0.4
