race_code,poll_dem,poll_rep,poll_oth,poll_oth_party,poll_dem2,poll_rep2,poll_count,poll_recency
AK-SEN,50.5,45.07,0.0,,0.0,3.51,9,0.1181
AR-SEN,36.0,58.0,0.0,,0.0,0.0,1,0.1194
FL-SEN,38.56,46.7,0.0,,0.0,0.0,9,0.3674
GA-SEN,48.84,42.98,0.0,,0.0,0.0,12,0.0464
IA-SEN,44.87,45.11,0.0,,0.0,0.0,5,0.1384
KS-SEN,45.45,52.12,0.0,,0.0,0.0,2,0.2138
KY-SEN,37.6,47.4,0.0,,0.0,0.0,1,0.0359
MA-SEN,55.76,27.94,0.0,,0.0,0.0,6,0.1786
ME-SEN,46.5,42.28,0.0,,0.0,0.0,15,0.1552
MI-SEN,41.23,42.98,0.0,,0.0,0.0,10,0.1785
MN-SEN,46.85,40.43,0.0,,0.0,0.0,4,0.0306
MS-SEN,39.0,42.0,6.0,IND,0.0,0.0,1,0.5
MT-SEN,19.0,43.0,15.0,IND,0.0,0.0,1,0.0864
NC-SEN,49.39,39.84,0.49,LIB,0.0,0.0,20,0.254
NE-SEN,40.56,47.26,0.0,,0.0,0.0,3,0.6696
NH-SEN,47.71,40.8,0.0,,0.0,0.0,15,0.0965
OH-SEN,46.74,49.34,0.0,,0.0,0.0,10,0.139
SC-SEN,40.74,45.46,0.0,,0.0,0.0,2,0.076
SD-SEN,31.8,49.29,0.0,,0.0,0.0,2,0.0815
TX-SEN,43.01,40.14,0.82,LIB,0.0,0.0,17,0.1053
VA-SEN,45.0,38.0,0.0,,0.0,0.0,1,0.0
AK-GOV,52.26,42.66,0.0,,0.0,2.32,6,0.1219
AL-GOV,34.1,52.6,0.0,,0.0,0.0,1,0.0156
AZ-GOV,42.53,36.14,3.79,IND,0.0,0.0,11,0.128
CO-GOV,50.1,37.8,0.0,,0.0,0.0,1,0.0018
CT-GOV,50.0,42.0,0.0,,0.0,0.0,1,0.0019
FL-GOV,38.78,42.66,0.17,IND,0.0,0.0,15,0.224
GA-GOV,48.0,43.33,0.0,,0.0,0.0,1,0.4665
IA-GOV,50.37,40.41,0.0,,0.0,0.0,3,0.486
IL-GOV,54.3,34.0,0.0,,0.0,0.0,1,0.0201
MA-GOV,55.17,30.34,0.0,,0.0,0.0,6,0.225
MD-GOV,49.33,29.04,0.0,,0.0,0.0,2,0.0308
MI-GOV,38.36,29.82,16.7,IND,0.0,0.0,15,0.1721
MN-GOV,51.55,34.74,0.0,,0.0,0.0,3,0.0406
NE-GOV,33.0,38.0,12.0,LMN,0.0,0.0,1,0.4454
NH-GOV,37.39,46.66,0.0,,0.0,0.0,5,0.2034
NV-GOV,38.5,36.55,0.0,,0.0,0.0,5,0.2682
NY-GOV,49.87,34.0,0.49,OTH,0.0,0.0,21,0.0797
OH-GOV,46.54,47.28,0.0,,0.0,0.0,12,0.0745
OR-GOV,44.45,43.63,0.0,,0.0,0.0,2,0.4638
PA-GOV,54.83,35.5,0.0,,0.0,0.0,5,0.1054
RI-GOV,30.5,15.5,19.0,IND,0.0,0.0,1,0.5484
TN-GOV,27.02,50.99,0.0,,0.0,0.0,3,0.1426
TX-GOV,40.39,46.64,0.8,LIB,0.0,0.0,8,0.2958
WI-GOV,42.01,41.55,0.0,,0.0,0.0,5,0.2391
AK-01,24.87,45.28,8.47,IND,2.48,0.0,5,0.0865
AZ-01,42.79,41.59,0.0,,0.0,0.0,2,0.0158
AZ-06,44.91,42.94,0.0,,0.0,0.0,2,0.1732
CA-03,45.0,47.0,0.0,,0.0,0.0,1,0.0009
CA-22,43.0,42.0,0.0,,0.0,0.0,1,0.0017
CA-40,43.5,44.0,0.0,,0.0,0.0,1,0.0735
CA-48,43.0,40.0,0.0,,0.0,0.0,1,0.0103
CO-03,39.0,46.67,0.0,,0.0,0.0,2,0.1837
CO-05,40.0,43.0,5.0,IND,0.0,0.0,1,0.0124
FL-27,41.46,46.47,0.0,,0.0,0.0,2,0.0751
FL-28,40.5,45.5,0.0,,0.0,0.0,1,0.2176
IA-01,42.5,42.0,0.0,,0.0,0.0,1,0.0005
IA-02,36.0,33.0,0.0,,0.0,0.0,1,0.5236
IA-03,43.17,45.53,0.0,,0.0,0.0,3,0.0913
KY-06,36.75,36.0,0.0,,0.0,0.0,1,0.6752
ME-02,43.06,48.72,0.0,,0.0,0.0,8,0.2342
MI-04,42.0,45.4,0.0,,0.0,0.0,2,0.1768
MI-07,45.48,44.43,0.0,,0.0,0.0,2,0.343
MI-10,42.33,43.0,0.0,,0.0,0.0,1,0.0702
MN-01,41.0,47.24,0.0,,0.0,0.0,2,0.2052
MT-01,42.88,47.36,0.0,,0.0,0.0,3,0.3712
NC-01,41.69,43.41,0.85,LIB,0.0,0.0,2,0.421
NC-10,37.5,51.5,0.0,,0.0,0.0,1,0.2443
NC-14,39.0,47.5,0.0,,0.0,0.0,1,0.2443
NE-01,38.0,45.0,0.0,,0.0,0.0,1,0.9772
NE-02,46.33,40.0,0.0,,0.0,0.0,1,0.0096
NH-02,48.83,36.73,0.0,,0.0,0.0,5,0.0759
NJ-02,36.0,46.0,0.0,,0.0,0.0,1,0.0003
NM-02,44.0,43.0,0.0,,0.0,0.0,1,0.7236
NY-01,38.0,41.0,0.0,,0.0,0.0,1,0.0298
NY-04,46.0,41.0,0.0,,0.0,0.0,1,0.1436
NY-17,44.0,39.0,0.0,,0.0,0.0,1,0.1436
NY-18,42.0,35.0,0.0,,0.0,0.0,1,0.1436
OH-09,43.0,47.0,3.0,LIB,0.0,0.0,1,0.6015
PA-01,41.98,47.84,0.0,,0.0,0.0,2,0.1575
PA-08,45.0,43.0,0.0,,0.0,0.0,1,0.0026
PA-10,50.84,44.94,0.0,,0.0,0.0,3,0.2212
SC-01,36.0,39.0,0.0,,0.0,0.0,1,0.0266
TX-15,38.0,41.0,0.0,,0.0,0.0,1,0.0036
TX-23,42.5,44.5,0.0,,0.0,0.0,1,0.2387
TX-34,42.0,44.5,0.0,,0.0,0.0,1,0.7405
VA-01,43.01,44.0,0.0,,0.0,0.0,2,0.123
WA-03,39.5,42.5,0.0,,0.0,0.0,1,0.7405
WI-01,42.5,46.0,0.0,,0.0,0.0,1,0.2679
WI-03,48.52,47.42,0.0,,0.0,0.0,2,0.0758
