race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_coh,rep_coh,ind_coh,dem_outside,rep_outside,dem_spent,rep_spent,ind_spent,dem_small,rep_small,ind_small,dem_pac,rep_pac,ind_pac,dem_self,rep_self,ind_self,dem_debt,rep_debt,ind_debt,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
IL-GOV,governor,IL,GOV,JB Pritzker,Darren Bailey,DEM,REP,DEM,DEM,19.97,97.5,2.5,Safe D,12.91,5.19,19.92,1.84,-0.02,0.0,11.14,8.84,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,54.3,34.0,1,20.3,0.15,25619035,2166962,0,3141018,127990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.99,40.01,0.0,2372332,1582405,0,0,3954737
KS-GOV,governor,KS,GOV,Cindy Holscher,Ty Masterson,DEM,REP,,DEM,-11.66,12.7,87.3,Likely R,-16.42,5.19,-11.66,0.0,0.0,-0.43,-16.41,4.75,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.17,55.83,0.0,410461,518852,0,0,929314
MA-GOV,governor,MA,GOV,Maura Healey,Mike Minogue,DEM,REP,DEM,DEM,30.8,99.9,0.1,Safe D,27.8,5.19,33.77,0.0,1.13,-0.34,25.91,4.89,False,False,,,0.0,0.0,,,0.0,confirmed,presumptive,53.13,32.73,7,20.41,0.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.4,34.6,0.0,1590200,841367,0,0,2431568
MD-GOV,governor,MD,GOV,Wes Moore,Dan Cox,DEM,REP,DEM,DEM,35.93,100.0,0.0,Safe D,30.37,5.19,38.91,0.0,3.43,-0.08,29.51,6.42,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,58.0,31.0,1,24.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.96,32.04,0.0,1445494,681339,0,0,2126834
ME-GOV,governor,ME,GOV,Hannah Pingree,Robert Charles,DEM,REP,,DEM,11.48,87.0,13.0,Likely D,7.36,5.19,11.58,0.0,0.0,-0.97,7.09,4.39,False,False,IND,Rick Bennett,5.69,0.0,,,0.0,confirmed,confirmed,50.81,38.39,4,12.42,0.219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.57,41.74,0.0,305937,242912,0,33114,581962
MI-GOV,governor,MI,GOV,Jocelyn Benson,John James,DEM,REP,,DEM,12.22,88.4,11.6,Likely D,-0.43,5.19,14.32,0.21,9.97,-0.63,-1.44,13.66,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,49.47,42.67,22,7.25,0.296,5958887,4492470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.11,43.89,0.0,2224405,1739857,0,0,3964262
MN-GOV,governor,MN,GOV,Amy Klobuchar,Lisa Demuth,DEM,REP,,DEM,11.64,87.3,12.7,Likely D,4.83,5.19,10.75,1.57,-0.12,-0.72,4.34,7.3,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,51.72,36.25,4,15.46,0.188,9312380,1102119,0,4480911,457944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.82,44.18,0.0,1271419,1006325,0,0,2277744
NE-GOV,governor,NE,GOV,Lynne Walz,Jim Pillen,DEM,REP,REP,REP,-13.83,8.8,91.2,Likely R,-20.91,5.19,-19.45,0.0,-3.25,-0.48,-20.84,7.01,False,False,IND,Brett Lindstrom,12.0,0.0,,,0.0,confirmed,confirmed,33.0,38.0,1,-8.0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.91,50.09,0.0,251374,332076,0,79561,663011
NH-GOV,governor,NH,GOV,Cinde Warmington,Kelly Ayotte,DEM,REP,REP,REP,-12.3,11.4,88.6,Likely R,3.63,5.19,-13.14,-1.31,-19.79,-0.86,2.82,-15.12,False,False,,,0.0,0.0,,,0.0,confirmed,presumptive,38.07,47.19,5,-9.12,0.209,606192,3694856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.85,56.15,0.0,253600,324733,0,0,578332
NM-GOV,governor,NM,GOV,Deb Haaland,Gregg Hull,DEM,REP,,DEM,10.71,85.3,14.7,Likely D,7.41,5.19,9.28,1.95,-6.39,1.12,6.14,4.57,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,41.4,25.66,2,15.97,0.214,13910580,987856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.36,44.64,0.0,357806,288571,0,0,646377
NV-GOV,governor,NV,GOV,Aaron Ford,Joe Lombardo,DEM,REP,REP,REP,2.77,60.7,39.3,Lean D,-1.57,5.19,5.34,0.47,0.85,0.4,-3.15,5.92,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,43.14,49.05,10,-4.94,0.25,4285307,2275075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,48.62,0.0,533911,505157,0,0,1039067
NY-GOV,governor,NY,GOV,Kathy Hochul,Bruce Blakeman,DEM,REP,DEM,DEM,13.26,90.3,9.7,Likely D,15.56,5.19,13.54,0.16,-7.5,0.13,12.68,0.58,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,49.35,37.41,16,12.56,0.28,16594119,13445025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.63,43.37,0.0,3292259,2521240,0,0,5813499
OH-GOV,governor,OH,GOV,Amy Acton,Vivek Ramaswamy,DEM,REP,,REP,-4.73,32.1,67.9,Lean R,-10.38,5.19,-6.36,-0.48,0.0,-0.69,-11.31,6.59,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,47.69,48.29,19,-0.71,0.289,15928993,30306297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.64,52.36,0.0,1922407,2113105,0,0,4035512
OK-GOV,governor,OK,GOV,Cyndi Munson,Gentner Drummond,DEM,REP,,REP,-31.07,0.1,99.9,Safe R,-34.86,5.19,-31.07,0.0,-0.7,-0.7,-34.95,3.88,False,False,,,0.0,0.0,,,0.0,confirmed,projected,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.46,65.54,0.0,377809,718413,0,0,1096222
OR-GOV,governor,OR,GOV,Tina Kotek,Christine Drazan,DEM,REP,DEM,DEM,5.61,70.9,29.1,Lean D,15.18,5.19,6.62,0.0,-13.29,-0.46,14.89,-9.28,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,44.2,47.13,3,-0.1,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.81,47.19,0.0,830014,741760,0,0,1571774
PA-GOV,governor,PA,GOV,Josh Shapiro,Stacy Garrity,DEM,REP,DEM,DEM,17.1,95.3,4.7,Safe D,-0.99,5.19,17.24,1.95,11.61,-0.53,-1.75,18.85,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,54.17,37.46,12,16.71,0.262,34960533,2545436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.55,41.45,0.0,2882737,2040880,0,0,4923617
RI-GOV,governor,RI,GOV,Helena Foulkes,Elaine Pelino,DEM,REP,,DEM,20.24,97.6,2.4,Safe D,15.75,5.19,20.74,0.0,0.0,-0.2,14.16,6.08,False,False,,,0.0,0.0,,,0.0,presumptive,projected,38.59,21.21,2,17.38,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.12,39.88,0.0,216034,143314,0,0,359348
SC-GOV,governor,SC,GOV,Jermaine Johnson,Alan Wilson,DEM,REP,,REP,-10.38,15.5,84.5,Likely R,-16.61,5.19,-10.26,1.47,0.07,-0.39,-18.12,7.75,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,37.0,45.0,1,-11.0,0.151,753609,62585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.81,55.19,0.0,799318,984380,0,0,1783698
