race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Tom Begich,Click Bishop,DEM,REP,,REP,-10.26,28.9,71.0,Lean R,-13.18,3.67,-10.57,0.0,0.0,-1.06,-13.8,3.54,True,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,44.15,54.25,1.6,104399,128264,3783,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-21.93,1.8,98.2,Safe R,-29.63,3.67,-23.07,0.0,3.37,-0.48,-30.88,8.95,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,34.1,52.6,1,-15.5,0.15,0,0,0,39.03,60.97,0.0,618911,966652,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-27.46,0.4,99.6,Safe R,-30.5,3.67,-27.46,0.0,-0.13,-0.51,-31.57,4.1,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,36.27,63.73,0.0,304454,535003,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,5.85,71.2,28.8,Lean D,-4.25,3.67,5.79,0.0,6.01,0.36,-5.59,11.44,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,43.26,37.22,9,6.04,0.242,0,0,0,52.92,47.08,0.0,1255625,1116898,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,27.88,99.6,0.4,Safe D,23.32,3.67,27.88,0.0,0.0,0.89,20.82,7.07,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,63.94,36.06,0.0,7096520,4002023,0,0,11098543
CO-GOV,governor,CO,GOV,Michael Bennet,Barbara Kirkmeyer,DEM,REP,,DEM,19.65,97.0,3.0,Safe D,11.58,3.67,20.94,0.0,5.7,-0.01,11.29,8.35,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.1,37.8,1,12.3,0.15,0,0,0,59.82,40.18,0.0,1337004,897917,0,0,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,18.43,96.1,3.9,Safe D,15.88,3.67,18.43,0.0,-1.03,-0.09,14.76,3.67,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,59.22,40.78,0.0,729041,502099,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-6.1,27.9,72.1,Lean R,-10.56,3.67,-6.85,0.0,-0.47,0.51,-13.22,7.12,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,39.06,42.82,9,-3.77,0.242,0,0,0,46.95,53.05,0.0,3593770,4061056,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Rick Jackson,DEM,REP,,REP,1.84,57.0,43.0,Toss-up,-1.71,3.67,1.84,0.0,0.0,-0.12,-2.21,4.05,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,50.92,49.08,0.0,1871292,1803754,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,30.6,99.8,0.2,Safe D,25.73,3.67,30.6,0.0,1.67,-0.46,23.56,7.04,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,65.3,34.7,0.0,236193,125498,0,0,361691
