code,level,state,partisan_lean,gcb,environment,demo_env_adj,pres_2024_margin,trump_approve,trump_disapprove,trump_net,demo_approval_adj,white_pct,black_pct,hispanic_pct,asian_pct,native_pct,pacific_pct
AK-01,district,AK,-13.18,3.67,-11.63,-2.12,-13.8,46.3,50.2,-3.9,0.5,61.0,4.2,6.0,7.8,18.9,2.0
AL-01,district,AL,-34.82,3.67,-32.27,-1.12,-36.34,56.5,40.1,16.4,2.5,67.1,24.7,3.3,1.9,2.9,0.1
AL-02,district,AL,-13.03,3.67,-9.93,-0.57,-14.46,47.4,49.2,-1.8,2.7,52.3,39.8,3.7,2.2,1.9,0.2
AL-03,district,AL,-45.58,3.67,-43.13,-1.22,-47.04,61.0,35.5,25.5,2.4,71.7,20.7,3.1,2.1,2.3,0.1
AL-04,district,AL,-65.77,3.67,-63.44,-1.34,-66.99,69.3,27.2,42.1,1.8,82.7,7.2,6.1,0.8,3.1,0.1
AL-05,district,AL,-29.24,3.67,-26.69,-1.12,-29.51,53.9,42.7,11.2,2.0,70.1,18.3,5.3,2.5,3.6,0.2
AL-06,district,AL,-34.75,3.67,-32.17,-1.09,-34.79,56.3,40.2,16.1,2.2,71.7,19.3,4.7,2.2,2.1,0.1
AL-07,district,AL,19.36,3.67,22.79,-0.24,17.99,33.7,62.8,-29.1,3.0,42.5,50.5,3.6,1.7,1.6,0.1
AR-01,district,AR,-44.65,3.67,-42.33,-1.35,-46.4,60.6,35.9,24.7,2.4,76.0,16.9,3.1,1.0,2.8,0.2
AR-02,district,AR,-15.42,3.67,-12.8,-1.05,-16.22,48.1,48.5,-0.4,2.1,69.1,20.3,5.1,2.3,3.0,0.1
AR-03,district,AR,-25.59,3.67,-22.6,-0.69,-25.81,51.5,45.1,6.4,0.2,71.5,3.6,13.9,4.2,5.6,1.3
AR-04,district,AR,-39.02,3.67,-36.33,-0.97,-40.73,58.1,38.5,19.6,2.0,69.7,19.8,6.0,1.1,3.3,0.2
AZ-01,district,AZ,-2.22,3.67,0.85,-0.6,-3.14,41.6,55.0,-13.4,0.3,73.4,4.0,13.8,5.5,3.1,0.3
AZ-02,district,AZ,-13.44,3.67,-11.11,-1.34,-15.12,46.0,50.5,-4.5,-0.3,59.7,2.7,14.6,2.0,20.7,0.3
AZ-03,district,AZ,43.26,3.67,51.13,4.21,40.31,19.3,77.2,-57.9,-5.5,23.0,11.5,56.4,3.7,5.0,0.4
AZ-04,district,AZ,7.35,3.67,11.44,0.41,6.76,36.8,59.8,-23.0,-1.1,58.6,6.5,22.8,7.2,4.3,0.6
AZ-05,district,AZ,-19.54,3.67,-16.26,-0.39,-20.19,48.8,47.8,1.0,0.0,70.0,4.5,15.3,7.2,2.5,0.5
AZ-06,district,AZ,-0.62,3.67,3.26,0.21,-0.76,40.4,56.1,-15.7,-0.6,66.6,4.3,21.1,4.3,3.2,0.5
AZ-07,district,AZ,25.31,3.67,32.71,3.72,22.39,27.1,69.5,-42.4,-5.2,32.1,4.8,54.1,2.9,5.7,0.4
AZ-08,district,AZ,-16.0,3.67,-12.42,-0.09,-16.48,47.1,49.4,-2.3,-0.2,68.2,5.3,18.0,5.3,2.9,0.4
AZ-09,district,AZ,-30.21,3.67,-25.84,0.71,-31.34,52.7,43.9,8.8,-1.2,61.6,5.2,25.5,3.4,3.7,0.5
CA-01,district,CA,13.97,3.67,17.86,0.23,12.63,34.0,62.5,-28.5,-1.0,63.8,2.5,22.6,4.8,5.5,0.7
CA-02,district,CA,26.43,3.67,29.25,-0.85,25.45,29.4,67.2,-37.8,0.3,72.6,2.5,13.0,5.5,5.8,0.6
CA-03,district,CA,11.4,3.67,14.81,-0.26,10.55,35.4,61.2,-25.8,-0.5,60.3,6.6,16.3,12.4,3.4,1.1
CA-04,district,CA,16.77,3.67,21.22,0.78,14.96,32.3,64.2,-31.9,-2.0,53.7,3.1,27.0,11.4,4.0,0.7
CA-05,district,CA,-19.75,3.67,-15.52,0.55,-21.2,48.1,48.5,-0.4,-1.5,58.5,3.2,25.1,7.6,4.7,0.9
CA-06,district,CA,9.83,3.67,13.62,0.12,8.67,35.8,60.8,-25.0,-1.1,53.3,8.2,19.4,14.1,3.6,1.4
CA-07,district,CA,15.12,3.67,19.06,0.27,13.26,33.2,63.4,-30.2,-1.7,42.8,9.9,20.2,21.9,3.3,1.9
CA-08,district,CA,37.61,3.67,42.45,1.17,35.19,23.3,73.3,-50.0,-2.4,32.4,15.1,27.1,20.5,3.4,1.4
CA-09,district,CA,15.48,3.67,20.89,1.74,11.8,32.2,64.4,-32.2,-3.4,28.0,12.6,33.1,21.2,3.6,1.5
CA-10,district,CA,36.05,3.67,39.57,-0.14,34.75,24.5,72.1,-47.6,-1.4,52.0,5.0,17.7,22.1,2.3,0.9
CA-11,district,CA,72.6,3.67,75.65,-0.62,70.62,8.9,87.7,-78.8,-1.5,44.1,6.5,13.0,33.8,1.9,0.7
CA-12,district,CA,79.37,3.67,83.56,0.52,77.64,5.9,90.7,-84.8,-1.7,34.2,17.5,20.6,23.9,3.0,0.9
CA-13,district,CA,4.96,3.67,12.8,4.17,0.51,35.3,61.3,-26.0,-6.2,23.3,4.6,57.9,8.5,4.9,0.8
CA-14,district,CA,39.07,3.67,42.98,0.24,36.2,22.2,74.4,-52.2,-3.3,26.4,5.8,21.2,42.5,2.4,1.8
CA-15,district,CA,52.23,3.67,56.41,0.52,49.64,16.5,80.0,-63.5,-3.5,29.6,3.6,24.2,38.8,2.1,1.7
CA-16,district,CA,51.53,3.67,55.0,-0.21,49.91,17.5,79.0,-61.5,-2.1,44.7,2.7,17.9,32.0,2.0,0.7
CA-17,district,CA,43.61,3.67,46.78,-0.5,40.75,20.2,76.4,-56.2,-3.5,23.0,2.8,15.6,56.2,1.7,0.8
CA-18,district,CA,33.3,3.67,41.12,4.15,29.37,23.0,73.5,-50.5,-6.5,21.0,2.8,58.3,12.6,4.6,0.7
CA-19,district,CA,37.22,3.67,41.09,0.21,35.64,23.7,72.8,-49.1,-1.9,50.8,3.2,21.6,20.6,3.0,0.8
CA-20,district,CA,-31.84,3.67,-26.7,1.47,-32.98,52.7,43.9,8.8,-2.6,50.4,4.1,33.2,7.5,4.4,0.5
CA-21,district,CA,9.94,3.67,17.78,4.17,6.17,33.1,63.4,-30.3,-6.2,21.9,5.6,57.5,10.5,4.2,0.4
CA-22,district,CA,2.96,3.67,11.92,5.29,-1.86,35.6,61.0,-25.4,-7.2,16.5,5.9,67.5,5.9,3.9,0.3
CA-23,district,CA,-18.3,3.67,-12.49,2.13,-19.9,46.7,49.8,-3.1,-3.0,42.3,9.5,37.7,5.5,4.3,0.7
CA-24,district,CA,26.79,3.67,31.91,1.45,25.76,27.8,68.8,-41.0,-2.6,52.8,2.5,33.2,7.2,3.7,0.5
CA-25,district,CA,8.76,3.67,16.28,3.85,5.97,34.1,62.5,-28.4,-5.3,32.3,4.6,54.6,4.4,3.8,0.4
CA-26,district,CA,17.54,3.67,23.12,1.9,15.73,31.3,65.2,-33.9,-3.3,45.5,3.2,37.1,10.5,3.3,0.5
CA-27,district,CA,12.56,3.67,18.8,2.57,10.06,33.2,63.3,-30.1,-3.8,33.3,11.0,41.1,10.9,3.3,0.5
CA-28,district,CA,28.27,3.67,32.55,0.61,26.17,26.6,69.9,-43.3,-3.6,27.5,4.9,25.1,39.9,2.3,0.4
CA-29,district,CA,39.51,3.67,47.36,4.18,34.71,20.6,75.9,-55.3,-6.1,24.2,5.1,57.5,9.3,3.5,0.3
