race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,rcv_field,rcv_winner_name,rcv_exhausted,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_coh,rep_coh,ind_coh,dem_outside,rep_outside,dem_spent,rep_spent,ind_spent,dem_small,rep_small,ind_small,dem_pac,rep_pac,ind_pac,dem_self,rep_self,ind_self,dem_debt,rep_debt,ind_debt,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Jonathan Kreiss-Tomkins,Bernadette Wilson,DEM,REP,,REP,11.67,87.0,13.0,Likely D,-13.27,5.2,-9.13,0.0,0.0,-1.06,-13.8,4.66,True,False,,4,Jonathan Kreiss-Tomkins,10.82,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.43,54.57,0.0,107426,129020,0,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-19.54,2.8,97.2,Safe R,-29.66,5.2,-21.57,0.0,3.37,-0.48,-30.88,11.35,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,40.99,49.01,2,-8.01,0.15,0,13792994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.23,59.77,0.0,637911,947652,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-21.39,1.8,98.2,Safe R,-30.62,5.2,-26.05,0.0,-0.13,-0.51,-31.57,10.18,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,40.0,45.0,1,-5.0,0.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.31,60.69,0.0,329969,509488,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,8.59,80.2,19.8,Likely D,-4.25,5.2,8.26,0.94,6.01,0.36,-5.59,14.18,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,46.33,37.27,19,9.36,0.303,9827820,2787170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.3,45.7,0.0,1288181,1084342,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,27.78,99.7,0.3,Safe D,23.42,5.2,29.76,0.25,0.0,0.89,20.82,6.97,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,56.04,35.51,5,20.53,0.214,24217949,17445485,0,10580853,2163517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.89,36.11,0.0,7091012,4007532,0,0,11098543
CO-GOV,governor,CO,GOV,Phil Weiser,Victor Marx,DEM,REP,,DEM,17.72,95.9,4.1,Safe D,11.48,5.2,17.3,0.64,0.0,-0.01,11.29,6.43,False,False,IND,0,,0.0,Greg Lopez,3.6,0.0,,,0.0,confirmed,confirmed,50.1,37.8,1,12.3,0.15,6951032,2935521,84692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.74,39.66,0.0,1268159,886306,0,80457,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,19.12,97.0,3.0,Safe D,15.88,5.2,19.97,0.0,-1.03,-0.09,14.76,4.36,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,50.91,34.49,3,16.43,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.56,40.44,0.0,733252,497888,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-6.51,26.0,74.0,Lean R,-10.43,5.2,-7.35,-2.16,-0.47,0.51,-13.22,6.72,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,39.39,43.16,17,-4.38,0.283,5531882,99442171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.75,53.25,0.0,3578438,4076388,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Rick Jackson,DEM,REP,,REP,1.9,57.6,42.4,Toss-up,-1.84,5.2,0.98,-2.26,0.0,-0.12,-2.21,4.11,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,49.9,45.89,8,4.51,0.26,5774631,118984243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.95,49.05,0.0,1872411,1802635,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,32.13,99.9,0.1,Safe D,25.72,5.2,32.13,0.0,1.67,-0.46,23.56,8.57,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.06,33.94,0.0,238950,122741,0,0,361691
