race_code,chamber,tip_prob,is_tipping_point
NY-10,House,0.0,0
NY-11,House,0.0,0
NY-12,House,0.0,0
NY-13,House,0.0,0
NY-14,House,0.0,0
NY-15,House,0.0,0
NY-16,House,0.0,0
NY-17,House,3.03,0
NY-18,House,0.14,0
NY-19,House,0.57,0
NY-20,House,0.0,0
NY-21,House,0.0,0
NY-22,House,0.0,0
NY-23,House,0.0,0
NY-24,House,0.0,0
NY-25,House,0.0,0
NY-26,House,0.0,0
OH-01,House,1.42,0
OH-02,House,0.0,0
OH-03,House,0.0,0
OH-04,House,0.0,0
OH-05,House,0.0,0
OH-06,House,0.0,0
OH-07,House,0.05,0
OH-08,House,0.04,0
OH-09,House,2.36,0
OH-10,House,0.01,0
OH-11,House,0.0,0
OH-12,House,0.0,0
OH-13,House,0.04,0
OH-14,House,0.0,0
OH-15,House,0.18,0
OK-01,House,0.0,0
OK-02,House,0.0,0
OK-03,House,0.0,0
OK-04,House,0.0,0
OK-05,House,0.0,0
OR-01,House,0.0,0
OR-02,House,0.0,0
OR-03,House,0.0,0
OR-04,House,0.1,0
OR-05,House,0.14,0
OR-06,House,0.11,0
PA-01,House,1.2,0
PA-02,House,0.0,0
PA-03,House,0.0,0
PA-04,House,0.0,0
PA-05,House,0.0,0
PA-06,House,0.0,0
PA-07,House,3.13,0
PA-08,House,2.36,0
PA-09,House,0.0,0
PA-10,House,2.32,0
PA-11,House,0.0,0
PA-12,House,0.0,0
PA-13,House,0.0,0
PA-14,House,0.0,0
PA-15,House,0.0,0
PA-16,House,0.0,0
PA-17,House,0.0,0
RI-01,House,0.0,0
RI-02,House,0.08,0
SC-01,House,0.78,0
SC-02,House,0.0,0
SC-03,House,0.0,0
SC-04,House,0.0,0
SC-05,House,0.0,0
SC-06,House,0.0,0
SC-07,House,0.0,0
SD-01,House,0.0,0
TN-01,House,0.0,0
TN-02,House,0.0,0
TN-03,House,0.0,0
TN-04,House,0.0,0
TN-05,House,0.0,0
TN-06,House,0.0,0
TN-07,House,0.0,0
TN-08,House,0.0,0
TN-09,House,0.0,0
TX-01,House,0.0,0
TX-02,House,0.0,0
TX-03,House,0.0,0
TX-04,House,0.0,0
TX-05,House,0.0,0
TX-06,House,0.0,0
TX-07,House,0.0,0
TX-08,House,0.0,0
TX-09,House,0.1,0
TX-10,House,0.0,0
TX-11,House,0.0,0
TX-12,House,0.0,0
TX-13,House,0.0,0
TX-14,House,0.0,0
TX-15,House,0.81,0
TX-16,House,0.0,0
TX-17,House,0.0,0
TX-18,House,0.0,0
TX-19,House,0.0,0
TX-20,House,0.0,0
TX-21,House,0.0,0
TX-22,House,0.0,0
TX-23,House,0.7,0
TX-24,House,0.01,0
TX-25,House,0.0,0
TX-26,House,0.0,0
TX-27,House,0.0,0
TX-28,House,0.28,0
TX-29,House,0.0,0
TX-30,House,0.0,0
TX-31,House,0.0,0
TX-32,House,0.05,0
TX-33,House,0.0,0
TX-34,House,2.73,0
TX-35,House,2.46,0
TX-36,House,0.0,0
TX-37,House,0.0,0
TX-38,House,0.0,0
UT-01,House,0.0,0
UT-02,House,0.0,0
UT-03,House,0.0,0
UT-04,House,0.0,0
VA-01,House,0.46,0
VA-02,House,3.57,0
VA-03,House,0.0,0
VA-04,House,0.0,0
VA-05,House,0.28,0
VA-06,House,0.0,0
VA-07,House,0.04,0
VA-08,House,0.0,0
VA-09,House,0.0,0
VA-10,House,0.0,0
VA-11,House,0.0,0
VT-01,House,0.0,0
WA-01,House,0.0,0
WA-02,House,0.0,0
WA-03,House,2.9,0
WA-04,House,0.0,0
WA-05,House,0.0,0
WA-06,House,0.0,0
WA-07,House,0.0,0
