race_code,race_type,state,dem_votes,rep_votes,ind_votes,oth_votes,total_votes,margin,pres24,hd_code
AK-SEN,senate,AK,4455,1514,0,519,6488,49.26,39.27,AK-HD-4
AK-SEN,senate,AK,1125,994,0,184,2304,6.16,-10.62,AK-HD-40
AK-SEN,senate,AK,2532,2633,0,449,5614,-1.96,-13.24,AK-HD-5
AK-SEN,senate,AK,3678,4051,0,672,8401,-4.82,-16.71,AK-HD-6
AK-SEN,senate,AK,1997,4193,0,538,6728,-35.48,-45.83,AK-HD-7
AK-SEN,senate,AK,2099,4872,0,606,7577,-39.77,-50.89,AK-HD-8
AK-SEN,senate,AK,4288,3334,0,663,8285,12.52,2.43,AK-HD-9
AK-01,house,AK,0,3247,2755,0,6002,-8.2,-18.01,AK-HD-1
AK-01,house,AK,0,2881,3253,0,6134,6.07,-3.28,AK-HD-10
AK-01,house,AK,0,3236,3652,0,6888,6.05,-2.31,AK-HD-11
AK-01,house,AK,0,2648,3312,0,5960,11.13,1.47,AK-HD-12
AK-01,house,AK,0,2354,2949,0,5303,11.21,1.39,AK-HD-13
AK-01,house,AK,0,1777,3420,0,5197,31.62,22.3,AK-HD-14
AK-01,house,AK,0,3026,3478,0,6504,6.94,-2.45,AK-HD-15
AK-01,house,AK,0,2521,4220,0,6742,25.2,15.43,AK-HD-16
AK-01,house,AK,0,1490,3911,0,5401,44.81,35.02,AK-HD-17
AK-01,house,AK,0,1687,1673,0,3360,-0.41,-16.23,AK-HD-18
AK-01,house,AK,0,1246,2271,0,3517,29.17,17.93,AK-HD-19
AK-01,house,AK,0,2981,3725,0,6706,11.09,0.53,AK-HD-2
AK-01,house,AK,0,1969,3118,0,5086,22.59,12.77,AK-HD-20
AK-01,house,AK,0,2620,3709,0,6329,17.21,8.49,AK-HD-21
AK-01,house,AK,0,1686,2139,0,3824,11.85,1.39,AK-HD-22
AK-01,house,AK,0,4146,3347,0,7493,-10.66,-19.35,AK-HD-23
AK-01,house,AK,0,4375,2708,0,7083,-23.54,-33.33,AK-HD-24
AK-01,house,AK,0,4688,2636,0,7324,-28.01,-36.87,AK-HD-25
AK-01,house,AK,0,4851,1765,0,6616,-46.63,-55.94,AK-HD-26
AK-01,house,AK,0,4585,1613,0,6198,-47.95,-57.86,AK-HD-27
AK-01,house,AK,0,4579,1919,0,6498,-40.93,-50.31,AK-HD-28
AK-01,house,AK,0,5023,2329,0,7352,-36.64,-46.43,AK-HD-29
AK-01,house,AK,0,2903,4866,0,7769,25.27,15.51,AK-HD-3
AK-01,house,AK,0,4918,2318,0,7237,-35.93,-45.92,AK-HD-30
AK-01,house,AK,0,2285,2606,0,4891,6.57,-3.37,AK-HD-31
AK-01,house,AK,0,2526,1587,0,4113,-22.82,-32.93,AK-HD-32
AK-01,house,AK,0,4440,1759,0,6199,-43.25,-52.87,AK-HD-33
AK-01,house,AK,0,3948,3064,0,7012,-12.62,-21.54,AK-HD-34
AK-01,house,AK,0,2846,3908,0,6754,15.73,5.16,AK-HD-35
AK-01,house,AK,0,3753,3027,0,6780,-10.7,-22.29,AK-HD-36
AK-01,house,AK,0,1406,1636,0,3042,7.56,-6.9,AK-HD-37
AK-01,house,AK,0,1004,1789,0,2793,28.1,13.15,AK-HD-38
AK-01,house,AK,0,1070,1871,0,2941,27.26,12.71,AK-HD-39
AK-01,house,AK,0,1684,4804,0,6488,48.08,39.27,AK-HD-4
AK-01,house,AK,0,1094,1209,0,2304,4.97,-10.62,AK-HD-40
AK-01,house,AK,0,2895,2719,0,5614,-3.14,-13.24,AK-HD-5
AK-01,house,AK,0,4453,3948,0,8401,-6.01,-16.71,AK-HD-6
AK-01,house,AK,0,4598,2131,0,6728,-36.67,-45.83,AK-HD-7
AK-01,house,AK,0,5340,2237,0,7577,-40.96,-50.89,AK-HD-8
AK-01,house,AK,0,3673,4612,0,8285,11.33,2.43,AK-HD-9
