race_code,poll_dem,poll_rep,poll_oth,poll_oth_party,poll_dem2,poll_rep2,poll_count,poll_recency
NC-14,40.0,48.0,0.0,,0.0,0.0,1,0.0211
NE-01,38.0,45.0,0.0,,0.0,0.0,1,0.0844
NE-02,46.5,40.5,0.0,,0.0,0.0,1,0.0008
NH-02,49.97,34.15,0.0,,0.0,0.0,7,0.1575
NJ-02,36.0,46.0,0.0,,0.0,0.0,1,0.0
NJ-07,47.0,43.0,0.0,,0.0,0.0,1,0.1194
NM-02,43.0,41.0,0.0,,0.0,0.0,1,0.0625
NV-02,48.0,46.0,0.0,,0.0,0.0,1,0.3536
NY-01,38.0,41.0,0.0,,0.0,0.0,1,0.0026
NY-04,46.0,41.0,0.0,,0.0,0.0,1,0.0124
NY-17,47.37,48.02,0.0,,0.0,0.0,2,0.3598
NY-18,53.0,39.0,0.0,,0.0,0.0,1,0.4886
NY-21,41.89,44.4,3.01,IND,0.0,0.0,3,0.5353
OH-07,46.47,39.16,0.0,,0.0,0.0,5,0.5342
OH-09,43.0,47.0,3.0,LIB,0.0,0.0,1,0.052
OH-10,41.0,47.01,1.98,LIB,0.0,0.0,2,0.4218
OH-15,37.88,42.17,7.95,LIB,0.0,0.0,2,0.4569
PA-01,42.96,47.03,0.0,,0.0,0.0,3,0.2341
PA-07,47.0,43.0,0.0,,0.0,0.0,1,0.2806
PA-08,46.51,45.0,0.0,,0.0,0.0,3,0.1336
PA-10,50.81,44.94,0.0,,0.0,0.0,3,0.0191
SC-01,44.5,46.5,2.5,LIB,0.0,0.0,1,0.4454
SC-07,36.7,41.1,0.0,,0.0,0.0,1,0.5117
TX-15,49.91,45.04,0.0,,0.0,0.0,4,0.3822
TX-23,40.0,42.0,0.0,,0.0,0.0,1,0.0206
TX-28,43.81,35.25,5.25,GRE,0.0,0.0,2,0.4559
TX-34,44.72,42.09,2.8,GRE,0.0,0.0,3,0.3899
VA-01,41.97,45.92,0.0,,0.0,0.0,2,0.0106
VA-02,47.0,47.0,0.0,,0.0,0.0,1,0.3618
VA-05,44.0,47.0,0.0,,0.0,0.0,1,0.5612
VT-01,60.96,25.34,1.66,IND,0.0,0.0,2,0.3266
WA-03,41.67,42.92,0.0,,0.0,0.0,2,0.2008
WA-05,47.0,53.0,0.0,,0.0,0.0,1,0.1166
WI-01,47.88,49.02,0.0,,0.0,0.0,2,0.3492
WI-03,49.96,46.05,0.0,,0.0,0.0,5,0.1249
WI-06,39.0,61.0,0.0,,0.0,0.0,1,0.125
