cousub_fips,town_name,state,county_fips,town_margin_2024,lean,trump_approve,trump_disapprove,trump_net,demo_approval_adj,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
0900371390,South Windsor town,CT,09003,19.9,21.66,31.5,65.4,-33.9,0.9,72.1,4.1,5.0,15.7,0.1,0.0
0900374540,Suffield town,CT,09003,-1.97,-0.2,41.2,55.7,-14.5,1.7,79.8,8.1,7.0,2.2,0.1,0.0
0900382590,West Hartford town,CT,09003,51.11,52.87,18.2,78.8,-60.6,0.7,71.0,6.2,10.2,8.7,0.1,0.0
0900384900,Wethersfield town,CT,09003,15.36,17.12,33.5,63.5,-30.0,0.9,79.4,3.4,10.8,3.8,0.1,0.0
0900387000,Windsor town,CT,09003,49.25,51.01,19.4,77.6,-58.2,1.6,46.2,34.4,9.9,5.1,0.1,0.0
0900387070,Windsor Locks town,CT,09003,3.55,5.31,38.7,58.3,-19.6,1.3,77.0,5.9,6.9,6.2,0.1,0.0
0900502760,Barkhamsted town,CT,09005,-4.73,-2.97,41.1,55.8,-14.7,2.4,93.7,0.2,1.9,0.7,0.0,0.0
0900504930,Bethlehem town,CT,09005,-22.47,-20.71,48.7,48.3,0.4,2.3,93.2,0.8,2.2,0.7,0.1,0.0
0900508210,Bridgewater town,CT,09005,5.11,6.87,36.9,60.0,-23.1,2.3,91.6,1.0,2.5,0.5,0.1,0.0
0900510940,Canaan town,CT,09005,38.98,40.74,22.5,74.5,-52.0,2.2,92.4,1.7,3.7,0.1,0.0,0.0
0900516050,Colebrook town,CT,09005,-15.25,-13.49,45.6,51.3,-5.7,2.4,93.3,0.3,1.9,0.2,0.1,0.0
0900517240,Cornwall town,CT,09005,44.66,46.43,20.0,76.9,-56.9,2.1,92.5,0.0,3.0,1.3,0.1,0.0
0900532290,Goshen town,CT,09005,-11.82,-10.06,44.0,52.9,-8.9,2.1,92.2,0.6,3.4,1.1,0.0,0.0
0900537280,Harwinton town,CT,09005,-23.93,-22.17,49.3,47.7,1.6,2.3,93.3,0.6,2.6,0.7,0.1,0.0
0900540290,Kent town,CT,09005,35.79,37.55,23.7,73.3,-49.6,1.9,87.7,1.0,4.3,2.6,0.7,0.0
0900543370,Litchfield town,CT,09005,2.21,3.97,38.1,58.8,-20.7,2.2,92.4,0.5,2.7,1.4,0.2,0.0
0900549460,Morris town,CT,09005,-17.37,-15.61,46.5,50.4,-3.9,2.3,94.0,0.4,2.1,0.5,0.0,0.0
0900551350,New Hartford town,CT,09005,-6.38,-4.62,41.8,55.1,-13.3,2.3,93.0,0.3,2.1,1.1,0.1,0.0
0900552630,New Milford town,CT,09005,-4.47,-2.71,40.4,56.6,-16.3,1.0,78.9,2.2,10.0,3.4,0.1,0.0
0900553470,Norfolk town,CT,09005,27.82,29.58,27.3,69.7,-42.4,2.3,93.3,0.6,2.0,1.4,0.3,0.0
