county_fips,state,county_margin_2024,lean,trump_approve,trump_disapprove,trump_net,demo_approval_adj,vap_tot,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
13317,GA,-16.9,-15.14,47.0,49.8,-2.8,3.0,7651,54.3,39.2,3.2,0.6,0.2,0.0
13319,GA,-17.88,-16.12,47.5,49.3,-1.8,3.1,7026,59.3,35.3,2.2,0.2,0.4,0.0
13321,GA,-50.49,-48.73,61.3,35.5,25.8,2.9,16444,71.4,24.2,1.5,0.4,0.2,0.0
15001,HI,28.94,30.7,25.4,71.4,-46.1,-1.4,158711,36.6,0.6,9.1,21.3,0.4,11.5
15003,HI,22.05,23.81,27.6,69.2,-41.7,-2.9,809839,18.8,2.0,7.7,45.7,0.1,8.5
15005,HI,11.11,12.87,32.8,64.0,-31.2,-1.7,72,37.5,0.0,15.3,9.7,0.0,20.8
15007,HI,19.92,21.68,29.0,67.8,-38.8,-1.8,57544,33.8,0.5,8.4,30.6,0.2,8.4
15009,HI,26.47,28.23,26.3,70.5,-44.2,-1.6,129739,35.4,0.7,8.7,28.1,0.3,10.1
16001,ID,-10.64,-8.88,43.5,53.3,-9.7,1.3,378479,82.7,1.3,7.9,2.8,0.5,0.2
16003,ID,-55.85,-54.09,63.2,33.6,29.6,2.2,3619,92.4,0.1,2.9,0.2,0.7,0.0
16005,ID,-25.94,-24.18,50.0,46.8,3.3,1.3,64357,83.0,0.9,7.9,1.5,2.9,0.3
16007,ID,-78.73,-76.97,72.9,23.9,49.1,2.2,4630,94.4,0.1,2.8,0.3,0.5,0.0
16009,ID,-62.82,-61.05,66.1,30.7,35.3,2.0,7429,83.6,0.1,2.2,0.3,7.1,0.2
16011,ID,-61.35,-59.59,64.5,32.3,32.2,0.1,33315,74.8,0.2,15.7,0.5,6.0,0.1
16013,ID,32.65,34.41,24.6,72.2,-47.7,0.2,19152,78.6,0.2,16.8,0.9,0.1,0.0
16015,ID,-55.55,-53.79,63.0,33.8,29.2,2.1,6356,89.8,0.3,3.6,0.6,0.8,0.0
16017,ID,-47.25,-45.48,59.6,37.3,22.3,2.2,37908,91.1,0.2,2.6,0.5,0.7,0.1
16019,ID,-46.95,-45.19,58.8,38.1,20.7,0.9,86205,83.0,0.5,11.7,1.3,0.6,0.1
16021,ID,-67.0,-65.24,67.7,29.1,38.7,1.8,9249,88.3,0.3,5.3,0.7,1.2,0.1
16023,ID,-74.54,-72.77,71.0,25.8,45.3,2.0,1922,91.8,0.1,4.5,0.1,0.6,0.0
16025,ID,-56.29,-54.52,63.3,33.5,29.8,2.0,829,89.7,0.0,4.0,1.0,0.0,0.0
16027,ID,-47.84,-46.08,58.4,38.4,20.0,-0.6,166440,71.3,0.6,21.9,1.0,0.6,0.3
16029,ID,-73.35,-71.58,70.5,26.3,44.2,1.9,4971,91.7,0.0,4.9,0.1,0.6,0.3
16031,ID,-70.83,-69.07,67.9,28.9,38.9,-1.2,16999,69.6,0.2,26.6,0.6,0.6,0.1
16033,ID,-69.7,-67.94,67.0,29.8,37.2,-1.9,580,63.6,0.2,31.2,0.2,0.3,0.0
16035,ID,-64.2,-62.44,66.7,30.1,36.7,2.2,7304,91.0,0.5,2.8,0.6,1.5,0.0
16037,ID,-54.64,-52.88,62.7,34.1,28.6,2.2,3538,92.0,0.1,2.9,0.4,0.8,0.0
16039,ID,-49.8,-48.04,59.6,37.2,22.4,0.2,21446,72.4,2.5,15.4,3.0,0.8,0.3
16041,ID,-79.86,-78.1,73.2,23.6,49.6,1.8,9682,91.0,0.1,6.2,0.2,0.5,0.0
16043,ID,-71.09,-69.32,69.2,27.7,41.5,1.2,9698,86.0,0.2,10.2,0.3,0.6,0.2
16045,ID,-67.35,-65.58,67.8,29.0,38.7,1.6,14596,86.4,0.2,7.1,0.6,0.7,0.1
16047,ID,-61.91,-60.15,64.1,32.7,31.3,-1.2,11275,69.2,0.2,26.6,0.3,0.5,0.0
16049,ID,-69.69,-67.93,69.0,27.8,41.3,2.1,13270,90.0,0.3,2.9,0.4,2.3,0.0
16051,ID,-75.4,-73.64,71.0,25.8,45.2,1.2,20372,86.8,0.2,9.6,0.5,0.4,0.1
16053,ID,-55.07,-53.31,60.7,36.1,24.7,-2.1,16874,63.7,0.1,32.7,0.4,0.4,0.1
16055,ID,-53.04,-51.28,61.9,34.9,27.0,2.0,132205,88.8,0.2,4.2,0.9,0.9,0.1
16057,ID,-8.27,-6.51,42.7,54.1,-11.3,1.7,31752,85.8,0.8,5.0,2.6,0.6,0.1
16059,ID,-56.33,-54.57,63.4,33.4,30.0,2.2,6470,92.1,0.2,3.1,0.4,0.7,0.1
16061,ID,-66.26,-64.5,67.5,29.3,38.3,2.0,2797,87.7,0.2,3.0,0.3,4.9,0.0
16063,ID,-57.8,-56.04,62.1,34.7,27.5,-1.6,3692,66.4,0.1,29.0,0.2,0.5,0.1
16065,ID,-66.85,-65.08,67.3,29.5,37.9,1.1,42141,83.3,1.5,9.7,2.1,0.3,0.4
16067,ID,-64.68,-62.92,64.8,32.0,32.7,-2.2,15383,63.3,0.1,33.4,0.3,0.5,0.0
16069,ID,-39.62,-37.86,56.2,40.6,15.5,1.9,33042,86.2,0.4,3.3,0.9,5.0,0.1
16071,ID,-78.67,-76.91,72.9,23.9,48.9,2.2,3273,94.0,0.0,3.4,0.2,0.2,0.0
16073,ID,-55.56,-53.8,61.7,35.1,26.6,-0.6,8722,71.1,0.2,21.4,0.4,3.0,0.1
16075,ID,-64.17,-62.41,65.9,30.9,35.0,0.5,18652,79.0,0.2,14.0,0.9,0.7,0.1
16077,ID,-46.43,-44.67,57.4,39.4,17.9,-1.5,5500,66.6,0.2,28.1,0.3,2.3,0.1
16079,ID,-50.7,-48.94,61.0,35.8,25.2,2.2,10589,90.8,0.1,2.6,0.4,1.1,0.0
16081,ID,7.08,8.84,35.6,61.2,-25.5,0.6,8615,82.0,0.2,14.3,0.6,0.2,0.0
16083,ID,-50.15,-48.39,59.9,36.9,23.0,0.4,65472,78.7,0.9,14.6,1.6,0.6,0.2
16085,ID,-18.99,-17.23,47.4,49.4,-1.9,2.0,9560,90.6,0.1,4.2,0.4,0.5,0.0
16087,ID,-62.86,-61.1,65.4,31.4,34.0,0.6,8040,80.5,0.1,13.2,0.9,0.8,0.1
17001,IL,-48.13,-46.36,60.0,36.8,23.3,2.5,51030,90.9,3.4,1.6,0.7,0.1,0.0
17003,IL,-19.47,-17.7,48.2,48.6,-0.5,3.1,4238,64.3,29.7,1.3,0.1,0.5,0.0
17005,IL,-45.78,-44.02,58.9,37.9,21.1,2.2,13675,84.9,7.4,3.7,0.6,0.3,0.1
17007,IL,-14.75,-12.99,44.5,52.3,-7.9,-0.3,40102,73.1,2.0,20.4,1.2,0.2,0.0
17009,IL,-61.16,-59.4,65.5,31.3,34.3,2.4,5156,73.4,19.9,5.1,0.1,0.0,0.0
17011,IL,-24.76,-23.0,49.7,47.2,2.5,1.5,26212,88.2,0.7,7.5,0.9,0.1,0.0
17013,IL,-57.24,-55.47,64.0,32.9,31.1,2.5,3535,95.8,0.2,0.9,0.2,0.1,0.0
17015,IL,-32.3,-30.54,53.2,43.7,9.5,2.1,12871,87.8,5.1,4.3,0.3,0.4,0.0
17017,IL,-44.16,-42.39,57.2,39.6,17.6,0.1,9826,74.3,4.4,17.7,1.0,0.3,0.3
17019,IL,24.46,26.22,28.4,68.4,-40.0,0.9,166418,63.3,12.1,7.2,13.1,0.1,0.0
17021,IL,-47.39,-45.62,59.6,37.2,22.4,2.2,27218,92.1,1.2,3.4,0.5,0.2,0.0
17023,IL,-52.17,-50.4,61.8,35.0,26.7,2.5,11993,95.7,0.3,1.3,0.4,0.2,0.0
17025,IL,-68.37,-66.61,68.6,28.2,40.5,2.4,10245,94.6,0.2,1.3,0.6,0.3,0.0
17027,IL,-52.83,-51.07,61.9,34.9,27.0,2.2,28856,89.6,3.6,3.3,0.5,0.2,0.0
17029,IL,-28.96,-27.2,51.7,45.1,6.7,2.1,37724,87.1,4.3,3.5,1.4,0.2,0.1
17031,IL,42.53,44.29,19.9,76.9,-57.1,-0.8,4172402,43.5,22.2,23.7,8.0,0.1,0.0
17033,IL,-53.32,-51.56,62.2,34.6,27.6,2.4,14891,90.7,3.8,2.3,0.4,0.2,0.0
17035,IL,-62.75,-60.99,66.3,30.5,35.8,2.5,8062,95.9,0.2,1.0,0.2,0.0,0.0
