race_code,round,dem,rep,other,exhausted,eliminated
AK-GOV,1,41.64,50.36,8.0,0.0,
AK-GOV,2,45.0,53.4,0.0,1.6,Other
AK-SEN,1,45.24,46.76,8.0,0.0,
AK-SEN,2,48.6,49.8,0.0,1.6,Other
ME-SEN,1,48.06,46.94,5.0,0.0,
ME-SEN,2,50.16,48.84,0.0,1.0,Other
AK-01,1,42.1,49.9,8.0,0.0,
AK-01,2,45.7,52.7,0.0,1.6,Other
ME-01,1,62.37,32.63,5.0,0.0,
ME-01,2,64.47,34.53,0.0,1.0,Other
ME-02,1,44.65,50.35,5.0,0.0,
ME-02,2,46.75,52.25,0.0,1.0,Other
