race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,rcv_field,rcv_winner_name,rcv_exhausted,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_coh,rep_coh,ind_coh,dem_outside,rep_outside,dem_spent,rep_spent,ind_spent,dem_small,rep_small,ind_small,dem_pac,rep_pac,ind_pac,dem_self,rep_self,ind_self,dem_debt,rep_debt,ind_debt,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Jonathan Kreiss-Tomkins,Bernadette Wilson,DEM,REP,,REP,11.74,87.2,12.8,Likely D,-13.27,5.28,-9.05,0.0,0.0,-1.06,-13.8,4.74,True,False,,4,Jonathan Kreiss-Tomkins,10.81,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.47,54.53,0.0,107521,128925,0,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-19.47,2.8,97.2,Safe R,-29.66,5.28,-21.49,0.0,3.37,-0.48,-30.88,11.41,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,40.99,49.01,2,-8.01,0.15,0,13792994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.27,59.73,0.0,638450,947113,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-21.43,1.8,98.2,Safe R,-30.62,5.28,-25.97,0.0,-0.13,-0.51,-31.57,10.14,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,40.0,45.0,1,-5.0,0.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.29,60.71,0.0,329799,509658,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,8.65,80.4,19.6,Likely D,-4.25,5.28,8.34,0.94,6.01,0.36,-5.59,14.24,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,46.33,37.27,19,9.36,0.307,9827820,2787170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.33,45.67,0.0,1288884,1083639,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,27.83,99.7,0.3,Safe D,23.42,5.28,29.84,0.25,0.0,0.89,20.82,7.01,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,56.04,35.51,5,20.53,0.216,24217949,17445485,0,10580853,2163517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.91,36.09,0.0,7093493,4005050,0,0,11098543
CO-GOV,governor,CO,GOV,Phil Weiser,Victor Marx,DEM,REP,,DEM,17.79,96.0,4.0,Safe D,11.48,5.28,17.38,0.64,0.0,-0.01,11.29,6.5,False,False,IND,0,,0.0,Greg Lopez,3.6,0.0,,,0.0,confirmed,confirmed,50.1,37.8,1,12.3,0.15,6951032,2935521,84692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.78,39.62,0.0,1268891,885573,0,80457,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,19.18,97.0,3.0,Safe D,15.88,5.28,20.05,0.0,-1.03,-0.09,14.76,4.42,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,50.91,34.49,3,16.43,0.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.59,40.41,0.0,733657,497483,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-6.45,26.1,73.9,Lean R,-10.43,5.28,-7.27,-2.16,-0.47,0.51,-13.22,6.77,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,39.39,43.16,17,-4.38,0.283,5531882,99442171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.78,53.22,0.0,3580632,4074194,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Rick Jackson,DEM,REP,,REP,1.97,57.9,42.1,Toss-up,-1.84,5.28,1.06,-2.26,0.0,-0.12,-2.21,4.17,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,49.9,45.89,8,4.51,0.262,5774631,118984243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.98,49.02,0.0,1873641,1801405,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,32.21,99.9,0.1,Safe D,25.72,5.28,32.21,0.0,1.67,-0.46,23.56,8.65,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.1,33.9,0.0,239094,122596,0,0,361691
IA-GOV,governor,IA,GOV,Rob Sand,Zach Lahn,DEM,REP,,REP,5.05,69.2,30.8,Lean D,-12.13,5.28,5.36,2.06,10.86,-0.71,-13.45,18.5,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,49.12,44.77,8,4.37,0.31,19860206,1218702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.53,47.47,0.0,611654,552800,0,0,1164454
ID-GOV,governor,ID,GOV,Terri Pickens,Brad Little,DEM,REP,REP,REP,-41.96,0.0,100.0,Safe R,-36.27,5.28,-45.67,-1.82,-12.37,-0.49,-37.52,-4.44,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,29.0,50.5,1,-24.5,0.175,136953,2057743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.02,70.98,0.0,183838,449704,0,0,633543
