chamber,avg_dem_seats,avg_gop_seats,projected_dem_seats,dem_control_pct,needed,races
Senate,49.3,50.7,48,40.9,51,35
House,228.2,206.8,225,62.1,218,435
Governors,22.9,27.1,25,34.8,26,36
