race_code,poll_dem,poll_rep,poll_oth,poll_oth_party,poll_dem2,poll_rep2,poll_count,poll_recency
AK-SEN,48.06,46.46,0.0,,0.0,0.0,6,0.2067
AL-GOV,34.1,52.6,0.0,,0.0,0.0,1,0.1279
AR-SEN,36.0,58.0,0.0,,0.0,0.0,1,0.9772
AZ-01,42.71,42.94,0.0,,0.0,0.0,2,0.1233
AZ-06,42.0,41.0,0.0,,0.0,0.0,1,0.0655
AZ-GOV,47.43,37.32,0.0,,0.0,0.0,7,0.06
CA-22,44.0,42.0,0.0,,0.0,0.0,1,0.0136
CO-05,40.0,43.0,5.0,IND,0.0,0.0,1,0.1015
CO-GOV,50.1,37.8,0.0,,0.0,0.0,1,0.0149
FL-GOV,34.02,40.01,1.95,IND,0.0,0.0,5,0.0341
GA-SEN,42.94,41.33,0.0,,0.0,0.0,5,0.0095
IA-01,43.0,39.0,0.0,,0.0,0.0,1,0.0043
IA-03,45.0,42.0,0.0,,0.0,0.0,1,0.0864
IA-SEN,41.0,44.0,0.0,,0.0,0.0,1,0.5
IL-GOV,54.3,34.0,0.0,,0.0,0.0,1,0.1649
KS-SEN,46.0,54.0,0.0,,0.0,0.0,1,0.7405
KY-SEN,38.0,49.0,0.0,,0.0,0.0,1,0.2939
MA-GOV,51.0,26.0,0.0,,0.0,0.0,1,0.0905
MA-SEN,53.97,30.3,0.0,,0.0,0.0,3,0.2842
MD-GOV,49.9,28.0,0.0,,0.0,0.0,1,0.4454
ME-SEN,49.0,41.0,0.0,,0.0,0.0,1,0.1221
MI-04,42.0,44.0,0.0,,0.0,0.0,1,0.1539
MI-10,44.0,42.0,0.0,,0.0,0.0,1,0.5743
MI-GOV,36.59,36.0,15.03,IND,0.0,0.0,9,0.357
MI-SEN,41.98,43.36,0.0,,0.0,0.0,5,0.2749
MN-01,41.0,44.0,0.0,,0.0,0.0,1,0.8507
MN-GOV,50.34,36.36,0.0,,0.0,0.0,2,0.8652
MN-SEN,47.1,40.61,0.0,,0.0,0.0,3,0.323
NC-01,42.0,39.0,9.0,LIB,0.0,0.0,1,0.8312
NC-SEN,48.53,36.72,0.0,,0.0,0.0,9,0.2324
NE-02,46.5,40.5,0.0,,0.0,0.0,1,0.0787
NE-SEN,47.0,48.0,0.0,,0.0,0.0,2,0.4458
NH-02,51.18,38.82,0.0,,0.0,0.0,4,0.2022
NH-GOV,40.0,43.0,0.0,,0.0,0.0,1,0.0625
NH-SEN,46.76,42.09,0.0,,0.0,0.0,10,0.2271
NJ-02,36.0,46.0,0.0,,0.0,0.0,1,0.0022
NV-GOV,40.36,40.9,0.0,,0.0,0.0,2,0.103
NY-01,38.0,41.0,0.0,,0.0,0.0,1,0.2443
NY-GOV,50.34,32.41,1.19,LIB,0.0,0.0,6,0.4169
OH-GOV,45.11,45.63,0.0,,0.0,0.0,8,0.0735
OH-SEN,46.28,48.8,0.0,,0.0,0.0,5,0.0622
OR-GOV,45.0,40.0,0.0,,0.0,0.0,1,0.8706
PA-01,41.0,41.0,0.0,,0.0,0.0,1,0.0597
PA-08,45.0,43.0,0.0,,0.0,0.0,1,0.0216
PA-10,47.91,43.95,0.0,,0.0,0.0,2,0.077
PA-GOV,54.87,38.61,0.0,,0.0,0.0,2,0.0447
SD-SEN,30.8,43.8,0.0,,0.0,0.0,2,0.0711
TN-GOV,28.0,49.0,0.0,,0.0,0.0,1,0.0133
TX-15,38.0,41.0,0.0,,0.0,0.0,1,0.0298
TX-GOV,42.32,49.26,1.69,LIB,0.0,0.0,3,0.7187
TX-SEN,44.95,45.61,0.9,LIB,0.0,0.0,5,0.3067
VA-01,40.0,41.0,0.0,,0.0,0.0,1,0.0139
WI-03,44.0,42.0,0.0,,0.0,0.0,1,0.0655
WI-GOV,40.0,43.0,0.0,,0.0,0.0,1,0.0463
