race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Tom Begich,Click Bishop,DEM,REP,,REP,-7.9,32.0,68.0,Lean R,-13.18,5.46,-8.78,0.0,0.0,-1.06,-13.8,5.89,True,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,45.31,53.09,1.6,107136,125527,3783,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-20.41,2.5,97.5,Safe R,-29.63,5.46,-21.28,0.0,3.37,-0.48,-30.88,10.47,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,34.1,52.6,1,-15.5,0.15,0,0,0,39.79,60.21,0.0,630973,954590,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-25.67,0.7,99.3,Safe R,-30.5,5.46,-25.67,0.0,-0.13,-0.51,-31.57,5.89,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,37.16,62.84,0.0,311967,527490,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,7.34,76.0,24.0,Likely D,-4.25,5.46,7.58,0.0,6.01,0.36,-5.59,12.93,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,42.7,36.79,11,6.65,0.257,0,0,0,53.67,46.33,0.0,1273310,1099214,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,28.46,99.7,0.3,Safe D,23.32,5.46,29.67,0.0,0.0,0.89,20.82,7.64,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,53.72,32.15,2,21.57,0.15,0,0,0,64.23,35.77,0.0,7128412,3970132,0,0,11098543
CO-GOV,governor,CO,GOV,Michael Bennet,Barbara Kirkmeyer,DEM,REP,,DEM,21.17,97.9,2.1,Safe D,11.58,5.46,22.73,0.0,5.7,-0.01,11.29,9.87,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.1,37.8,1,12.3,0.15,0,0,0,60.58,39.42,0.0,1354006,880915,0,0,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,20.22,97.4,2.6,Safe D,15.88,5.46,20.22,0.0,-1.03,-0.09,14.76,5.46,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,60.11,39.89,0.0,740060,491080,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-4.57,33.0,67.0,Lean R,-10.56,5.46,-5.06,0.0,-0.47,0.51,-13.22,8.65,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,40.77,43.75,13,-3.22,0.268,0,0,0,47.72,52.28,0.0,3652567,4002260,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Rick Jackson,DEM,REP,,REP,4.71,67.5,32.5,Lean D,-1.71,5.46,3.63,0.0,0.0,-0.12,-2.21,6.92,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,51.49,39.89,2,10.87,0.15,0,0,0,52.36,47.64,0.0,1924145,1750901,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,32.39,99.9,0.1,Safe D,25.73,5.46,32.39,0.0,1.67,-0.46,23.56,8.83,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,66.2,33.8,0.0,239430,122261,0,0,361691
