race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-SEN,senate,AK,SEN,Mary Peltola,Dan Sullivan,DEM,REP,REP,REP,-1.09,47.4,52.6,Toss-up,-12.24,3.86,-5.11,0.21,4.11,-1.06,-13.8,12.71,True,False,,,0.0,0.0,,,0.0,presumptive,confirmed,50.51,44.93,9,5.48,0.242,8661662,6500847,0,48.67,49.73,1.6,115067,117596,3783,0,236446
AL-SEN,senate,AL,SEN,Everett Wess,Barry Moore,DEM,REP,,REP,-25.44,0.7,99.3,Safe R,-27.35,3.86,-25.44,-2.4,0.93,-0.48,-30.88,5.44,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,73770,2980325,0,37.28,62.72,0.0,591063,994500,0,0,1585563
AR-SEN,senate,AR,SEN,Hallie Shoffner,Tom Cotton,DEM,REP,REP,REP,-27.2,0.5,99.5,Safe R,-29.42,3.86,-28.64,-0.9,-1.67,-0.51,-31.57,4.37,False,False,,,0.0,0.0,,,0.0,presumptive,confirmed,36.0,58.0,1,-19.0,0.15,1589764,5406040,0,36.4,63.6,0.0,305576,533881,0,0,839457
CO-SEN,senate,CO,SEN,John Hickenlooper,Mark Baisley,DEM,REP,DEM,DEM,24.44,99.0,1.0,Safe D,13.71,3.86,24.44,3.32,3.55,-0.01,11.29,13.14,False,False,,,0.0,0.0,,,0.0,confirmed,presumptive,,,0,,0.0,6818283,31866,0,62.22,37.78,0.0,1390525,844397,0,0,2234922
DE-SEN,senate,DE,SEN,Chris Coons,Michael Katz,DEM,REP,DEM,DEM,23.69,98.8,1.2,Safe D,15.61,3.86,23.69,2.84,1.67,-0.28,14.84,8.85,False,False,,,0.0,0.0,,,0.0,confirmed,projected,,,0,,0.0,3044649,20211,0,61.85,38.15,0.0,221129,136414,0,0,357542
FL-SEN,senate,FL,SEN,Alexander Vindman,Ashley Moody,DEM,REP,REP,REP,-6.08,28.0,72.0,Lean R,-8.77,3.86,-6.08,-0.02,-1.67,0.51,-13.22,7.14,False,False,,,0.0,0.0,,,0.0,projected,confirmed,39.77,45.88,6,-6.07,0.21,8188392,8407064,0,46.96,53.04,0.0,3594691,4060135,0,0,7654826
GA-SEN,senate,GA,SEN,Jon Ossoff,Mike Collins,DEM,REP,DEM,DEM,10.59,84.5,15.5,Likely D,-0.39,3.86,11.95,1.88,6.73,-0.12,-2.21,12.8,False,False,,,0.0,0.0,,,0.0,confirmed,projected,48.54,43.48,7,5.83,0.223,60439613,4880582,0,55.3,44.7,0.0,2032127,1642919,0,0,3675046
IA-SEN,senate,IA,SEN,Josh Turek,Ashley Hinson,DEM,REP,,REP,-2.07,42.1,57.9,Toss-up,-8.26,3.86,-2.85,3.19,-0.93,-0.71,-13.45,11.38,False,False,LIB,,0.0,0.0,,,0.0,presumptive,presumptive,44.41,45.69,3,-1.13,0.15,3463099,0,0,47.68,49.69,2.63,555194,578635,30625,0,1164454
ID-SEN,senate,ID,SEN,David Roth,Jim Risch,DEM,REP,REP,REP,-40.75,0.0,100.0,Safe R,-38.21,3.86,-40.75,-2.93,-2.97,-0.49,-37.52,-3.22,False,False,,,0.0,0.0,,,0.0,presumptive,confirmed,,,0,,0.0,8642,2864280,0,29.63,70.37,0.0,187699,445843,0,0,633543
IL-SEN,senate,IL,SEN,Juliana Stratton,Don Tracy,DEM,REP,,DEM,18.84,96.5,3.5,Safe D,14.45,3.86,18.84,0.53,0.0,0.0,11.14,7.71,False,False,,,0.0,0.0,,,0.0,presumptive,projected,,,0,,0.0,4791273,2327334,0,59.42,40.58,0.0,2349962,1604775,0,0,3954737
KS-SEN,senate,KS,SEN,Adam Hamilton,Roger Marshall,DEM,REP,REP,REP,-14.96,7.6,92.4,Likely R,-15.37,3.86,-16.19,-3.16,-1.09,-0.43,-16.41,1.45,False,False,,,0.0,0.0,,,0.0,projected,confirmed,46.0,54.0,1,-8.0,0.15,0,3331963,0,42.52,57.48,0.0,395148,534166,0,0,929314
KY-SEN,senate,KY,SEN,Charles Booker,Andy Barr,DEM,REP,,REP,-31.07,0.1,99.9,Safe R,-30.03,3.86,-33.81,-2.04,-4.86,-0.75,-31.03,-0.04,False,False,,,0.0,0.0,,,0.0,presumptive,projected,37.0,49.5,1,-15.5,0.15,508684,8403849,0,34.47,65.53,0.0,500515,951654,0,0,1452169
