race_code,round,dem,rep,other,exhausted,eliminated
AK-GOV,1,41.81,50.19,8.0,0.0,
AK-GOV,2,45.17,53.23,0.0,1.6,Other
AK-SEN,1,45.42,46.58,8.0,0.0,
AK-SEN,2,48.78,49.62,0.0,1.6,Other
ME-SEN,1,48.14,46.86,5.0,0.0,
ME-SEN,2,50.24,48.76,0.0,1.0,Other
AK-01,1,42.31,49.69,8.0,0.0,
AK-01,2,45.91,52.49,0.0,1.6,Other
ME-01,1,62.58,32.42,5.0,0.0,
ME-01,2,64.68,34.32,0.0,1.0,Other
ME-02,1,44.82,50.18,5.0,0.0,
ME-02,2,46.92,52.08,0.0,1.0,Other
