race_code,poll_dem,poll_rep,poll_oth,poll_oth_party,poll_dem2,poll_rep2,poll_count,poll_recency
AK-01,39.51,46.77,0.0,,0.0,0.0,4,0.5236
AK-GOV,46.99,37.94,0.0,,0.0,6.88,3,0.1736
AK-SEN,48.47,47.4,0.0,,14.38,14.91,13,0.2176
AL-02,45.09,45.55,0.0,,0.0,0.0,2,0.6008
AL-GOV,40.99,49.01,0.0,,0.0,0.0,2,0.269
AL-SEN,32.0,47.0,0.0,,0.0,0.0,1,0.5359
AR-02,46.5,42.0,0.0,,0.0,0.0,1,0.1221
AR-SEN,42.86,46.25,0.0,,0.0,0.0,2,0.3783
AZ-01,42.71,42.94,0.0,,0.0,0.0,2,0.002
AZ-02,41.0,44.0,7.0,LIB,0.0,0.0,1,0.2939
AZ-06,46.96,44.87,0.0,,0.0,0.0,3,0.1011
AZ-GOV,50.0,43.89,0.64,IND,0.0,0.0,12,0.1501
CA-22,48.0,44.0,0.0,,0.0,0.0,1,0.3376
CA-48,48.0,46.0,0.0,,0.0,0.0,1,0.5743
CA-GOV,57.29,33.73,0.0,,0.0,0.0,4,0.2868
CO-03,45.0,46.0,0.0,,0.0,0.0,1,0.7071
CO-05,43.99,45.0,0.01,IND,0.0,0.0,2,0.3384
CO-GOV,50.1,37.8,0.0,,0.0,0.0,1,0.0002
CT-GOV,49.61,31.46,0.0,,0.0,0.0,2,0.6231
FL-08,35.0,44.0,0.0,,0.0,0.0,1,0.63
FL-11,41.8,42.1,0.0,,0.0,0.0,1,0.8312
FL-13,42.02,46.86,1.78,IND,0.0,0.0,3,0.7052
FL-14,46.2,37.5,0.0,,0.0,0.0,1,0.5878
FL-22,43.0,45.0,0.0,,0.0,0.0,1,0.3703
FL-25,42.9,32.7,0.0,,0.0,0.0,1,0.1063
FL-27,43.0,46.0,0.0,,0.0,0.0,1,0.0298
FL-28,41.0,45.0,0.0,,0.0,0.0,1,0.0292
FL-GOV,38.12,42.8,0.52,NPA,0.0,0.0,16,0.1636
FL-SEN,40.04,49.3,0.0,,0.0,0.0,4,0.1902
GA-GOV,50.2,45.86,0.0,,0.0,0.0,7,0.4453
GA-SEN,53.98,43.02,0.0,,0.0,0.0,10,0.1358
IA-01,40.0,35.0,11.0,IND,0.0,0.0,2,0.3008
IA-02,38.62,36.14,0.0,,0.0,0.0,2,0.3574
IA-03,42.0,48.0,0.0,,0.0,0.0,1,0.0343
IA-GOV,49.43,44.02,0.0,,0.0,0.0,5,0.4256
IA-SEN,46.43,47.28,0.0,,0.0,0.0,9,0.2926
ID-01,34.89,45.01,5.98,IND,0.0,0.0,2,0.7028
ID-GOV,29.0,50.5,5.0,IND,0.0,0.0,1,0.8312
ID-SEN,30.95,35.94,3.25,IND,0.0,0.0,4,0.5202
IL-04,34.0,15.0,9.0,IND,0.0,0.0,1,0.9117
IL-GOV,54.3,34.0,0.0,,0.0,0.0,1,0.0027
IN-05,46.0,48.0,0.0,,0.0,0.0,1,0.6598
KS-SEN,43.05,47.11,0.0,,0.0,0.0,2,0.2867
KY-06,44.9,44.95,0.0,,0.0,0.0,3,0.4395
KY-SEN,38.0,49.0,0.0,,0.0,0.0,1,0.0048
MA-GOV,53.79,31.4,0.0,,0.0,0.0,6,0.1413
