race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_coh,rep_coh,ind_coh,dem_outside,rep_outside,dem_spent,rep_spent,ind_spent,dem_small,rep_small,ind_small,dem_pac,rep_pac,ind_pac,dem_self,rep_self,ind_self,dem_debt,rep_debt,ind_debt,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Tom Begich,Bernadette Wilson,DEM,REP,,REP,-5.33,35.8,64.2,Lean R,-13.27,5.27,-9.06,0.0,0.0,-1.06,-13.8,8.47,True,False,,,0.0,0.0,,,0.0,presumptive,projected,46.99,37.94,3,8.06,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.01,48.99,8.0,101695,115835,18916,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-19.48,2.9,97.1,Safe R,-29.66,5.27,-21.5,0.0,3.37,-0.48,-30.88,11.41,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,40.99,49.01,2,-8.01,0.15,0,13792994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.26,59.74,0.0,638383,947180,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-25.98,0.6,99.4,Safe R,-30.62,5.27,-25.98,0.0,-0.13,-0.51,-31.57,5.58,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.01,62.99,0.0,310670,528786,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,8.12,78.5,21.5,Likely D,-4.25,5.27,8.33,0.94,6.01,0.36,-5.59,13.71,False,False,,,0.0,0.0,,,0.0,presumptive,presumptive,48.87,41.57,12,7.54,0.262,9827820,2787170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.06,45.94,0.0,1282590,1089933,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,28.69,99.7,0.3,Safe D,23.42,5.27,29.77,0.19,0.0,0.89,20.82,7.87,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,57.29,33.73,4,23.57,0.175,22373949,17445485,0,10580853,2163517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.34,35.66,0.0,7141103,3957441,0,0,11098543
CO-GOV,governor,CO,GOV,Phil Weiser,Victor Marx,DEM,REP,,DEM,17.78,95.8,4.2,Safe D,11.48,5.27,17.37,0.64,0.0,-0.01,11.29,6.49,False,False,IND,Greg Lopez,3.6,0.0,,,0.0,confirmed,confirmed,50.1,37.8,1,12.3,0.15,6951032,2935521,84692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.77,39.63,0.0,1268800,885665,0,80457,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,19.66,97.2,2.8,Safe D,15.88,5.27,20.04,0.0,-1.03,-0.09,14.76,4.9,False,False,,,0.0,0.0,,,0.0,presumptive,confirmed,49.61,31.46,2,18.15,0.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.83,40.17,0.0,736595,494544,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-6.59,26.1,73.9,Lean R,-10.43,5.27,-7.28,-2.16,-0.47,0.51,-13.22,6.64,False,False,,,0.0,0.0,,,0.0,presumptive,presumptive,38.12,42.8,17,-4.84,0.283,5531882,99442171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.71,53.29,0.0,3575370,4079456,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Rick Jackson,DEM,REP,,REP,1.64,56.3,43.7,Toss-up,-1.84,5.27,0.84,-2.47,0.0,-0.12,-2.21,3.85,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.44,45.91,6,4.65,0.21,2665880,73526815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.82,49.18,0.0,1867650,1807396,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,32.2,99.9,0.1,Safe D,25.72,5.27,32.2,0.0,1.67,-0.46,23.56,8.64,False,False,,,0.0,0.0,,,0.0,presumptive,presumptive,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.1,33.9,0.0,239076,122614,0,0,361691
IA-GOV,governor,IA,GOV,Rob Sand,Zach Lahn,DEM,REP,,REP,5.37,69.9,30.1,Lean D,-12.13,5.27,5.35,2.06,10.86,-0.71,-13.45,18.82,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,49.43,44.02,5,5.45,0.204,19860206,1218702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.69,47.31,0.0,613502,550952,0,0,1164454
ID-GOV,governor,ID,GOV,Terri Pickens,Brad Little,DEM,REP,REP,REP,-45.68,0.0,100.0,Safe R,-36.27,5.27,-45.68,-1.82,-12.37,-0.49,-37.52,-8.15,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,136953,2057743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.16,72.84,0.0,172084,461459,0,0,633543
IL-GOV,governor,IL,GOV,JB Pritzker,Darren Bailey,DEM,REP,DEM,DEM,20.04,97.4,2.6,Safe D,12.91,5.27,20.0,1.84,-0.02,0.0,11.14,8.91,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,54.3,34.0,1,20.3,0.15,25619035,2166962,0,3141018,127990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.02,39.98,0.0,2373676,1581061,0,0,3954737
KS-GOV,governor,KS,GOV,Cindy Holscher,Ty Masterson,DEM,REP,,DEM,-11.58,13.0,87.0,Likely R,-16.42,5.27,-11.58,0.0,0.0,-0.43,-16.41,4.83,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.21,55.79,0.0,410833,518480,0,0,929314
MA-GOV,governor,MA,GOV,Maura Healey,Mike Minogue,DEM,REP,DEM,DEM,31.45,99.9,0.1,Safe D,27.8,5.27,33.85,0.0,1.13,-0.34,25.91,5.53,False,False,,,0.0,0.0,,,0.0,confirmed,presumptive,53.79,31.4,6,22.39,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.72,34.28,0.0,1598091,833476,0,0,2431568
