race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Tom Begich,Click Bishop,DEM,REP,,REP,-10.38,31.3,68.7,Lean R,-13.18,3.2,-13.8,3.42,True,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,44.1,54.3,1.6,104261,128402,3783,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-22.33,1.6,98.4,Safe R,-29.63,3.2,-30.88,8.55,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,34.1,52.6,1,-15.5,0.15,0,0,0,38.83,61.17,0.0,615744,969819,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-27.93,0.4,99.6,Safe R,-30.5,3.2,-31.57,3.63,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,36.03,63.97,0.0,302481,536976,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,6.18,72.3,27.7,Lean D,-4.25,3.2,-5.59,11.77,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,46.85,37.84,8,9.01,0.233,0,0,0,53.09,46.91,0.0,1259544,1112979,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,27.41,99.6,0.4,Safe D,23.32,3.2,20.82,6.6,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,63.71,36.29,0.0,7070439,4028105,0,0,11098543
CO-GOV,governor,CO,GOV,Michael Bennet,Barbara Kirkmeyer,DEM,REP,,DEM,19.25,96.7,3.3,Safe D,11.58,3.2,11.29,7.95,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.1,37.8,1,12.3,0.15,0,0,0,59.62,40.38,0.0,1332540,902382,0,0,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,17.96,95.7,4.3,Safe D,15.88,3.2,14.76,3.2,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,58.98,41.02,0.0,726148,504992,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-7.84,22.7,77.3,Likely R,-10.56,3.2,-13.22,5.38,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,36.31,45.03,5,-9.99,0.194,0,0,0,46.08,53.92,0.0,3527345,4127481,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Rick Jackson,DEM,REP,,REP,1.37,55.2,44.8,Toss-up,-1.71,3.2,-2.21,3.58,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,50.68,49.32,0.0,1862656,1812390,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,30.13,99.8,0.2,Safe D,25.73,3.2,23.56,6.57,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,65.07,34.93,0.0,235343,126348,0,0,361691
IA-GOV,governor,IA,GOV,Rob Sand,Zach Lahn,DEM,REP,,REP,1.25,54.8,45.2,Toss-up,-12.1,3.2,-13.45,14.7,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,50.63,49.37,0.0,589520,574934,0,0,1164454
ID-GOV,governor,ID,GOV,Terri Pickens,Brad Little,DEM,REP,REP,REP,-45.93,0.0,100.0,Safe R,-36.28,3.2,-37.52,-8.41,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,27.03,72.97,0.0,171270,462272,0,0,633543
IL-GOV,governor,IL,GOV,JB Pritzker,Darren Bailey,DEM,REP,DEM,DEM,16.72,94.5,5.5,Likely D,12.91,3.2,11.14,5.59,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,54.3,34.0,1,20.3,0.15,0,0,0,58.36,41.64,0.0,2308048,1646689,0,0,3954737
KS-GOV,governor,KS,GOV,Ethan Corson,Ty Masterson,DEM,REP,,DEM,-13.49,9.9,90.1,Likely R,-16.26,3.2,-16.41,2.92,False,False,,,0.0,0.0,,,0.0,confirmed,projected,,,0,,0.0,0,0,0,43.25,56.75,0.0,401952,527362,0,0,929314
MA-GOV,governor,MA,GOV,Maura Healey,Mike Minogue,DEM,REP,DEM,DEM,30.68,99.8,0.2,Safe D,27.69,3.2,25.91,4.77,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,51.0,26.0,1,25.0,0.15,0,0,0,65.34,34.66,0.0,1588741,842826,0,0,2431568
MD-GOV,governor,MD,GOV,Wes Moore,Dan Cox,DEM,REP,DEM,DEM,34.7,100.0,0.0,Safe D,30.41,3.2,29.51,5.19,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,49.9,28.0,1,21.9,0.15,0,0,0,67.35,32.65,0.0,1432397,694437,0,0,2126834
ME-GOV,governor,ME,GOV,Hannah Pingree,Robert Charles,DEM,REP,,DEM,9.72,82.4,17.6,Likely D,7.49,3.2,7.09,2.64,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,0,0,0,54.86,45.14,0.0,319279,262684,0,0,581962
MI-GOV,governor,MI,GOV,Jocelyn Benson,John James,DEM,REP,,DEM,9.48,81.7,18.3,Likely D,-0.36,3.2,-1.44,10.92,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,41.5,40.12,10,1.38,0.25,0,0,0,54.74,45.26,0.0,2170013,1794248,0,0,3964262
MN-GOV,governor,MN,GOV,Amy Klobuchar,Kendall Qualls,DEM,REP,,DEM,7.3,75.7,24.3,Likely D,4.94,3.2,4.34,2.95,False,False,,,0.0,0.0,,,0.0,confirmed,projected,,,0,,0.0,0,0,0,53.65,46.35,0.0,1221964,1055780,0,0,2277744
NE-GOV,governor,NE,GOV,Lynne Walz,Jim Pillen,DEM,REP,REP,REP,-21.28,2.1,97.9,Safe R,-20.75,3.2,-20.84,-0.44,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,39.36,60.64,0.0,260975,402036,0,0,663011
NH-GOV,governor,NH,GOV,Cinde Warmington,Kelly Ayotte,DEM,REP,REP,REP,-11.72,13.1,86.9,Likely R,3.66,3.2,2.82,-14.54,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,40.0,43.0,1,0.0,0.15,0,0,0,44.14,55.86,0.0,255270,323062,0,0,578332
NM-GOV,governor,NM,GOV,Deb Haaland,Gregg Hull,DEM,REP,,DEM,5.39,69.7,30.3,Lean D,7.45,3.2,6.14,-0.76,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,52.69,47.31,0.0,340599,305778,0,0,646377
NV-GOV,governor,NV,GOV,Aaron Ford,Joe Lombardo,DEM,REP,REP,REP,2.39,59.0,41.0,Toss-up,-1.54,3.2,-3.15,5.54,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,40.36,40.9,2,-0.54,0.15,0,0,0,51.19,48.81,0.0,531929,507139,0,0,1039067
NY-GOV,governor,NY,GOV,Kathy Hochul,Bruce Blakeman,DEM,REP,DEM,DEM,12.5,88.4,11.6,Likely D,15.38,3.2,12.68,-0.19,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.18,32.84,6,17.34,0.21,0,0,0,56.25,43.75,0.0,3269949,2543550,0,0,5813499
OH-GOV,governor,OH,GOV,Amy Acton,Vivek Ramaswamy,DEM,REP,,REP,-6.08,28.1,71.9,Lean R,-10.26,3.2,-11.31,5.23,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,45.11,45.63,8,-0.59,0.233,0,0,0,46.96,53.04,0.0,1895086,2140426,0,0,4035512
OK-GOV,governor,OK,GOV,Cyndi Munson,Gentner Drummond,DEM,REP,,REP,-32.88,0.1,99.9,Safe R,-34.68,3.2,-34.95,2.07,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,33.56,66.44,0.0,367903,728320,0,0,1096222
OR-GOV,governor,OR,GOV,Tina Kotek,Christine Drazan,DEM,REP,DEM,DEM,4.82,67.8,32.2,Lean D,15.34,3.2,14.89,-10.07,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,45.0,40.0,1,5.0,0.15,0,0,0,52.41,47.59,0.0,823786,747988,0,0,1571774
PA-GOV,governor,PA,GOV,Josh Shapiro,Stacy Garrity,DEM,REP,DEM,DEM,13.84,90.7,9.3,Likely D,-0.87,3.2,-1.75,15.59,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,54.87,38.61,2,16.26,0.15,0,0,0,56.92,43.08,0.0,2802549,2121068,0,0,4923617
RI-GOV,governor,RI,GOV,Dan McKee,Aaron Guckian,DEM,REP,DEM,DEM,20.37,97.4,2.6,Safe D,15.7,3.2,14.16,6.21,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,60.18,39.82,0.0,216265,143083,0,0,359348
SC-GOV,governor,SC,GOV,Jermaine Johnson,Pamela Evette,DEM,REP,,REP,-13.74,9.5,90.5,Likely R,-16.63,3.2,-18.12,4.38,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,43.13,56.87,0.0,769271,1014427,0,0,1783698
SD-GOV,governor,SD,GOV,Dan Ahlers,Larry Rhoden,DEM,REP,REP,REP,-27.77,0.4,99.6,Safe R,-29.31,3.2,-29.98,2.21,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,36.12,63.88,0.0,107797,190676,0,0,298473
TN-GOV,governor,TN,GOV,Carnita Atwater,Marsha Blackburn,DEM,REP,,REP,-21.75,1.9,98.1,Safe R,-28.63,3.2,-30.12,8.37,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,32.0,51.0,1,-19.0,0.15,0,0,0,39.13,60.87,0.0,839164,1305596,0,0,2144759
TX-GOV,governor,TX,GOV,Gina Hinojosa,Greg Abbott,DEM,REP,REP,REP,-10.46,15.9,84.1,Likely R,-12.03,3.2,-13.88,3.41,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,42.32,49.26,4,-7.37,0.175,0,0,0,44.77,55.23,0.0,3573896,4409273,0,0,7983170
VT-GOV,governor,VT,GOV,Amanda Janoo,Phil Scott,DEM,REP,REP,REP,-26.83,0.5,99.5,Safe R,33.5,3.2,32.77,-59.6,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,36.59,63.41,0.0,94611,163985,0,0,258595
