chamber,avg_dem_seats,avg_gop_seats,projected_dem_seats,dem_control_pct,needed,races
Senate,48.7,51.3,48,38.3,51,35
House,226.6,208.4,222,56.2,218,435
Governors,22.6,27.4,24,32.8,26,36
