race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Tom Begich,Click Bishop,DEM,REP,,REP,-6.64,33.2,66.8,Lean R,-13.18,5.35,-13.8,7.15,True,False,,,0.0,0.0,,,0.0,confirmed,confirmed,45.93,52.47,1.6,108602,124061,3783,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-20.91,2.2,97.8,Safe R,-29.63,5.35,-30.88,9.97,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,39.55,60.45,0.0,627037,958526,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-25.27,0.7,99.3,Safe R,-30.5,5.35,-31.57,6.29,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,37.36,62.64,0.0,313646,525811,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,7.11,75.3,24.7,Likely D,-4.25,5.35,-5.59,12.69,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,53.55,46.45,0.0,1270552,1101971,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,28.67,99.7,0.3,Safe D,23.32,5.35,20.82,7.86,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,64.34,35.66,0.0,7140360,3958184,0,0,11098543
CO-GOV,governor,CO,GOV,Michael Bennet,Barbara Kirkmeyer,DEM,REP,,DEM,22.63,98.5,1.5,Safe D,11.58,5.35,11.29,11.34,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,61.32,38.68,0.0,1370377,864545,0,0,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,20.2,97.4,2.6,Safe D,15.88,5.35,14.76,5.44,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,60.1,39.9,0.0,739936,491203,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-5.68,29.2,70.8,Lean R,-10.56,5.35,-13.22,7.54,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,47.16,52.84,0.0,3609977,4044849,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Burt Jones,DEM,REP,,REP,-2.22,41.5,58.5,Toss-up,-1.71,5.35,-2.21,-0.01,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,48.89,51.11,0.0,1796811,1878235,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,32.74,99.9,0.1,Safe D,25.73,5.35,23.56,9.18,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,66.37,33.63,0.0,240063,121628,0,0,361691
