race_code,round,dem,rep,other,exhausted,eliminated
AK-GOV,1,42.99,49.01,8.0,0.0,
AK-GOV,2,46.35,52.05,0.0,1.6,Other
AK-SEN,1,45.03,46.97,8.0,0.0,
AK-SEN,2,48.39,50.01,0.0,1.6,Other
ME-01,1,62.14,32.86,5.0,0.0,
ME-01,2,64.24,34.76,0.0,1.0,Other
ME-02,1,45.04,49.96,5.0,0.0,
ME-02,2,47.14,51.86,0.0,1.0,Other
