race_code,poll_dem,poll_rep,poll_oth,poll_oth_party,poll_dem2,poll_rep2,poll_count,poll_recency
AK-01,46.17,50.17,0.0,,0.0,0.0,2,0.1133
AK-GOV,46.99,37.94,0.0,,0.0,6.88,3,0.1904
AK-SEN,46.31,46.61,0.0,,0.0,1.7,11,0.0938
AL-02,45.09,45.55,0.0,,0.0,0.0,2,0.6589
AL-GOV,40.99,49.01,0.0,,0.0,0.0,2,0.295
AL-SEN,32.0,47.0,0.0,,0.0,0.0,1,0.5878
AR-02,46.5,42.0,0.0,,0.0,0.0,1,0.134
AR-SEN,42.86,46.25,0.0,,0.0,0.0,2,0.4149
AZ-01,42.71,42.94,0.0,,0.0,0.0,2,0.0022
AZ-02,41.0,44.0,7.0,LIB,0.0,0.0,1,0.3223
AZ-06,46.96,44.87,0.0,,0.0,0.0,3,0.1109
AZ-GOV,50.0,43.89,0.64,IND,0.0,0.0,12,0.1647
CA-22,48.0,44.0,0.0,,0.0,0.0,1,0.3703
CA-48,48.0,46.0,0.0,,0.0,0.0,1,0.63
CA-GOV,57.29,33.73,0.0,,0.0,0.0,4,0.3145
CO-03,45.0,46.0,0.0,,0.0,0.0,1,0.7756
CO-05,43.99,45.0,0.01,IND,0.0,0.0,2,0.3712
CO-GOV,50.1,37.8,0.0,,0.0,0.0,1,0.0003
CT-GOV,49.61,31.46,0.0,,0.0,0.0,2,0.6834
FL-08,35.0,44.0,0.0,,0.0,0.0,1,0.691
FL-11,41.8,42.1,0.0,,0.0,0.0,1,0.9117
FL-13,39.0,41.0,0.0,,0.0,0.0,1,0.1768
FL-14,46.2,37.5,0.0,,0.0,0.0,1,0.6447
FL-22,43.0,45.0,0.0,,0.0,0.0,1,0.4061
FL-25,42.9,32.7,0.0,,0.0,0.0,1,0.1166
FL-27,43.0,46.0,0.0,,0.0,0.0,1,0.0327
FL-28,41.0,45.0,0.0,,0.0,0.0,1,0.032
FL-GOV,38.12,42.8,0.52,NPA,0.0,0.0,16,0.1795
FL-SEN,40.04,49.3,0.0,,0.0,0.0,4,0.2086
GA-GOV,50.2,45.86,0.0,,0.0,0.0,7,0.4884
GA-SEN,53.98,43.02,0.0,,0.0,0.0,10,0.149
IA-01,40.0,35.0,11.0,IND,0.0,0.0,2,0.3299
IA-02,38.62,36.14,0.0,,0.0,0.0,2,0.392
IA-03,42.0,48.0,0.0,,0.0,0.0,1,0.0376
IA-GOV,50.38,45.25,0.0,,0.0,0.0,4,0.3276
IA-SEN,47.62,47.09,0.0,,0.0,0.0,8,0.2331
ID-01,34.89,45.01,5.98,IND,0.0,0.0,2,0.7708
ID-GOV,29.0,50.5,5.0,IND,0.0,0.0,1,0.9117
ID-SEN,33.75,41.67,1.03,IND,0.0,0.0,3,0.3951
IL-04,34.0,15.0,9.0,IND,0.0,0.0,1,1.0
IL-GOV,54.3,34.0,0.0,,0.0,0.0,1,0.003
IN-05,46.0,48.0,0.0,,0.0,0.0,1,0.7236
KS-SEN,43.05,47.11,0.0,,0.0,0.0,2,0.3144
KY-06,44.9,44.95,0.0,,0.0,0.0,3,0.4821
KY-SEN,38.0,49.0,0.0,,0.0,0.0,1,0.0053
MA-GOV,53.79,31.4,0.0,,0.0,0.0,6,0.155
MA-SEN,52.51,32.08,0.0,,0.0,0.0,7,0.1161
MD-GOV,58.0,31.0,0.0,,0.0,0.0,1,1.0
ME-02,47.91,48.13,0.0,,0.0,0.0,3,0.2622
ME-GOV,52.17,38.68,3.21,IND,0.0,0.0,3,0.4951
ME-SEN,48.83,44.9,0.0,,0.0,0.0,4,0.6845
MI-04,47.46,45.22,0.0,,0.0,0.0,3,0.0912
MI-07,48.0,46.0,0.0,,0.0,0.0,1,0.4559
MI-10,44.0,42.0,0.0,,0.0,0.0,1,0.0103
MI-GOV,45.32,38.9,2.01,IND,0.0,0.0,19,0.1564
MI-SEN,43.55,44.9,0.0,,0.0,0.0,18,0.3327
MN-01,41.49,47.93,0.0,,0.0,0.0,2,0.0264
