race_code,round,cand_id,name,party,slot,pct,votes,status,exhausted_pct
AK-GOV,1,C-0073,Jonathan Kreiss-Tomkins,DEM,dem,47.4,112075,active,0.0
AK-GOV,1,C-0074,Bernadette Wilson,REP,rep,20.71,48965,active,0.0
AK-GOV,1,C-1061,Dave Bronson,REP,,16.77,39662,active,0.0
AK-GOV,1,C-1068,Treg Taylor,REP,,15.12,35744,eliminated,0.0
AK-GOV,2,C-0073,Jonathan Kreiss-Tomkins,DEM,dem,50.01,118257,active,3.8
AK-GOV,2,C-0074,Bernadette Wilson,REP,rep,29.41,69542,active,3.8
AK-GOV,2,C-1061,Dave Bronson,REP,,16.77,39662,eliminated,3.8
AK-GOV,3,C-0073,Jonathan Kreiss-Tomkins,DEM,dem,52.91,125115,elected,8.02
AK-GOV,3,C-0074,Bernadette Wilson,REP,rep,39.07,92374,active,8.02
AK-SEN,1,C-0001,Mary Peltola,DEM,dem,48.2,113965,active,0.0
AK-SEN,1,C-0002,Dan S. Sullivan,REP,rep,48.14,113820,active,0.0
AK-SEN,1,C-1062,Daniel J. Sullivan Jr.,NPA,,2.5,5911,active,0.0
AK-SEN,1,C-1066,Gerald L. Heikes,REP,,1.16,2749,eliminated,0.0
AK-SEN,2,C-0001,Mary Peltola,DEM,dem,48.27,114126,active,0.53
AK-SEN,2,C-0002,Dan S. Sullivan,REP,rep,48.53,114755,active,0.53
AK-SEN,2,C-1062,Daniel J. Sullivan Jr.,NPA,,2.67,6312,eliminated,0.53
AK-SEN,3,C-0001,Mary Peltola,DEM,dem,48.99,115843,active,1.75
AK-SEN,3,C-0002,Dan S. Sullivan,REP,rep,49.26,116472,elected,1.75
AK-01,1,C-0145,Nick Begich III,REP,rep,49.77,117691,active,0.0
AK-01,1,C-1013,Bill Hill,IND,ind,45.23,106933,active,0.0
AK-01,1,C-1063,Eric Hafner,DEM,,3.8,8985,active,0.0
AK-01,1,C-1071,"James C. ""Jim"" McDermott",LIB,,1.2,2837,eliminated,0.0
AK-01,2,C-0145,Nick Begich III,REP,rep,50.22,118734,active,0.3
AK-01,2,C-1013,Bill Hill,IND,ind,45.59,107786,active,0.3
AK-01,2,C-1063,Eric Hafner,DEM,,3.9,9213,eliminated,0.3
AK-01,3,C-0145,Nick Begich III,REP,rep,50.74,119969,elected,1.28
AK-01,3,C-1013,Bill Hill,IND,ind,47.98,113448,active,1.28
