code,level,state,partisan_lean,gcb,environment,pres_2024_margin,trump_approve,trump_disapprove,trump_net,demo_approval_adj,white_pct,black_pct,hispanic_pct,asian_pct,native_pct,pacific_pct
AK-01,district,AK,-13.18,3.75,-9.43,-13.8,46.2,50.3,-4.1,0.5,61.0,4.2,6.0,7.8,18.9,2.0
AL-01,district,AL,-34.82,3.75,-31.07,-36.34,56.3,40.1,16.2,2.5,67.1,24.7,3.3,1.9,2.9,0.1
AL-02,district,AL,-13.03,3.75,-9.28,-14.46,47.2,49.2,-2.0,2.7,52.3,39.8,3.7,2.2,1.9,0.2
AL-03,district,AL,-45.58,3.75,-41.83,-47.04,60.9,35.6,25.3,2.4,71.7,20.7,3.1,2.1,2.3,0.1
AL-04,district,AL,-65.77,3.75,-62.02,-66.99,69.1,27.3,41.9,1.8,82.7,7.2,6.1,0.8,3.1,0.1
AL-05,district,AL,-29.24,3.75,-25.49,-29.51,53.7,42.7,11.0,2.0,70.1,18.3,5.3,2.5,3.6,0.2
AL-06,district,AL,-34.75,3.75,-31.0,-34.79,56.2,40.3,15.9,2.2,71.7,19.3,4.7,2.2,2.1,0.1
AL-07,district,AL,19.36,3.75,23.11,17.99,33.6,62.9,-29.3,3.0,42.5,50.5,3.6,1.7,1.6,0.1
AR-01,district,AR,-44.65,3.75,-40.9,-46.4,60.5,36.0,24.5,2.4,76.0,16.9,3.1,1.0,2.8,0.2
AR-02,district,AR,-15.42,3.75,-11.67,-16.22,47.9,48.5,-0.7,2.1,69.1,20.3,5.1,2.3,3.0,0.1
AR-03,district,AR,-25.59,3.75,-21.84,-25.81,51.3,45.1,6.1,0.2,71.5,3.6,13.9,4.2,5.6,1.3
AR-04,district,AR,-39.02,3.75,-35.27,-40.73,57.9,38.5,19.3,2.0,69.7,19.8,6.0,1.1,3.3,0.2
AZ-01,district,AZ,-2.22,3.75,1.53,-3.14,41.4,55.0,-13.6,0.3,73.4,4.0,13.8,5.5,3.1,0.3
AZ-02,district,AZ,-13.44,3.75,-9.69,-15.12,45.9,50.6,-4.7,-0.3,59.7,2.7,14.6,2.0,20.7,0.3
AZ-03,district,AZ,43.26,3.75,47.01,40.31,19.2,77.3,-58.1,-5.5,23.0,11.5,56.4,3.7,5.0,0.4
AZ-04,district,AZ,7.35,3.75,11.1,6.76,36.6,59.8,-23.2,-1.1,58.6,6.5,22.8,7.2,4.3,0.6
AZ-05,district,AZ,-19.54,3.75,-15.79,-20.19,48.6,47.8,0.8,0.0,70.0,4.5,15.3,7.2,2.5,0.5
AZ-06,district,AZ,-0.62,3.75,3.13,-0.76,40.2,56.2,-15.9,-0.6,66.6,4.3,21.1,4.3,3.2,0.5
AZ-07,district,AZ,25.31,3.75,29.06,22.39,26.9,69.5,-42.6,-5.2,32.1,4.8,54.1,2.9,5.7,0.4
AZ-08,district,AZ,-16.0,3.75,-12.25,-16.48,47.0,49.5,-2.5,-0.2,68.2,5.3,18.0,5.3,2.9,0.4
AZ-09,district,AZ,-30.21,3.75,-26.46,-31.34,52.5,43.9,8.6,-1.2,61.6,5.2,25.5,3.4,3.7,0.5
CA-01,district,CA,13.97,3.75,17.72,12.63,33.8,62.6,-28.7,-1.0,63.8,2.5,22.6,4.8,5.5,0.7
CA-02,district,CA,26.43,3.75,30.18,25.45,29.2,67.2,-38.0,0.3,72.6,2.5,13.0,5.5,5.8,0.6
CA-03,district,CA,11.4,3.75,15.15,10.55,35.2,61.2,-26.0,-0.5,60.3,6.6,16.3,12.4,3.4,1.1
