race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Tom Begich,Click Bishop,DEM,REP,,REP,-5.41,38.0,62.0,Lean R,-13.18,4.63,-13.8,8.38,True,False,,,0.0,0.0,,,0.0,confirmed,confirmed,52.26,42.66,6,9.600000000000001,0.21,46.54,51.86,1.6,110035,122628,3783,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-21.97,1.7,98.3,Safe R,-29.63,4.63,-30.88,8.92,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,34.1,52.6,1,-18.5,0.15,39.02,60.98,0.0,618645,966918,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-27.01,0.5,99.5,Safe R,-30.5,4.63,-31.57,4.55,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,36.49,63.51,0.0,306343,533114,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,6.93,74.7,25.3,Lean D,-4.25,4.63,-5.59,12.52,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,42.53,36.14,11,6.390000000000001,0.257,53.46,46.54,0.0,1268462,1104061,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,29.72,99.8,0.2,Safe D,23.32,4.63,20.82,8.91,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,64.86,35.14,0.0,7198627,3899917,0,0,11098543
CO-GOV,governor,CO,GOV,Michael Bennet,Barbara Kirkmeyer,DEM,REP,,DEM,20.46,97.5,2.5,Safe D,11.58,4.63,11.29,9.17,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.1,37.8,1,12.300000000000004,0.15,60.23,39.77,0.0,1346123,888799,0,0,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,17.62,95.5,4.5,Safe D,15.88,4.63,14.76,2.86,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.0,42.0,1,8.0,0.15,58.81,41.19,0.0,724011,507128,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-4.83,32.1,67.9,Lean R,-10.56,4.63,-13.22,8.39,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,39.22,42.62,16,-3.3999999999999986,0.28,47.58,52.42,0.0,3642414,4012412,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Burt Jones,DEM,REP,,REP,-2.01,42.4,57.6,Toss-up,-1.71,4.63,-2.21,0.2,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,48.0,43.33,1,4.670000000000002,0.15,49.0,51.0,0.0,1800639,1874407,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,31.09,99.9,0.1,Safe D,25.73,4.63,23.56,7.53,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,65.55,34.45,0.0,237079,124612,0,0,361691
IA-GOV,governor,IA,GOV,Rob Sand,Zach Lahn,DEM,REP,,REP,3.17,62.0,38.0,Lean D,-12.1,4.63,-13.45,16.62,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.37,40.41,3,9.96,0.15,51.59,48.41,0.0,600688,563766,0,0,1164454
ID-GOV,governor,ID,GOV,Terri Pickens,Brad Little,DEM,REP,REP,REP,-44.99,0.0,100.0,Safe R,-36.28,4.63,-37.52,-7.47,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,27.5,72.5,0.0,174248,459295,0,0,633543
IL-GOV,governor,IL,GOV,JB Pritzker,Darren Bailey,DEM,REP,DEM,DEM,17.95,95.8,4.2,Safe D,12.91,4.63,11.14,6.81,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,54.3,34.0,1,20.299999999999997,0.15,58.97,41.03,0.0,2332251,1622486,0,0,3954737
KS-GOV,governor,KS,GOV,Ethan Corson,Vicki Schmidt,DEM,REP,,DEM,-14.34,8.4,91.6,Likely R,-16.26,4.63,-16.41,2.07,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,42.83,57.17,0.0,398018,531296,0,0,929314
MA-GOV,governor,MA,GOV,Maura Healey,Mike Minogue,DEM,REP,DEM,DEM,31.09,99.9,0.1,Safe D,27.69,4.63,25.91,5.18,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,55.17,30.34,6,24.830000000000002,0.21,65.55,34.45,0.0,1593809,837759,0,0,2431568
MD-GOV,governor,MD,GOV,Wes Moore,Dan Cox,DEM,REP,DEM,DEM,35.6,100.0,0.0,Safe D,30.41,4.63,29.51,6.09,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,49.33,29.04,2,20.29,0.15,67.8,32.2,0.0,1442031,684802,0,0,2126834
ME-GOV,governor,ME,GOV,Shenna Bellows,Jonathan Bush,DEM,REP,,DEM,10.17,83.6,16.4,Likely D,7.49,4.63,7.09,3.09,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,55.09,44.91,0.0,320588,261375,0,0,581962
MI-GOV,governor,MI,GOV,Jocelyn Benson,John James,DEM,REP,,DEM,11.75,87.1,12.9,Likely D,-0.36,4.63,-1.44,13.19,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,38.36,29.82,15,8.54,0.276,55.88,44.12,0.0,2215071,1749191,0,0,3964262
MN-GOV,governor,MN,GOV,Amy Klobuchar,Lisa Demuth,DEM,REP,,DEM,9.32,81.5,18.5,Likely D,4.94,4.63,4.34,4.97,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,51.55,34.74,3,16.809999999999995,0.15,54.66,45.34,0.0,1244993,1032751,0,0,2277744
NE-GOV,governor,NE,GOV,Lynne Walz,Jim Pillen,DEM,REP,REP,REP,-18.03,4.2,95.8,Safe R,-20.75,4.63,-20.84,2.81,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,33.0,38.0,1,-5.0,0.15,40.99,59.01,0.0,271745,391266,0,0,663011
