race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,rcv_field,rcv_winner_name,rcv_exhausted,ind_name,ind_party,ind_party_label,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_coh,rep_coh,ind_coh,dem_outside,rep_outside,dem_spent,rep_spent,ind_spent,dem_small,rep_small,ind_small,dem_pac,rep_pac,ind_pac,dem_self,rep_self,ind_self,dem_debt,rep_debt,ind_debt,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
IA-GOV,governor,IA,GOV,Rob Sand,Zach Lahn,DEM,REP,,REP,7.0,76.4,23.6,Likely D,-12.13,5.95,6.03,2.06,10.86,-0.71,-13.45,20.44,False,False,,0,,0.0,,,,0.0,0.0,,,0.0,confirmed,confirmed,50.12,41.61,10,8.56,0.381,19860206,1218702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,46.5,0.0,622955,541499,0,0,1164454
ID-GOV,governor,ID,GOV,Terri Pickens,Brad Little,DEM,REP,REP,REP,-40.64,0.0,100.0,Safe R,-36.27,5.95,-45.0,-1.82,-12.37,-0.49,-37.52,-3.12,False,False,LIB,0,,0.0,Paul Sand,LIB,Libertarian,5.0,0.0,,,0.0,confirmed,confirmed,29.0,50.5,1,-24.5,0.164,136953,2057743,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.19,66.81,0.0,178626,423240,0,31677,633543
IL-GOV,governor,IL,GOV,JB Pritzker,Darren Bailey,DEM,REP,DEM,DEM,20.48,97.9,2.1,Safe D,12.91,5.95,20.68,1.84,-0.02,0.0,11.14,9.34,False,False,IND,0,,0.0,Collin Corbett,IND,Independent,2.88,0.0,,,0.0,confirmed,confirmed,54.3,34.0,1,20.3,0.15,25619035,2166962,60603,3141018,127990,379163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.5,38.62,0.0,2313649,1527192,0,113896,3954737
KS-GOV,governor,KS,GOV,Cindy Holscher,Ty Masterson,DEM,REP,,DEM,-8.5,19.2,80.8,Likely R,-16.42,5.95,-10.9,0.0,0.0,-0.43,-16.41,7.91,False,False,,0,,0.0,,,,0.0,0.0,,,0.0,confirmed,confirmed,45.38,48.02,2,-3.21,0.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.75,54.25,0.0,425161,504153,0,0,929314
MA-GOV,governor,MA,GOV,Maura Healey,Mike Minogue,DEM,REP,DEM,DEM,30.93,99.9,0.1,Safe D,27.8,5.95,34.53,0.0,1.13,-0.34,25.91,5.02,False,False,IND,0,,0.0,Andrea James,IND,Independent,3.3,0.0,,,0.0,confirmed,confirmed,53.37,31.99,8,21.37,0.261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.3,33.4,0.0,1539285,812041,0,80242,2431568
MD-GOV,governor,MD,GOV,Wes Moore,Dan Cox,DEM,REP,DEM,DEM,36.08,100.0,0.0,Safe D,30.37,5.95,39.67,0.0,3.43,-0.08,29.51,6.57,False,False,GRN,0,,0.0,Andy Ellis,GRN,Green,3.47,0.0,,,0.0,confirmed,confirmed,58.0,31.0,1,24.0,0.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.68,30.85,0.0,1396903,656130,0,73801,2126834
ME-GOV,governor,ME,GOV,Hannah Pingree,Robert Charles,DEM,REP,,DEM,11.89,88.8,11.2,Likely D,7.36,5.95,12.34,0.0,0.0,-0.97,7.09,4.81,False,False,IND,0,,0.0,Rick Bennett,IND,Independent,2.84,0.0,,,0.0,confirmed,confirmed,48.55,37.15,6,11.4,0.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.36,42.8,0.0,316346,249089,0,16528,581962
MI-GOV,governor,MI,GOV,Jocelyn Benson,John James,DEM,REP,,DEM,12.66,90.1,9.9,Likely D,-0.43,5.95,15.08,0.21,9.97,-0.63,-1.44,14.1,False,False,LIB,0,,0.0,Anthony Hudson,LIB,Libertarian,0.66,0.0,,,0.0,confirmed,confirmed,49.38,41.78,28,7.71,0.346,5958887,4492470,13682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.96,43.38,0.0,2218301,1719797,0,26164,3964262
MN-GOV,governor,MN,GOV,Amy Klobuchar,Lisa Demuth,DEM,REP,,DEM,10.51,85.9,14.1,Likely D,4.83,5.95,11.51,1.57,-0.12,-0.72,4.34,6.17,False,False,GRN,0,,0.0,Steven Young and Jane Kirby,GRN,Green,2.35,0.0,,,0.0,confirmed,confirmed,48.56,38.79,7,10.34,0.352,9312380,1102119,0,4480911,457944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.96,43.69,0.0,1229011,995206,0,53527,2277744
NE-GOV,governor,NE,GOV,Lynne Walz,Jim Pillen,DEM,REP,REP,REP,-14.57,7.0,93.0,Likely R,-20.91,5.95,-18.69,0.0,-3.25,-0.48,-20.84,6.27,False,False,OTH,0,,0.0,Brett Lindstrom,OTH,America First,2.4,0.0,,,0.0,confirmed,confirmed,34.77,43.9,4,-9.47,0.362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.69,55.91,0.0,276394,370705,0,15912,663011
NH-GOV,governor,NH,GOV,Cinde Warmington,Kelly Ayotte,DEM,REP,REP,REP,-11.7,11.6,88.4,Likely R,3.63,5.95,-12.46,-1.39,-19.79,-0.86,2.82,-14.52,False,False,LIB,0,,0.0,Stephen Villee,LIB,Libertarian,0.5,0.0,,,0.0,confirmed,confirmed,38.08,48.59,7,-10.25,0.301,908163,6079166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.93,55.57,0.0,254066,321375,0,2892,578332
NM-GOV,governor,NM,GOV,Deb Haaland,Gregg Hull,DEM,REP,,DEM,10.17,85.1,14.9,Likely D,7.41,5.95,10.04,1.95,-6.39,1.12,6.14,4.03,False,False,,0,,0.0,,,,0.0,0.0,,,0.0,confirmed,confirmed,45.55,35.12,3,10.53,0.264,13910580,987856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.09,44.91,0.0,356063,290315,0,0,646377
NV-GOV,governor,NV,GOV,Aaron Ford,Joe Lombardo,DEM,REP,REP,REP,4.38,67.6,32.4,Lean D,-1.57,5.95,6.1,0.47,0.85,0.4,-3.15,7.54,False,False,IND,0,,0.0,Danielle Ford,IND,Independent,1.84,0.0,,,0.0,confirmed,confirmed,43.95,43.64,11,0.55,0.292,4285307,2275075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.23,46.93,0.0,532331,487617,0,19119,1039067
NY-GOV,governor,NY,GOV,Kathy Hochul,Bruce Blakeman,DEM,REP,DEM,DEM,13.6,91.6,8.4,Likely D,15.56,5.95,14.3,0.16,-7.5,0.13,12.68,0.91,False,False,,0,,0.0,,,,0.0,0.0,,,0.0,confirmed,confirmed,49.47,37.98,18,11.92,0.293,16594119,13445025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.8,43.2,0.0,3302054,2511444,0,0,5813499
OH-GOV,governor,OH,GOV,Amy Acton,Vivek Ramaswamy,DEM,REP,,REP,-3.23,36.6,63.4,Lean R,-10.38,5.95,-5.6,-0.48,0.0,-0.69,-11.31,8.08,False,False,LIB,0,,0.0,Don Kissick,LIB,Libertarian,1.93,0.0,,,0.0,confirmed,confirmed,47.83,46.79,20,0.98,0.302,15928993,30306297,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.45,50.62,0.0,1914929,2042698,0,77885,4035512
OK-GOV,governor,OK,GOV,Cyndi Munson,Mike Mazzei,DEM,REP,,REP,-29.74,0.2,99.8,Safe R,-34.86,5.95,-29.61,0.0,0.0,-0.7,-34.95,5.21,False,False,IND,0,,0.0,Jerry Griffin,IND,Independent,2.62,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.21,63.17,0.0,375004,692497,0,28721,1096222
OR-GOV,governor,OR,GOV,Tina Kotek,Christine Drazan,DEM,REP,DEM,DEM,4.35,67.5,32.5,Lean D,15.18,5.95,7.38,0.0,-13.29,-0.46,14.89,-10.54,False,False,GRN,0,,0.0,Brett Smith,GRN,Green,3.46,0.0,,,0.0,confirmed,confirmed,43.16,45.29,4,-1.74,0.237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.37,46.17,0.0,791731,725660,0,54383,1571774
PA-GOV,governor,PA,GOV,Josh Shapiro,Stacy Garrity,DEM,REP,DEM,DEM,18.12,96.5,3.5,Safe D,-0.99,5.95,18.0,1.95,11.61,-0.53,-1.75,19.87,False,False,LIB,0,,0.0,Kenneth V. Krawchuk,LIB,Libertarian,0.5,0.0,,,0.0,confirmed,confirmed,54.09,36.01,14,18.07,0.309,34960533,2545436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.76,40.74,0.0,2893331,2005668,0,24618,4923617
RI-GOV,governor,RI,GOV,Helena Foulkes,Aaron Guckian,DEM,REP,,DEM,21.17,98.3,1.7,Safe D,15.75,5.95,21.5,0.0,0.0,-0.2,14.16,7.01,False,False,IND,0,,0.0,Ken Block,IND,Independent,18.95,0.0,,,0.0,confirmed,presumptive,39.66,15.05,2,24.61,0.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.1,31.95,0.0,176457,114794,0,68096,359348
