race_code,round,cand_id,name,party,slot,pct,votes,status,exhausted_pct
AK-GOV,1,C-0073,Jonathan Kreiss-Tomkins,DEM,dem,45.77,108219,active,0.0
AK-GOV,1,C-0074,Bernadette Wilson,REP,rep,21.35,50483,active,0.0
AK-GOV,1,C-1061,Dave Bronson,REP,,17.29,40891,active,0.0
AK-GOV,1,C-1068,Treg Taylor,REP,,15.59,36853,eliminated,0.0
AK-GOV,2,C-0073,Jonathan Kreiss-Tomkins,DEM,dem,47.59,112533,active,4.53
AK-GOV,2,C-0074,Bernadette Wilson,REP,rep,26.45,62546,active,4.53
AK-GOV,2,C-1061,Dave Bronson,REP,,21.43,50662,eliminated,4.53
AK-GOV,3,C-0073,Jonathan Kreiss-Tomkins,DEM,dem,50.1,118464,elected,10.75
AK-GOV,3,C-0074,Bernadette Wilson,REP,rep,39.15,92560,active,10.75
AK-SEN,1,C-0001,Mary Peltola,DEM,dem,47.93,113317,active,0.0
AK-SEN,1,C-0002,Dan S. Sullivan,REP,rep,48.41,114454,active,0.0
AK-SEN,1,C-1062,Daniel J. Sullivan Jr.,NPA,,2.5,5911,active,0.0
AK-SEN,1,C-1066,Gerald L. Heikes,REP,,1.17,2765,eliminated,0.0
AK-SEN,2,C-0001,Mary Peltola,DEM,dem,47.99,113478,active,0.53
AK-SEN,2,C-0002,Dan S. Sullivan,REP,rep,48.8,115393,active,0.53
AK-SEN,2,C-1062,Daniel J. Sullivan Jr.,NPA,,2.67,6314,eliminated,0.53
AK-SEN,3,C-0001,Mary Peltola,DEM,dem,48.72,115195,active,1.75
AK-SEN,3,C-0002,Dan S. Sullivan,REP,rep,49.53,117111,elected,1.75
AK-01,1,C-0145,Nick Begich III,REP,rep,49.66,117417,active,0.0
AK-01,1,C-1013,Bill Hill,IND,ind,45.34,107207,active,0.0
AK-01,1,C-1063,Eric Hafner,DEM,,3.8,8985,active,0.0
AK-01,1,C-1071,"James C. ""Jim"" McDermott",LIB,,1.2,2837,eliminated,0.0
AK-01,2,C-0145,Nick Begich III,REP,rep,50.13,118532,active,0.24
AK-01,2,C-1013,Bill Hill,IND,ind,45.73,108119,active,0.24
AK-01,2,C-1063,Eric Hafner,DEM,,3.9,9228,eliminated,0.24
AK-01,3,C-0145,Nick Begich III,REP,rep,50.69,119854,elected,1.02
AK-01,3,C-1013,Bill Hill,IND,ind,48.29,114179,active,1.02
