race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Tom Begich,Click Bishop,DEM,REP,,REP,-8.68,32.0,68.0,Lean R,-13.18,3.67,-13.8,5.11,True,False,,,0.0,0.0,,,0.0,confirmed,confirmed,44.93,53.47,1.6,106232,126431,3783,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-22.59,1.5,98.5,Safe R,-29.63,3.67,-30.88,8.29,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,38.71,61.29,0.0,613718,971845,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-26.95,0.5,99.5,Safe R,-30.5,3.67,-31.57,4.61,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,36.52,63.48,0.0,306594,532862,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,5.43,69.8,30.2,Lean D,-4.25,3.67,-5.59,11.01,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,52.71,47.29,0.0,1250623,1121900,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,26.99,99.5,0.5,Safe D,23.32,3.67,20.82,6.18,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,63.5,36.5,0.0,7047132,4051412,0,0,11098543
CO-GOV,governor,CO,GOV,Michael Bennet,Barbara Kirkmeyer,DEM,REP,,DEM,20.95,97.8,2.2,Safe D,11.58,3.67,11.29,9.66,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,60.48,39.52,0.0,1351603,883318,0,0,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,18.52,96.2,3.8,Safe D,15.88,3.67,14.76,3.76,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,59.26,40.74,0.0,729595,501545,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-7.36,24.1,75.9,Likely R,-10.56,3.67,-13.22,5.86,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,46.32,53.68,0.0,3545677,4109149,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Burt Jones,DEM,REP,,REP,-3.9,35.5,64.5,Lean R,-1.71,3.67,-2.21,-1.69,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,48.05,51.95,0.0,1765941,1909105,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,31.06,99.9,0.1,Safe D,25.73,3.67,23.56,7.5,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,65.53,34.47,0.0,237025,124666,0,0,361691
IA-GOV,governor,IA,GOV,Rob Sand,Zach Lahn,DEM,REP,,REP,2.43,59.2,40.8,Toss-up,-12.1,3.67,-13.45,15.88,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,51.22,48.78,0.0,596390,568064,0,0,1164454
ID-GOV,governor,ID,GOV,Terri Pickens,Brad Little,DEM,REP,REP,REP,-44.97,0.0,100.0,Safe R,-36.28,3.67,-37.52,-7.45,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,27.51,72.49,0.0,174311,459231,0,0,633543
IL-GOV,governor,IL,GOV,JB Pritzker,Darren Bailey,DEM,REP,DEM,DEM,16.56,94.4,5.6,Likely D,12.91,3.67,11.14,5.43,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,58.28,41.72,0.0,2304861,1649876,0,0,3954737
KS-GOV,governor,KS,GOV,Ethan Corson,Vicki Schmidt,DEM,REP,,DEM,-14.44,8.3,91.7,Likely R,-16.26,3.67,-16.41,1.97,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,42.78,57.22,0.0,397553,531761,0,0,929314
MA-GOV,governor,MA,GOV,Maura Healey,Mike Minogue,DEM,REP,DEM,DEM,32.49,99.9,0.1,Safe D,27.69,3.67,25.91,6.58,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,66.24,33.76,0.0,1610768,820800,0,0,2431568
MD-GOV,governor,MD,GOV,Wes Moore,Dan Cox,DEM,REP,DEM,DEM,37.51,100.0,0.0,Safe D,30.41,3.67,29.51,8.0,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,68.75,31.25,0.0,1462262,664572,0,0,2126834
ME-GOV,governor,ME,GOV,Shenna Bellows,Jonathan Bush,DEM,REP,,DEM,11.16,85.7,14.3,Likely D,7.49,3.67,7.09,4.08,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,55.58,44.42,0.0,323469,258494,0,0,581962
MI-GOV,governor,MI,GOV,Jocelyn Benson,John James,DEM,REP,,DEM,13.28,89.8,10.2,Likely D,-0.36,3.67,-1.44,14.72,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,56.64,43.36,0.0,2245326,1718935,0,0,3964262
MN-GOV,governor,MN,GOV,Amy Klobuchar,Lisa Demuth,DEM,REP,,DEM,8.49,79.2,20.8,Likely D,4.94,3.67,4.34,4.14,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,54.24,45.76,0.0,1235517,1042227,0,0,2277744
NE-GOV,governor,NE,GOV,Lynne Walz,Jim Pillen,DEM,REP,REP,REP,-20.33,2.6,97.4,Safe R,-20.75,3.67,-20.84,0.51,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,39.84,60.16,0.0,264124,398887,0,0,663011
NH-GOV,governor,NH,GOV,Cinde Warmington,Kelly Ayotte,DEM,REP,REP,REP,-12.46,11.6,88.4,Likely R,3.66,3.67,2.82,-15.28,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,43.77,56.23,0.0,253135,325198,0,0,578332
NM-GOV,governor,NM,GOV,Deb Haaland,Gregg Hull,DEM,REP,,DEM,4.74,67.5,32.5,Lean D,7.45,3.67,6.14,-1.41,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,52.37,47.63,0.0,338498,307879,0,0,646377
NV-GOV,governor,NV,GOV,Aaron Ford,Joe Lombardo,DEM,REP,REP,REP,2.97,61.2,38.8,Lean D,-1.54,3.67,-3.15,6.12,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,51.49,48.51,0.0,534975,504093,0,0,1039067
