code,level,state,partisan_lean,gcb,environment,demo_env_adj,pres_2024_margin,trump_approve,trump_disapprove,trump_net,demo_approval_adj,white_pct,black_pct,hispanic_pct,asian_pct,native_pct,pacific_pct
AK-01,district,AK,-13.18,3.11,-11.13,-1.06,-13.8,47.5,49.0,-1.5,0.5,61.0,4.2,6.0,7.8,18.9,2.0
AL-01,district,AL,-34.82,3.11,-32.27,-0.56,-36.34,57.7,38.9,18.8,2.5,67.1,24.7,3.3,1.9,2.9,0.1
AL-02,district,AL,-13.03,3.11,-10.2,-0.28,-14.46,48.5,48.0,0.5,2.7,52.3,39.8,3.7,2.2,1.9,0.2
AL-03,district,AL,-45.58,3.11,-43.08,-0.61,-47.04,62.2,34.3,27.9,2.4,71.7,20.7,3.1,2.1,2.3,0.1
AL-04,district,AL,-65.77,3.11,-63.33,-0.67,-66.99,70.5,26.1,44.4,1.8,82.7,7.2,6.1,0.8,3.1,0.1
AL-05,district,AL,-29.24,3.11,-26.69,-0.56,-29.51,55.1,41.5,13.6,2.0,70.1,18.3,5.3,2.5,3.6,0.2
AL-06,district,AL,-34.75,3.11,-32.19,-0.54,-34.79,57.5,39.1,18.4,2.2,71.7,19.3,4.7,2.2,2.1,0.1
AL-07,district,AL,19.36,3.11,22.35,-0.12,17.99,34.9,61.7,-26.7,3.0,42.5,50.5,3.6,1.7,1.6,0.1
AR-01,district,AR,-44.65,3.11,-42.22,-0.68,-46.4,61.8,34.7,27.1,2.4,76.0,16.9,3.1,1.0,2.8,0.2
AR-02,district,AR,-15.42,3.11,-12.83,-0.52,-16.22,49.2,47.3,1.9,2.1,69.1,20.3,5.1,2.3,3.0,0.1
AR-03,district,AR,-25.59,3.11,-22.82,-0.34,-25.81,52.6,43.9,8.7,0.2,71.5,3.6,13.9,4.2,5.6,1.3
AR-04,district,AR,-39.02,3.11,-36.4,-0.49,-40.73,59.2,37.3,21.9,2.0,69.7,19.8,6.0,1.1,3.3,0.2
AZ-01,district,AZ,-2.22,3.11,0.59,-0.3,-3.14,42.7,53.8,-11.1,0.3,73.4,4.0,13.8,5.5,3.1,0.3
AZ-02,district,AZ,-13.44,3.11,-11.0,-0.67,-15.12,47.2,49.3,-2.1,-0.3,59.7,2.7,14.6,2.0,20.7,0.3
AZ-03,district,AZ,43.26,3.11,48.47,2.1,40.31,20.5,76.0,-55.5,-5.5,23.0,11.5,56.4,3.7,5.0,0.4
AZ-04,district,AZ,7.35,3.11,10.67,0.21,6.76,38.0,58.6,-20.6,-1.1,58.6,6.5,22.8,7.2,4.3,0.6
AZ-05,district,AZ,-19.54,3.11,-16.63,-0.2,-20.19,49.9,46.6,3.3,0.0,70.0,4.5,15.3,7.2,2.5,0.5
AZ-06,district,AZ,-0.62,3.11,2.6,0.11,-0.76,41.6,55.0,-13.4,-0.6,66.6,4.3,21.1,4.3,3.2,0.5
AZ-07,district,AZ,25.31,3.11,30.28,1.86,22.39,28.3,68.3,-40.0,-5.2,32.1,4.8,54.1,2.9,5.7,0.4
AZ-08,district,AZ,-16.0,3.11,-12.94,-0.05,-16.48,48.3,48.2,0.1,-0.2,68.2,5.3,18.0,5.3,2.9,0.4
AZ-09,district,AZ,-30.21,3.11,-26.75,0.35,-31.34,53.9,42.7,11.2,-1.2,61.6,5.2,25.5,3.4,3.7,0.5
CA-01,district,CA,13.97,3.11,17.19,0.11,12.63,35.2,61.4,-26.2,-1.0,63.8,2.5,22.6,4.8,5.5,0.7
CA-02,district,CA,26.43,3.11,29.11,-0.42,25.45,30.5,66.0,-35.5,0.3,72.6,2.5,13.0,5.5,5.8,0.6
CA-03,district,CA,11.4,3.11,14.38,-0.13,10.55,36.5,60.0,-23.5,-0.5,60.3,6.6,16.3,12.4,3.4,1.1
CA-04,district,CA,16.77,3.11,20.27,0.39,14.96,33.5,63.1,-29.6,-2.0,53.7,3.1,27.0,11.4,4.0,0.7
CA-05,district,CA,-19.75,3.11,-16.36,0.28,-21.2,49.3,47.3,2.0,-1.5,58.5,3.2,25.1,7.6,4.7,0.9
CA-06,district,CA,9.83,3.11,13.0,0.06,8.67,36.9,59.6,-22.7,-1.1,53.3,8.2,19.4,14.1,3.6,1.4
CA-07,district,CA,15.12,3.11,18.36,0.13,13.26,34.4,62.2,-27.8,-1.7,42.8,9.9,20.2,21.9,3.3,1.9
CA-08,district,CA,37.61,3.11,41.31,0.58,35.19,24.4,72.1,-47.7,-2.4,32.4,15.1,27.1,20.5,3.4,1.4
CA-09,district,CA,15.48,3.11,19.46,0.87,11.8,33.4,63.2,-29.8,-3.4,28.0,12.6,33.1,21.2,3.6,1.5
CA-10,district,CA,36.05,3.11,39.08,-0.07,34.75,25.6,70.9,-45.3,-1.4,52.0,5.0,17.7,22.1,2.3,0.9
CA-11,district,CA,72.6,3.11,75.4,-0.31,70.62,10.0,86.5,-76.5,-1.5,44.1,6.5,13.0,33.8,1.9,0.7
CA-12,district,CA,79.37,3.11,82.74,0.26,77.64,7.1,89.5,-82.4,-1.7,34.2,17.5,20.6,23.9,3.0,0.9
CA-13,district,CA,4.96,3.11,10.15,2.08,0.51,36.5,60.1,-23.7,-6.2,23.3,4.6,57.9,8.5,4.9,0.8
CA-14,district,CA,39.07,3.11,42.3,0.12,36.2,23.4,73.2,-49.8,-3.3,26.4,5.8,21.2,42.5,2.4,1.8
CA-15,district,CA,52.23,3.11,55.59,0.26,49.64,17.7,78.9,-61.2,-3.5,29.6,3.6,24.2,38.8,2.1,1.7
CA-16,district,CA,51.53,3.11,54.54,-0.1,49.91,18.7,77.9,-59.2,-2.1,44.7,2.7,17.9,32.0,2.0,0.7
CA-17,district,CA,43.61,3.11,46.47,-0.25,40.75,21.4,75.2,-53.8,-3.5,23.0,2.8,15.6,56.2,1.7,0.8
CA-18,district,CA,33.3,3.11,38.49,2.08,29.37,24.2,72.3,-48.1,-6.5,21.0,2.8,58.3,12.6,4.6,0.7
CA-19,district,CA,37.22,3.11,40.43,0.1,35.64,24.9,71.7,-46.8,-1.9,50.8,3.2,21.6,20.6,3.0,0.8
CA-20,district,CA,-31.84,3.11,-27.99,0.73,-32.98,53.9,42.7,11.2,-2.6,50.4,4.1,33.2,7.5,4.4,0.5
CA-21,district,CA,9.94,3.11,15.13,2.08,6.17,34.3,62.2,-27.9,-6.2,21.9,5.6,57.5,10.5,4.2,0.4
CA-22,district,CA,2.96,3.11,8.72,2.65,-1.86,36.8,59.8,-23.0,-7.2,16.5,5.9,67.5,5.9,3.9,0.3
CA-23,district,CA,-18.3,3.11,-14.12,1.07,-19.9,47.9,48.6,-0.7,-3.0,42.3,9.5,37.7,5.5,4.3,0.7
CA-24,district,CA,26.79,3.11,30.63,0.73,25.76,29.0,67.6,-38.6,-2.6,52.8,2.5,33.2,7.2,3.7,0.5
CA-25,district,CA,8.76,3.11,13.79,1.92,5.97,35.2,61.3,-26.1,-5.3,32.3,4.6,54.6,4.4,3.8,0.4
CA-26,district,CA,17.54,3.11,21.6,0.95,15.73,32.5,64.0,-31.5,-3.3,45.5,3.2,37.1,10.5,3.3,0.5
CA-27,district,CA,12.56,3.11,16.96,1.29,10.06,34.4,62.1,-27.7,-3.8,33.3,11.0,41.1,10.9,3.3,0.5
CA-28,district,CA,28.27,3.11,31.68,0.3,26.17,27.8,68.8,-40.9,-3.6,27.5,4.9,25.1,39.9,2.3,0.4
CA-29,district,CA,39.51,3.11,44.71,2.09,34.71,21.8,74.7,-52.9,-6.1,24.2,5.1,57.5,9.3,3.5,0.3
CA-30,district,CA,43.42,3.11,46.68,0.15,41.41,22.5,74.1,-51.6,-1.4,56.3,4.8,21.7,14.8,2.1,0.3
CA-31,district,CA,16.15,3.11,20.98,1.72,12.61,31.8,64.8,-33.0,-6.0,20.1,4.3,51.2,20.5,3.4,0.4
CA-32,district,CA,28.34,3.11,31.66,0.2,25.76,28.8,67.7,-38.9,-1.5,55.1,5.0,22.5,14.9,2.1,0.4
CA-33,district,CA,14.39,3.11,19.55,2.05,10.12,32.7,63.8,-31.1,-5.6,20.0,11.7,54.9,9.1,3.7,0.6
CA-34,district,CA,57.12,3.11,62.37,2.14,53.04,13.9,82.7,-68.8,-7.0,11.8,5.4,58.8,19.4,4.2,0.3
CA-35,district,CA,12.24,3.11,17.24,1.89,8.0,33.5,63.0,-29.5,-5.9,20.2,7.3,53.3,15.0,3.6,0.6
CA-36,district,CA,41.99,3.11,44.91,-0.19,40.42,23.3,73.2,-49.9,-0.9,57.1,4.8,15.3,20.4,1.8,0.5
CA-37,district,CA,66.13,3.11,71.14,1.9,62.31,11.4,85.2,-73.8,-4.3,14.0,25.5,48.4,8.2,3.6,0.3
CA-38,district,CA,17.13,3.11,22.11,1.87,12.8,30.9,65.7,-34.7,-6.9,14.1,1.7,54.7,26.0,3.2,0.3
CA-39,district,CA,14.09,3.11,19.31,2.11,9.85,32.8,63.8,-31.0,-5.7,21.6,10.0,56.4,7.6,3.7,0.6
CA-40,district,CA,-11.7,3.11,-8.07,0.52,-12.6,45.5,51.1,-5.6,-2.3,49.6,5.3,28.4,13.1,2.8,0.8
CA-41,district,CA,17.83,3.11,22.92,1.98,14.61,31.0,65.5,-34.5,-6.0,23.1,4.7,55.6,12.2,3.7,0.6
CA-42,district,CA,15.25,3.11,18.87,0.51,13.57,34.0,62.5,-28.5,-2.2,47.5,6.7,27.9,14.1,2.9,0.9
