race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Tom Begich,Click Bishop,DEM,REP,,REP,-8.92,33.2,66.8,Lean R,-13.18,3.18,-13.8,4.88,True,False,,,0.0,0.0,,,0.0,confirmed,confirmed,44.81,53.59,1.6,105958,126704,3783,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-23.08,1.4,98.6,Safe R,-29.63,3.18,-30.88,7.8,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,38.46,61.54,0.0,609833,975730,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-27.44,0.4,99.6,Safe R,-30.5,3.18,-31.57,4.12,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,36.28,63.72,0.0,304538,534919,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,4.94,68.1,31.9,Lean D,-4.25,3.18,-5.59,10.52,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,52.47,47.53,0.0,1244811,1127713,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,26.5,99.4,0.6,Safe D,23.32,3.18,20.82,5.69,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,63.25,36.75,0.0,7019940,4078603,0,0,11098543
CO-GOV,governor,CO,GOV,Michael Bennet,Barbara Kirkmeyer,DEM,REP,,DEM,20.46,97.5,2.5,Safe D,11.58,3.18,11.29,9.17,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,60.23,39.77,0.0,1346128,888794,0,0,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,18.03,95.7,4.3,Safe D,15.88,3.18,14.76,3.27,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,59.02,40.98,0.0,726579,504561,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-7.85,22.7,77.3,Likely R,-10.56,3.18,-13.22,5.37,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,46.07,53.93,0.0,3526923,4127904,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Burt Jones,DEM,REP,,REP,-4.39,33.8,66.2,Lean R,-1.71,3.18,-2.21,-2.18,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,47.81,52.19,0.0,1756937,1918109,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,30.57,99.8,0.2,Safe D,25.73,3.18,23.56,7.01,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,65.29,34.71,0.0,236139,125552,0,0,361691
IA-GOV,governor,IA,GOV,Rob Sand,Zach Lahn,DEM,REP,,REP,1.94,57.4,42.6,Toss-up,-12.1,3.18,-13.45,15.39,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.97,49.03,0.0,593537,570917,0,0,1164454
ID-GOV,governor,ID,GOV,Terri Pickens,Brad Little,DEM,REP,REP,REP,-45.46,0.0,100.0,Safe R,-36.28,3.18,-37.52,-7.94,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,27.27,72.73,0.0,172759,460783,0,0,633543
IL-GOV,governor,IL,GOV,JB Pritzker,Darren Bailey,DEM,REP,DEM,DEM,16.07,93.8,6.2,Likely D,12.91,3.18,11.14,4.94,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,58.04,41.96,0.0,2295171,1659565,0,0,3954737
KS-GOV,governor,KS,GOV,Ethan Corson,Vicki Schmidt,DEM,REP,,DEM,-14.93,7.7,92.3,Likely R,-16.26,3.18,-16.41,1.48,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,42.53,57.47,0.0,395276,534038,0,0,929314
