chamber,avg_dem_seats,avg_gop_seats,projected_dem_seats,dem_control_pct,needed,races
Senate,49.2,50.8,48,40.9,51,35
House,227.6,207.4,223,61.1,218,435
Governors,22.9,27.1,25,34.7,26,36
