chamber,avg_dem_seats,avg_gop_seats,projected_dem_seats,dem_control_pct,needed,races
Senate,49.0,51.0,48,39.8,51,35
House,228.2,206.8,224,58.1,218,435
Governors,23.0,27.0,24,36.6,26,36
