code,level,state,partisan_lean,gcb,environment,demo_env_adj,pres_2024_margin,trump_approve,trump_disapprove,trump_net,demo_approval_adj,white_pct,black_pct,hispanic_pct,asian_pct,native_pct,pacific_pct
AK-01,district,AK,-13.18,3.59,-9.33,0.27,-13.8,46.6,49.9,-3.3,0.5,61.0,4.2,6.0,7.8,18.9,2.0
AL-01,district,AL,-34.82,3.59,-30.04,1.2,-36.34,56.8,39.8,17.0,2.5,67.1,24.7,3.3,1.9,2.9,0.1
AL-02,district,AL,-13.03,3.59,-8.04,1.4,-14.46,47.6,48.9,-1.3,2.7,52.3,39.8,3.7,2.2,1.9,0.2
AL-03,district,AL,-45.58,3.59,-40.84,1.15,-47.04,61.3,35.2,26.1,2.4,71.7,20.7,3.1,2.1,2.3,0.1
AL-04,district,AL,-65.77,3.59,-61.4,0.78,-66.99,69.6,26.9,42.6,1.8,82.7,7.2,6.1,0.8,3.1,0.1
AL-05,district,AL,-29.24,3.59,-24.71,0.94,-29.51,54.2,42.4,11.8,2.0,70.1,18.3,5.3,2.5,3.6,0.2
AL-06,district,AL,-34.75,3.59,-30.14,1.03,-34.79,56.6,39.9,16.7,2.2,71.7,19.3,4.7,2.2,2.1,0.1
AL-07,district,AL,19.36,3.59,24.54,1.59,17.99,34.0,62.5,-28.5,3.0,42.5,50.5,3.6,1.7,1.6,0.1
AR-01,district,AR,-44.65,3.59,-39.95,1.12,-46.4,60.9,35.6,25.3,2.4,76.0,16.9,3.1,1.0,2.8,0.2
AR-02,district,AR,-15.42,3.59,-10.83,1.0,-16.22,48.3,48.2,0.1,2.1,69.1,20.3,5.1,2.3,3.0,0.1
AR-03,district,AR,-25.59,3.59,-21.93,0.06,-25.81,51.7,44.8,6.9,0.2,71.5,3.6,13.9,4.2,5.6,1.3
AR-04,district,AR,-39.02,3.59,-34.47,0.96,-40.73,58.3,38.2,20.1,2.0,69.7,19.8,6.0,1.1,3.3,0.2
AZ-01,district,AZ,-2.22,3.59,1.46,0.09,-3.14,41.8,54.7,-12.9,0.3,73.4,4.0,13.8,5.5,3.1,0.3
AZ-02,district,AZ,-13.44,3.59,-9.99,-0.14,-15.12,46.3,50.2,-3.9,-0.3,59.7,2.7,14.6,2.0,20.7,0.3
AZ-03,district,AZ,43.26,3.59,44.3,-2.54,40.31,19.6,76.9,-57.3,-5.5,23.0,11.5,56.4,3.7,5.0,0.4
AZ-04,district,AZ,7.35,3.59,10.41,-0.53,6.76,37.1,59.5,-22.4,-1.1,58.6,6.5,22.8,7.2,4.3,0.6
AZ-05,district,AZ,-19.54,3.59,-15.99,-0.05,-20.19,49.0,47.5,1.6,0.0,70.0,4.5,15.3,7.2,2.5,0.5
AZ-06,district,AZ,-0.62,3.59,2.62,-0.35,-0.76,40.7,55.8,-15.2,-0.6,66.6,4.3,21.1,4.3,3.2,0.5
AZ-07,district,AZ,25.31,3.59,26.42,-2.48,22.39,27.4,69.2,-41.8,-5.2,32.1,4.8,54.1,2.9,5.7,0.4
AZ-08,district,AZ,-16.0,3.59,-12.56,-0.15,-16.48,47.4,49.1,-1.7,-0.2,68.2,5.3,18.0,5.3,2.9,0.4
AZ-09,district,AZ,-30.21,3.59,-27.23,-0.61,-31.34,53.0,43.6,9.4,-1.2,61.6,5.2,25.5,3.4,3.7,0.5
CA-01,district,CA,13.97,3.59,17.03,-0.53,12.63,34.3,62.2,-28.0,-1.0,63.8,2.5,22.6,4.8,5.5,0.7
CA-02,district,CA,26.43,3.59,30.09,0.07,25.45,29.6,66.9,-37.2,0.3,72.6,2.5,13.0,5.5,5.8,0.6
CA-03,district,CA,11.4,3.59,14.73,-0.26,10.55,35.6,60.9,-25.3,-0.5,60.3,6.6,16.3,12.4,3.4,1.1
CA-04,district,CA,16.77,3.59,19.38,-0.98,14.96,32.6,63.9,-31.3,-2.0,53.7,3.1,27.0,11.4,4.0,0.7
CA-05,district,CA,-19.75,3.59,-16.91,-0.75,-21.2,48.4,48.2,0.2,-1.5,58.5,3.2,25.1,7.6,4.7,0.9
CA-06,district,CA,9.83,3.59,12.93,-0.49,8.67,36.0,60.5,-24.5,-1.1,53.3,8.2,19.4,14.1,3.6,1.4
CA-07,district,CA,15.12,3.59,17.95,-0.76,13.26,33.5,63.1,-29.6,-1.7,42.8,9.9,20.2,21.9,3.3,1.9
